,return,equity,gross,net,beta_exposure,turnover,fees,spread,impact,funding,gross_pnl,pnl_long,pnl_short,n_positions,ic_est
2025-12-31 00:00:00+00:00,-0.00565107,1.52969,0.610968,0.0883818,-0.0213304,0.772924,0.000247334,8.52835e-05,3.64138e-05,-0.000334078,-0.00489793,-0.00279546,-0.00210247,26.3125,0.0812624
2026-01-01 00:00:00+00:00,0.000873141,1.53103,0.577354,0.0908982,-0.0178464,0.518409,0.000165912,3.9008e-05,1.63696e-05,-7.85777e-05,0.00118345,0.00605956,-0.00487611,25.9792,0.0751645
2026-01-02 00:00:00+00:00,-0.00830925,1.51831,0.561077,0.106288,-0.0158569,0.488451,0.000156284,4.8306e-05,1.42854e-05,4.4027e-06,-0.00811316,0.00984335,-0.0179565,25.2708,0.0760546
2026-01-03 00:00:00+00:00,-0.00145919,1.51609,0.461027,0.0704359,-0.0150214,0.291372,9.32409e-05,4.93135e-05,9.53567e-06,-8.07121e-05,-0.00121973,0.00277417,-0.0039939,22.9583,0.0761237
2026-01-04 00:00:00+00:00,-0.00255662,1.51222,0.41216,0.0575336,-0.0142008,0.225308,7.20963e-05,2.99038e-05,6.87646e-06,-0.000267053,-0.00217533,0.00456398,-0.0067393,21.1042,0.0747371
2026-01-05 00:00:00+00:00,0.00953355,1.52663,0.394595,0.0545474,-0.0143932,0.364249,0.000116607,4.06055e-05,2.21786e-05,-0.0002254,0.00990531,0.00900998,0.000895332,20.7708,0.0748315
2026-01-06 00:00:00+00:00,0.00142166,1.5288,0.386745,0.0482855,-0.0122929,0.264229,8.45657e-05,4.78554e-05,7.95037e-06,-0.00060148,0.00217392,0.00094096,0.00123296,22.1667,0.0793776
2026-01-07 00:00:00+00:00,-0.00546992,1.52044,0.372079,0.0489264,-0.0140321,0.353556,0.000113129,7.0196e-05,2.91246e-05,-0.000547289,-0.00470219,-0.00666677,0.00196458,22.6042,0.0761597
2026-01-08 00:00:00+00:00,-6.97956e-05,1.52033,0.360007,0.0490426,-0.0109771,0.278393,8.90898e-05,5.74218e-05,8.48069e-06,-0.000160631,0.000257277,-0.00290167,0.00315894,19.3125,0.0729895
2026-01-09 00:00:00+00:00,-0.00420252,1.51394,0.356701,0.0406842,-0.0122397,0.343757,0.000109997,9.04099e-05,1.1208e-05,-0.000155078,-0.00383549,-0.00066885,-0.00316664,18.8125,0.0718033
2026-01-10 00:00:00+00:00,0.00261769,1.51791,0.293622,0.0210023,-0.00839794,0.305501,9.77671e-05,9.2311e-05,9.52996e-06,-7.53307e-05,0.00289324,-0.000154147,0.00304739,15.2083,0.069326
2026-01-11 00:00:00+00:00,0.000528088,1.51871,0.353583,0.0280483,-0.0134271,0.2288,7.32168e-05,7.37951e-05,7.0826e-06,-4.72475e-05,0.000733217,0.0020468,-0.00131358,15.2083,0.0693725
2026-01-12 00:00:00+00:00,0.00678666,1.52902,0.451328,0.0573092,-0.024251,0.913633,0.000292444,0.000219025,9.1197e-05,-3.52573e-05,0.00741154,-0.000798606,0.00821015,16.6667,0.0709864
2026-01-13 00:00:00+00:00,0.0014983,1.53131,0.494982,0.052105,-0.0179583,0.734164,0.000234956,0.000159481,2.77053e-05,-0.000110941,0.00207171,0.0150971,-0.0130254,18.4167,0.0722688
2026-01-14 00:00:00+00:00,0.00329695,1.53636,0.54236,0.0693252,-0.00791346,0.545815,0.000174673,0.000125919,1.83131e-05,-0.0010537,0.00470211,0.00184312,0.00285899,18.4583,0.0740041
2026-01-15 00:00:00+00:00,0.000739551,1.53749,0.622587,0.0878271,-0.0106533,0.806824,0.000257998,0.000152098,4.25423e-05,-0.000899967,0.0021539,-0.00686964,0.00902354,21.0833,0.0780314
2026-01-16 00:00:00+00:00,-0.0048757,1.53,0.724976,0.115438,-0.0126705,0.998296,0.00031939,0.000105807,2.4635e-05,-0.00207718,-0.00233897,-3.92426e-05,-0.00229973,25.9167,0.0761005
2026-01-17 00:00:00+00:00,0.00323751,1.53495,0.736591,0.103114,-0.0137182,0.650968,0.000208327,4.1325e-05,1.46872e-05,-0.000247312,0.00374974,0.0001173,0.00363244,24.8125,0.0733768
2026-01-18 00:00:00+00:00,0.000804545,1.53618,0.574138,0.0704817,-0.0156725,0.383942,0.000122872,2.70822e-05,7.63011e-06,-0.000259491,0.00123062,-0.00697144,0.00820206,20.8542,0.0753117
2026-01-19 00:00:00+00:00,0.0122537,1.55501,0.411505,0.0484772,-0.0155026,0.809258,0.000259866,7.90389e-05,0.000153914,-0.00031947,0.0130424,-0.00472159,0.017764,21.2292,0.0774672
2026-01-20 00:00:00+00:00,0.00486502,1.56257,0.44964,0.0538158,-0.0151988,0.584263,0.000186984,2.58955e-05,1.78291e-05,-0.00010002,0.00519878,-0.0142733,0.0194721,20.4792,0.0801513
2026-01-21 00:00:00+00:00,-0.00783029,1.55034,0.460121,0.043822,-0.00946168,0.636512,0.000203653,3.67204e-05,2.39212e-05,-0.000209076,-0.00736474,0.00512504,-0.0124898,22.5,0.0755035
2026-01-22 00:00:00+00:00,-0.00142344,1.54813,0.327287,0.0435188,-0.00654665,0.278837,8.92252e-05,2.39509e-05,9.47461e-06,-0.000718487,-0.000578193,-0.000466552,-0.000111641,18.4167,0.0693059
2026-01-23 00:00:00+00:00,-0.00144874,1.54589,0.367009,0.0585542,-0.00892367,0.415109,0.000132843,3.35627e-05,1.64446e-05,-0.000976685,-0.000271168,1.0194e-05,-0.000281362,20.4583,0.0641029
2026-01-24 00:00:00+00:00,-0.00633757,1.53609,0.532424,0.092935,-0.0109857,0.428237,0.000137017,4.7675e-05,1.5442e-05,-0.000513007,-0.00563397,0.000121747,-0.00575571,19.8542,0.0594935
2026-01-25 00:00:00+00:00,0.0102145,1.55178,0.565188,0.11364,-0.00649387,0.770876,0.000246708,0.00010957,2.25413e-05,5.62896e-05,0.0104984,-0.0153277,0.025826,18.8958,0.0551009
2026-01-26 00:00:00+00:00,0.00187079,1.55468,0.590524,0.10095,-0.00807511,0.982681,0.000314573,0.000188622,9.66304e-05,-0.000817183,0.00330591,0.014553,-0.0112471,19.7292,0.0596116
2026-01-27 00:00:00+00:00,-0.0111121,1.53741,0.54163,0.109222,-0.0132188,0.837041,0.000267781,0.000154115,2.74335e-05,-0.000697391,-0.0100071,0.00911207,-0.0191192,18.8125,0.0579907
2026-01-28 00:00:00+00:00,0.00939052,1.55185,0.795816,0.183705,-0.0136099,0.755739,0.000241789,0.000151741,3.29282e-05,-0.000280162,0.0101225,-0.00277033,0.0128928,21.5208,0.0543949
2026-01-29 00:00:00+00:00,0.00298668,1.55648,0.757985,0.154305,-0.00975919,1.2603,0.000403343,0.000250928,5.47947e-05,-0.000209154,0.00397798,-0.0249954,0.0289734,21.8125,0.0581821
2026-01-30 00:00:00+00:00,0.0120949,1.57531,0.805494,0.17242,0.00381964,1.46448,0.000468828,0.000249597,7.0293e-05,-1.08952e-05,0.0128822,-0.00801885,0.0209011,22.3542,0.0569084
2026-01-31 00:00:00+00:00,0.00331349,1.58053,0.470896,0.0901207,-0.000835142,0.646715,0.000206988,0.000116893,2.34716e-05,-5.73514e-08,0.00367809,-0.0197976,0.0234757,19.8958,0.0597515
2026-02-01 00:00:00+00:00,-0.00283028,1.57605,0.454269,0.0746187,0.001577,0.513131,0.000164193,0.000118088,2.43739e-05,-0.000147635,-0.00234578,-0.0100767,0.00773096,20.6875,0.0604516
2026-02-02 00:00:00+00:00,0.00521472,1.58427,0.662345,0.0747841,0.00518356,0.800921,0.000256472,0.000150181,0.00015027,-0.000110758,0.00592184,0.00921234,-0.0032905,22.5833,0.0577417
