,return,equity,gross,net,beta_exposure,turnover,fees,spread,impact,funding,gross_pnl,n_positions,ic_est
2024-06-14 00:00:00+00:00,0.00380961,1.24942,0.684291,0.151705,0.00447169,0.156044,4.99469e-05,6.24336e-06,1.00692e-05,3.84344e-06,0.00387609,28,0.0162925
2024-06-15 00:00:00+00:00,0.00184648,1.25173,0.702931,0.150681,0.000938463,0.188744,6.04055e-05,7.55068e-06,1.09768e-05,-5.02181e-05,0.00197892,28,0.0190312
2024-06-16 00:00:00+00:00,0.000484219,1.25233,0.681314,0.157395,-0.00124503,0.0869943,2.78426e-05,3.48033e-06,3.93196e-06,-6.94378e-05,0.000594136,28,0.0191849
2024-06-17 00:00:00+00:00,0.010335,1.26528,0.709421,0.150304,-0.000743224,0.256649,8.21486e-05,1.42312e-05,1.15288e-05,-3.13444e-05,0.0104417,28.2083,0.0208342
2024-06-18 00:00:00+00:00,0.00639317,1.27336,0.920903,0.119796,-0.000470749,0.670421,0.000214617,2.70105e-05,4.77447e-05,0.00018858,0.00650841,29.75,0.0252299
2024-06-19 00:00:00+00:00,0.00481012,1.27949,0.988474,0.168484,0.00163006,0.523121,0.000167404,2.4357e-05,4.07449e-05,6.72456e-05,0.00498189,30,0.0265357
2024-06-20 00:00:00+00:00,-0.00610441,1.27168,0.981628,0.215852,0.00189392,0.374374,0.000119776,4.3995e-05,2.27729e-05,5.93908e-05,-0.00597946,30,0.0247462
2024-06-21 00:00:00+00:00,-0.00236432,1.26867,0.92015,0.245862,0.00611708,0.310322,9.93694e-05,2.25989e-05,1.88007e-05,3.12892e-06,-0.00217418,30,0.0215671
2024-06-22 00:00:00+00:00,0.00257948,1.27195,0.85047,0.254826,0.0097739,0.145301,4.65116e-05,5.81395e-06,9.19509e-06,-1.1679e-05,0.00266591,30,0.0215251
2024-06-23 00:00:00+00:00,-0.00157814,1.26994,0.820122,0.250362,0.00640212,0.0769019,2.46072e-05,9.32314e-06,3.12191e-06,2.13075e-06,-0.00153662,30,0.0211502
2024-06-24 00:00:00+00:00,-0.0161573,1.24942,0.765486,0.216818,-0.00353552,0.197474,6.31258e-05,2.6886e-05,1.35896e-05,-2.38008e-05,-0.0161198,28.5833,0.0194507
