kind,sym,tr,reason,ret,kx,entry_basis,ref_hit_bar,ref_h_at_kx_vs_stop,ref_maxh_vs_stop
index,DOG-USDT-SWAP,1,end,0.1450113093742145,168,0.0006286935747517042,,,-0.34412855377008644
index,DOS-USDT-SWAP,0,end,0.5246851888866679,168,-0.00675004963271808,,,-0.326270904124192
index,DOS-USDT-SWAP,1,end,0.1402747650036153,168,-0.005393743257820938,,,-0.5998400959424345
mark,DOS-USDT-SWAP,0,end,0.5246851888866679,168,0.0014011208967172895,,,-0.3342661070024652
mark,DOS-USDT-SWAP,1,end,0.1402747650036153,168,0.0010857763300760048,,,-0.6002398560863482
index,DUCK-USDT-SWAP,0,end,0.4256069305933313,168,0.0005039306591412274,,,-0.32245391356905406
index,DUCK-USDT-SWAP,1,end,0.1434580141204747,168,0.0018058690744919836,,,-0.5057251267586717
index,ETHW-USDT-SWAP,0,end,0.3903163950143815,168,-0.0034397095356392127,,,-0.31754554170661553
index,ETHW-USDT-SWAP,1,end,-0.3492467642690431,168,-0.004646251319957773,,,-0.5291147331415788
mark,ETHW-USDT-SWAP,0,end,0.3903163950143815,168,0.00019179133103164325,,,-0.31754554170661553
mark,ETHW-USDT-SWAP,1,end,-0.3492467642690431,168,0.0,,,-0.5250878875039948
index,FOXY-USDT-SWAP,0,end,0.2873865809281162,168,-0.0009525271073339558,,,-0.2825787952462424
index,FOXY-USDT-SWAP,1,end,0.1181675766732431,168,0.002121650026274402,,,-0.4529682735582381
index,GPT-USDT-SWAP,0,stop,-0.5,54,0.003679908917171515,54.0,0.012822330706747431,0.012822330706747431
index,GPT-USDT-SWAP,1,end,0.1517147784783284,168,0.004273322259607859,,,-0.20141932200514567
index,GRAM-USDT-SWAP,0,end,0.0475903614457831,168,0.0,,,-0.2991967871485943
index,GRAM-USDT-SWAP,1,end,0.0124921923797626,168,-0.0006242197253434334,,,-0.2991967871485943
mark,GRAM-USDT-SWAP,0,end,0.0475903614457831,168,0.0006027727546713546,,,-0.29999999999999993
mark,GRAM-USDT-SWAP,1,end,0.0124921923797626,168,0.0,,,-0.29999999999999993
index,GRASS-USDT-SWAP,0,stop,-0.5,103,0.0009574875526618953,103.0,0.03494675084497145,0.03494675084497145
index,GRASS-USDT-SWAP,1,stop,-0.5895590471363408,103,0.0009131493506493449,103.0,0.03494675084497145,0.03494675084497145
mark,GRASS-USDT-SWAP,0,stop,-0.5,103,0.00019135093761968314,103.0,0.03698743702569973,0.03698743702569973
mark,GRASS-USDT-SWAP,1,stop,-0.5895590471363408,103,0.0008116059653038299,103.0,0.03698743702569973,0.03698743702569973
index,GRIFFAIN-USDT-SWAP,0,stop,-0.5,103,0.0017459624618070269,103.0,0.022222222222222143,0.022222222222222143
index,GRIFFAIN-USDT-SWAP,1,stop,-0.478102189781022,103,0.0034467901766479514,103.0,0.022222222222222143,0.022222222222222143
index,HYPE-USDT-SWAP,0,end,0.2320274636510501,168,0.00012117784868936887,,,-0.3260366182014002
index,HYPE-USDT-SWAP,1,end,0.1322502624013143,168,-0.0005929034023532953,,,-0.40142703284868064
mark,HYPE-USDT-SWAP,0,end,0.2320274636510501,168,0.0,,,-0.3259019924609585
mark,HYPE-USDT-SWAP,1,end,0.1322502624013143,168,0.00018257337167382204,,,-0.40096930533117925
index,J-USDT-SWAP,0,end,0.3390951771233462,168,-0.0006397952655149419,,,-0.32764262341727135
index,J-USDT-SWAP,1,end,-0.0448717948717947,168,-0.0010111223458039165,,,-0.40731256224213974
index,LAUNCHCOIN-USDT-SWAP,0,stop,-0.5,89,0.001697792869269854,89.0,0.015254237288135686,0.015254237288135686
index,LAUNCHCOIN-USDT-SWAP,1,stop,-0.188717259905977,89,-0.0013413816230718467,89.0,0.015254237288135686,0.015254237288135686
index,MAJOR-USDT-SWAP,0,end,0.0668936998297251,168,0.0020043336504627085,,,-0.2174810130003514
index,MAJOR-USDT-SWAP,1,end,0.0497109826589595,168,0.0007735128059342955,,,-0.3321662747641828
index,MEMEFI-USDT-SWAP,0,stop,-0.5,98,0.0018256503879507946,98.0,0.3398127056441407,0.3398127056441407
index,MEMEFI-USDT-SWAP,1,stop,-0.8664965986394557,98,0.0017035775127767216,98.0,0.3398127056441407,0.3398127056441407
index,MERL-USDT-SWAP,0,end,0.2833411543876114,168,0.0005634331862145459,,,-0.21357735022681046
index,MERL-USDT-SWAP,1,end,0.2751091703056768,168,-0.00018982536066836087,,,-0.327889879555764
mark,MERL-USDT-SWAP,0,end,0.2833411543876114,168,0.0,,,-0.22027217268887833
mark,MERL-USDT-SWAP,1,end,0.2751091703056768,168,0.0002848732314120195,,,-0.3276396058188643
index,MET-USDT-SWAP,0,end,0.2021484375,168,0.0,,,-0.2095424107142857
index,MET-USDT-SWAP,1,end,0.2486862848134524,168,-0.0012464737912484258,,,-0.2140066964285714
mark,MET-USDT-SWAP,0,end,0.2021484375,168,0.0005583472920156485,,,-0.21200706845238093
mark,MET-USDT-SWAP,1,end,0.2486862848134524,168,0.0001313887793983337,,,-0.21465773809523803
index,MEW-USDT-SWAP,0,end,-0.1052315093205049,168,-0.010511701705672172,,,-0.06046635932384592
index,MEW-USDT-SWAP,1,end,-0.194540727902946,168,0.0017361111111111605,,,-0.16603193692790807
