,return,equity,gross,net,beta_exposure,turnover,fees,spread,impact,funding,gross_pnl,n_positions,ic_est
2023-11-18 00:00:00+00:00,-7.14302e-06,0.753163,0.00132851,-0.000133978,-0.000139185,0.169026,5.40884e-05,8.91458e-06,2.86397e-06,1.35064e-07,5.85904e-05,6.51042,0.0230287
2023-11-19 00:00:00+00:00,-6.32828e-05,0.753115,0.000680151,-0.000183928,-0.00024496,0.0889664,2.84692e-05,4.3786e-06,1.36403e-06,6.72954e-08,-2.91387e-05,4.28125,0.0221885
2023-11-20 00:00:00+00:00,0.000187607,0.753256,0.000914939,-0.000286617,-0.000233033,0.119604,3.82733e-05,7.29372e-06,1.89426e-06,8.26009e-08,0.000234973,5.14583,0.022568
2023-11-21 00:00:00+00:00,-4.14765e-05,0.753225,0.00138607,-0.000229809,-0.000249505,0.172552,5.52167e-05,8.15024e-06,2.78222e-06,1.03702e-07,2.45705e-05,6.89583,0.0239526
2023-11-22 00:00:00+00:00,-4.13836e-05,0.753194,0.00139966,-0.000178735,-0.000267663,0.181384,5.8043e-05,8.45221e-06,3.17538e-06,2.17327e-07,2.80702e-05,7.20833,0.0242644
2023-11-23 00:00:00+00:00,-5.19159e-05,0.753155,0.00106551,-0.000126119,-0.000164312,0.137467,4.39895e-05,7.90331e-06,2.45729e-06,-9.07367e-10,2.43553e-06,5.78125,0.0239122
2023-11-24 00:00:00+00:00,1.58238e-05,0.753167,0.000671484,-0.000104021,-0.000170569,0.085809,2.74589e-05,7.65314e-06,1.43397e-06,1.37799e-08,5.23567e-05,3.71875,0.0244935
2023-11-25 00:00:00+00:00,-3.61493e-05,0.753139,0.000700899,-6.80003e-05,-0.000115715,0.078905,2.52496e-05,6.53018e-06,1.32984e-06,2.27e-06,-5.3091e-06,3.69792,0.0245264
2023-11-26 00:00:00+00:00,-8.55033e-05,0.753075,0.000635627,2.55468e-05,2.02836e-05,0.0617267,1.97526e-05,5.04258e-06,8.25289e-07,2.87348e-05,-8.86178e-05,3,0.0252377
2023-11-27 00:00:00+00:00,-2.67488e-05,0.753055,0.000934748,-0.000255623,-0.000281513,0.115066,3.68213e-05,9.23768e-06,1.58862e-06,8.52333e-07,2.00466e-05,4.80208,0.0254667
2023-11-28 00:00:00+00:00,-5.55704e-06,0.753051,0.000770285,-0.000204676,-0.000265853,0.111724,3.57518e-05,7.39154e-06,1.71367e-06,7.13162e-08,3.92292e-05,4.51042,0.0254585
2023-11-29 00:00:00+00:00,-5.74309e-05,0.753007,0.000775951,-0.000109669,-0.000107717,0.104382,3.34023e-05,5.89709e-06,1.28502e-06,4.8405e-08,-1.68963e-05,4.17708,0.0263384
2023-11-30 00:00:00+00:00,-1.08652e-05,0.752999,0.000742505,-0.000243096,-0.00029631,0.103524,3.31278e-05,6.5133e-06,1.11878e-06,9.17243e-08,2.98033e-05,4.5,0.0266577
2023-12-01 00:00:00+00:00,2.0299e-05,0.753015,0.000797331,-0.000107354,-0.00012948,0.116611,3.73155e-05,5.54321e-06,1.36228e-06,9.74008e-08,6.44232e-05,4.05208,0.0275604
