coin,t,side,sec,okx_basis_bp
BTCUSDT,2023-11-15 18:11:00+00:00,1,2,7.725
BTCUSDT,2023-11-15 18:11:00+00:00,1,5,2.97
BTCUSDT,2023-11-15 18:11:00+00:00,1,10,5.092
BTCUSDT,2023-11-15 18:11:00+00:00,1,30,2.544
BTCUSDT,2023-11-15 18:11:00+00:00,1,60,3.843
BTCUSDT,2023-11-15 18:11:00+00:00,1,90,1.16
BTCUSDT,2023-12-11 02:12:00+00:00,-1,-30,4.355
BTCUSDT,2023-12-11 02:12:00+00:00,-1,-5,5.016
BTCUSDT,2023-12-11 02:12:00+00:00,-1,-1,-23.17
BTCUSDT,2023-12-11 02:12:00+00:00,-1,0,-2.032
BTCUSDT,2023-12-11 02:12:00+00:00,-1,1,-3.156
BTCUSDT,2023-12-11 02:12:00+00:00,-1,2,-1.86
BTCUSDT,2023-12-11 02:12:00+00:00,-1,5,-8.019
BTCUSDT,2023-12-11 02:12:00+00:00,-1,10,-7.676
BTCUSDT,2023-12-11 02:12:00+00:00,-1,30,-7.788
BTCUSDT,2023-12-11 02:12:00+00:00,-1,60,3.308
BTCUSDT,2023-12-11 02:12:00+00:00,-1,90,0.1204
ETHUSDT,2023-12-11 02:12:00+00:00,-1,-30,2.634
ETHUSDT,2023-12-11 02:12:00+00:00,-1,-5,-3.498
ETHUSDT,2023-12-11 02:12:00+00:00,-1,-1,-20.79
ETHUSDT,2023-12-11 02:12:00+00:00,-1,0,-0.6972
ETHUSDT,2023-12-11 02:12:00+00:00,-1,1,-5.109
ETHUSDT,2023-12-11 02:12:00+00:00,-1,2,-6.461
ETHUSDT,2023-12-11 02:12:00+00:00,-1,5,-2.389
ETHUSDT,2023-12-11 02:12:00+00:00,-1,10,-1.546
ETHUSDT,2023-12-11 02:12:00+00:00,-1,30,-2.256
ETHUSDT,2023-12-11 02:12:00+00:00,-1,60,2.349
ETHUSDT,2023-12-11 02:12:00+00:00,-1,90,0.9126
BTCUSDT,2024-01-03 12:09:00+00:00,-1,-30,4.599
BTCUSDT,2024-01-03 12:09:00+00:00,-1,-5,-3.455
BTCUSDT,2024-01-03 12:09:00+00:00,-1,-1,7.63
BTCUSDT,2024-01-03 12:09:00+00:00,-1,0,18.5
BTCUSDT,2024-01-03 12:09:00+00:00,-1,1,1.474
BTCUSDT,2024-01-03 12:09:00+00:00,-1,2,-3.87
BTCUSDT,2024-01-03 12:09:00+00:00,-1,5,-0.4682
BTCUSDT,2024-01-03 12:09:00+00:00,-1,10,-3.857
BTCUSDT,2024-01-03 12:09:00+00:00,-1,30,6.277
BTCUSDT,2024-01-03 12:09:00+00:00,-1,60,-1.528
BTCUSDT,2024-01-03 12:09:00+00:00,-1,90,-1.912
ETHUSDT,2024-01-03 12:09:00+00:00,-1,-30,-5.224
ETHUSDT,2024-01-03 12:09:00+00:00,-1,-5,7.898
ETHUSDT,2024-01-03 12:09:00+00:00,-1,-1,-2.135
ETHUSDT,2024-01-03 12:09:00+00:00,-1,0,6.525
ETHUSDT,2024-01-03 12:09:00+00:00,-1,1,5.479
ETHUSDT,2024-01-03 12:09:00+00:00,-1,2,-4.552
ETHUSDT,2024-01-03 12:09:00+00:00,-1,5,-33.29
ETHUSDT,2024-01-03 12:09:00+00:00,-1,10,-5.748
ETHUSDT,2024-01-03 12:09:00+00:00,-1,30,7.735
ETHUSDT,2024-01-03 12:09:00+00:00,-1,60,16.95
ETHUSDT,2024-01-03 12:09:00+00:00,-1,90,3.691
ETHUSDT,2024-04-13 20:09:00+00:00,-1,-30,-8.277
ETHUSDT,2024-04-13 20:09:00+00:00,-1,-5,0.2454
ETHUSDT,2024-04-13 20:09:00+00:00,-1,-1,-12.71
ETHUSDT,2024-04-13 20:09:00+00:00,-1,0,-7.351
ETHUSDT,2024-04-13 20:09:00+00:00,-1,1,-6.756
ETHUSDT,2024-04-13 20:09:00+00:00,-1,2,-8.994
ETHUSDT,2024-04-13 20:09:00+00:00,-1,5,1.569
ETHUSDT,2024-04-13 20:09:00+00:00,-1,10,4.106
ETHUSDT,2024-04-13 20:09:00+00:00,-1,30,-7.75
ETHUSDT,2024-04-13 20:09:00+00:00,-1,60,-8.215
ETHUSDT,2024-04-13 20:09:00+00:00,-1,90,-2.985
ETHUSDT,2024-05-01 07:08:00+00:00,-1,-30,-0.6487
ETHUSDT,2024-05-01 07:08:00+00:00,-1,-5,-5.53
ETHUSDT,2024-05-01 07:08:00+00:00,-1,-1,-7.268
ETHUSDT,2024-05-01 07:08:00+00:00,-1,0,-7.325
ETHUSDT,2024-05-01 07:08:00+00:00,-1,1,-12.15
ETHUSDT,2024-05-01 07:08:00+00:00,-1,2,-11.82
ETHUSDT,2024-05-01 07:08:00+00:00,-1,5,-6.332
ETHUSDT,2024-05-01 07:08:00+00:00,-1,10,-1.451
ETHUSDT,2024-05-01 07:08:00+00:00,-1,30,-2.623
ETHUSDT,2024-05-01 07:08:00+00:00,-1,60,-0.9304
ETHUSDT,2024-05-01 07:08:00+00:00,-1,90,-0.4486
ETHUSDT,2024-08-05 01:10:00+00:00,1,-30,-4.346
ETHUSDT,2024-08-05 01:10:00+00:00,1,-5,-12.25
ETHUSDT,2024-08-05 01:10:00+00:00,1,-1,1.799
ETHUSDT,2024-08-05 01:10:00+00:00,1,0,-5.098
ETHUSDT,2024-08-05 01:10:00+00:00,1,1,2.871
ETHUSDT,2024-08-05 01:10:00+00:00,1,2,29.59
ETHUSDT,2024-08-05 01:10:00+00:00,1,5,-7.649
ETHUSDT,2024-08-05 01:10:00+00:00,1,10,-4.649
ETHUSDT,2024-08-05 01:10:00+00:00,1,30,10.1
ETHUSDT,2024-08-05 01:10:00+00:00,1,60,2.943
ETHUSDT,2024-08-05 01:10:00+00:00,1,90,-16.85
ETHUSDT,2025-02-03 02:07:00+00:00,-1,-30,-55.52
ETHUSDT,2025-02-03 02:07:00+00:00,-1,-5,-24.85
ETHUSDT,2025-02-03 02:07:00+00:00,-1,-1,-57.95
