coin,day,k_bp,lat,t,t_exit,side,dev_bp,b0_bp,hold_s,gross_bp,net_bp,fee_in_bp,worst_bp
BTCUSDT,2023-03-14,40,2,2023-03-14 12:31:35.999000+00:00,2023-03-14 12:35:36.999000+00:00,1,55.99,23.11,241,22.52,-7.236,15.01,-22.78
BTCUSDT,2023-03-14,40,10,2023-03-14 12:31:35.999000+00:00,2023-03-14 12:35:36.999000+00:00,1,55.99,28.53,241,25.63,-4.061,15.01,-17.37
BTCUSDT,2023-08-17,40,0.5,2023-08-17 21:43:03.999000+00:00,2023-08-17 21:47:11.999000+00:00,-1,-43.45,-44.22,248,43.53,13.99,14.98,-80.21
BTCUSDT,2023-08-17,40,2,2023-08-17 21:43:03.999000+00:00,2023-08-17 21:47:11.999000+00:00,-1,-43.45,-30.15,248,26.03,-3.572,14.98,-94.28
BTCUSDT,2023-08-17,40,10,2023-08-17 21:43:03.999000+00:00,2023-08-17 21:47:11.999000+00:00,-1,-43.45,-6.003,248,1.052,-28.91,15,-118.4
BTCUSDT,2023-08-17,60,0.5,2023-08-17 21:43:11.999000+00:00,2023-08-17 21:47:11.999000+00:00,-1,-76.41,-61.69,240,61,31.25,14.97,-62.74
BTCUSDT,2023-08-17,60,2,2023-08-17 21:43:11.999000+00:00,2023-08-17 21:47:11.999000+00:00,-1,-76.41,-6.003,240,1.793,-28.13,15,-118.4
BTCUSDT,2023-08-17,60,10,2023-08-17 21:43:11.999000+00:00,2023-08-17 21:47:11.999000+00:00,-1,-76.41,-9.619,240,4.693,-25.19,15,-114.8
BTCUSDT,2023-08-17,80,0.5,2023-08-17 21:44:43.999000+00:00,2023-08-17 21:47:11.999000+00:00,-1,-105.3,-97.39,148,96.65,65.97,14.95,-27.04
BTCUSDT,2023-08-17,80,2,2023-08-17 21:44:43.999000+00:00,2023-08-17 21:47:11.999000+00:00,-1,-105.3,-110.3,148,105.9,75.22,14.94,-14.13
BTCUSDT,2023-08-17,80,10,2023-08-17 21:44:43.999000+00:00,2023-08-17 21:47:11.999000+00:00,-1,-105.3,-72.06,148,66.86,36.16,14.96,-52.37
BTCUSDT,2023-08-17,120,0.5,2023-08-17 21:44:47.999000+00:00,2023-08-17 21:47:11.999000+00:00,-1,-125.1,-104.1,144,103.4,72.76,14.95,4.219
BTCUSDT,2023-08-17,120,2,2023-08-17 21:44:47.999000+00:00,2023-08-17 21:47:11.999000+00:00,-1,-125.1,-89.62,144,85.19,54.52,14.96,-10.3
BTCUSDT,2023-08-17,120,10,2023-08-17 21:44:47.999000+00:00,2023-08-17 21:47:11.999000+00:00,-1,-125.1,-94.63,144,89.46,58.86,14.95,-5.286
BTCUSDT,2023-10-16,40,0.5,2023-10-16 13:30:31.999000+00:00,2023-10-16 13:32:03.999000+00:00,1,40.7,30.07,92,23.38,-6.334,15.02,-31.98
BTCUSDT,2023-10-16,40,2,2023-10-16 13:30:31.999000+00:00,2023-10-16 13:32:03.999000+00:00,1,40.7,56.32,92,51.03,21.35,15.03,-5.732
BTCUSDT,2023-10-16,40,10,2023-10-16 13:30:31.999000+00:00,2023-10-16 13:32:03.999000+00:00,1,40.7,34.7,92,31.41,1.727,15.02,-27.35
BTCUSDT,2023-10-16,60,0.5,2023-10-16 13:30:34.999000+00:00,2023-10-16 13:32:03.999000+00:00,1,60.68,63.33,89,56.66,26.96,15.03,1.276
BTCUSDT,2023-10-16,60,2,2023-10-16 13:30:34.999000+00:00,2023-10-16 13:32:03.999000+00:00,1,60.68,32,89,26.72,-2.917,15.02,-30.06
BTCUSDT,2023-10-16,60,10,2023-10-16 13:30:34.999000+00:00,2023-10-16 13:32:03.999000+00:00,1,60.68,31.36,89,28.05,-1.667,15.02,-30.7
BTCUSDT,2023-10-23,40,0.5,2023-10-23 22:42:49.999000+00:00,2023-10-23 22:43:29.999000+00:00,1,69.12,43.5,40,28.17,-1.536,15.02,-18.88
BTCUSDT,2023-10-23,40,2,2023-10-23 22:42:49.999000+00:00,2023-10-23 22:43:29.999000+00:00,1,69.12,55.55,40,37.87,8.033,15.03,-6.837
BTCUSDT,2023-10-23,40,10,2023-10-23 22:42:49.999000+00:00,2023-10-23 22:43:29.999000+00:00,1,69.12,14.05,40,4.529,-25.47,15.01,-48.34
BTCUSDT,2023-10-23,60,0.5,2023-10-23 22:42:49.999000+00:00,2023-10-23 22:43:29.999000+00:00,1,69.12,43.5,40,28.17,-1.536,15.02,-18.88
BTCUSDT,2023-10-23,60,2,2023-10-23 22:42:49.999000+00:00,2023-10-23 22:43:29.999000+00:00,1,69.12,55.55,40,37.87,8.033,15.03,-6.837
BTCUSDT,2023-10-23,60,10,2023-10-23 22:42:49.999000+00:00,2023-10-23 22:43:29.999000+00:00,1,69.12,14.05,40,4.529,-25.47,15.01,-48.34
BTCUSDT,2024-02-27,40,0.5,2024-02-27 02:08:02.999000+00:00,2024-02-27 04:03:45.999000+00:00,1,44.04,48.58,6943,39.98,10.31,15.02,-15.56
BTCUSDT,2024-02-27,40,2,2024-02-27 02:08:02.999000+00:00,2024-02-27 04:03:45.999000+00:00,1,44.04,49.13,6943,38.67,9.031,15.02,-15.01
BTCUSDT,2024-02-27,40,10,2024-02-27 02:08:02.999000+00:00,2024-02-27 04:03:45.999000+00:00,1,44.04,33.31,6943,20.47,-9.297,15.02,-30.83
BTCUSDT,2024-02-27,60,0.5,2024-02-27 02:08:05.999000+00:00,2024-02-27 04:03:45.999000+00:00,1,60.46,38.73,6940,30.12,0.4489,15.02,-3.893
BTCUSDT,2024-02-27,60,2,2024-02-27 02:08:05.999000+00:00,2024-02-27 04:03:45.999000+00:00,1,60.46,38.2,6940,27.75,-1.871,15.02,-4.423
BTCUSDT,2024-02-27,60,10,2024-02-27 02:08:05.999000+00:00,2024-02-27 04:03:45.999000+00:00,1,60.46,42.5,6940,29.69,-0.03924,15.02,-0.1211
BTCUSDT,2024-02-28,40,0.5,2024-02-28 17:14:38.999000+00:00,2024-02-28 17:25:58.999000+00:00,1,44.35,49.98,680,27.6,-1.922,15.02,-22.04
BTCUSDT,2024-02-28,40,2,2024-02-28 17:14:38.999000+00:00,2024-02-28 17:25:58.999000+00:00,1,44.35,68.71,680,54.01,24.53,15.03,-3.31
BTCUSDT,2024-02-28,40,10,2024-02-28 17:14:38.999000+00:00,2024-02-28 17:25:58.999000+00:00,1,44.35,48.18,680,21.56,-8.039,15.02,-23.83
BTCUSDT,2024-02-28,60,0.5,2024-02-28 17:14:40.999000+00:00,2024-02-28 17:25:58.999000+00:00,1,64.08,60.51,678,38.14,8.619,15.03,-0.6894
BTCUSDT,2024-02-28,60,2,2024-02-28 17:14:40.999000+00:00,2024-02-28 17:25:58.999000+00:00,1,64.08,62.52,678,47.8,18.3,15.03,1.32
BTCUSDT,2024-02-28,60,10,2024-02-28 17:14:40.999000+00:00,2024-02-28 17:25:58.999000+00:00,1,64.08,48.96,678,22.34,-7.256,15.02,-12.24
BTCUSDT,2024-11-10,40,0.5,2024-11-10 04:53:57.999000+00:00,2024-11-10 05:14:15.999000+00:00,1,41.47,52.19,1218,43.86,13.86,15.03,-11.73
BTCUSDT,2024-11-10,40,2,2024-11-10 04:53:57.999000+00:00,2024-11-10 05:14:15.999000+00:00,1,41.47,61.96,1218,54.84,24.85,15.03,-1.966
BTCUSDT,2024-11-10,40,10,2024-11-10 04:53:57.999000+00:00,2024-11-10 05:14:15.999000+00:00,1,41.47,21.39,1218,14.58,-15.47,15.01,-42.54
BTCUSDT,2024-11-10,60,0.5,2024-11-10 04:53:59.999000+00:00,2024-11-10 05:14:15.999000+00:00,1,62.2,63.76,1216,55.42,25.39,15.03,1.82
BTCUSDT,2024-11-10,60,2,2024-11-10 04:53:59.999000+00:00,2024-11-10 05:14:15.999000+00:00,1,62.2,42.62,1216,35.47,5.418,15.02,-19.32
BTCUSDT,2024-11-10,60,10,2024-11-10 04:53:59.999000+00:00,2024-11-10 05:14:15.999000+00:00,1,62.2,15.96,1216,9.154,-20.91,15.01,-45.98
BTCUSDT,2024-08-05,40,0.5,2024-08-05 14:43:09.999000+00:00,2024-08-05 14:44:32.999000+00:00,-1,-45.34,-28.11,83,25.17,-4.751,14.99,2.258
BTCUSDT,2024-08-05,40,2,2024-08-05 14:43:09.999000+00:00,2024-08-05 14:44:32.999000+00:00,-1,-45.34,-23.88,83,23.13,-6.785,14.99,-1.964
BTCUSDT,2024-08-05,40,10,2024-08-05 14:43:09.999000+00:00,2024-08-05 14:44:32.999000+00:00,-1,-45.34,-4.36,83,0.9197,-29.02,15,-21.49
BTCUSDT,2024-12-05,40,0.5,2024-12-05 02:33:59.999000+00:00,2024-12-05 04:37:07.999000+00:00,1,41.06,46.55,7388,33.56,3.156,15.02,-25.85
BTCUSDT,2024-12-05,40,0.5,2024-12-05 22:26:44.999000+00:00,2024-12-05 22:32:13.999000+00:00,-1,-44.03,-12.46,329,11.06,-18.57,14.99,-127.7
BTCUSDT,2024-12-05,40,2,2024-12-05 02:33:59.999000+00:00,2024-12-05 04:37:07.999000+00:00,1,41.06,42.93,7388,30.8,0.392,15.02,-29.47
BTCUSDT,2024-12-05,40,2,2024-12-05 22:26:44.999000+00:00,2024-12-05 22:32:13.999000+00:00,-1,-44.03,-18.1,329,15.93,-13.7,14.99,-122
BTCUSDT,2024-12-05,40,10,2024-12-05 02:33:59.999000+00:00,2024-12-05 04:37:07.999000+00:00,1,41.06,38.74,7388,25.54,-4.863,15.02,-33.66
BTCUSDT,2024-12-05,40,10,2024-12-05 22:26:44.999000+00:00,2024-12-05 22:32:13.999000+00:00,-1,-44.03,-1.931,329,-1.308,-31.1,15,-138.2
BTCUSDT,2024-12-05,60,0.5,2024-12-05 02:42:42.999000+00:00,2024-12-05 04:37:07.999000+00:00,1,60.84,62.67,6865,49.86,19.65,15.03,-9.723
BTCUSDT,2024-12-05,60,0.5,2024-12-05 22:28:24.999000+00:00,2024-12-05 22:32:13.999000+00:00,-1,-77.75,-39.16,229,37.68,7.162,14.98,-101
BTCUSDT,2024-12-05,60,2,2024-12-05 02:42:42.999000+00:00,2024-12-05 04:37:07.999000+00:00,1,60.84,59.01,6865,47.03,16.8,15.03,-13.38
BTCUSDT,2024-12-05,60,2,2024-12-05 22:28:24.999000+00:00,2024-12-05 22:32:13.999000+00:00,-1,-77.75,-32.57,229,30.27,-0.2736,14.98,-107.5
BTCUSDT,2024-12-05,60,10,2024-12-05 02:42:42.999000+00:00,2024-12-05 04:37:07.999000+00:00,1,60.84,67.47,6865,54.44,24.23,15.03,-4.925
BTCUSDT,2024-12-05,60,10,2024-12-05 22:28:24.999000+00:00,2024-12-05 22:32:13.999000+00:00,-1,-77.75,-121.6,229,118.1,87.46,14.94,-18.55
BTCUSDT,2024-12-05,80,0.5,2024-12-05 22:28:27.999000+00:00,2024-12-05 22:32:13.999000+00:00,-1,-104.2,-65.3,226,63.81,33.26,14.97,-74.82
