coin,t,side,sec,basis_bp
ETHUSDT,2024-08-05 01:10:00+00:00,1,30,31.6
ETHUSDT,2024-08-05 01:10:00+00:00,1,60,20
ETHUSDT,2024-08-05 01:10:00+00:00,1,90,43.16
ETHUSDT,2025-02-03 02:07:00+00:00,-1,-30,-230.2
ETHUSDT,2025-02-03 02:07:00+00:00,-1,-5,-44.45
ETHUSDT,2025-02-03 02:07:00+00:00,-1,-1,-193.1
ETHUSDT,2025-02-03 02:07:00+00:00,-1,0,-232.8
ETHUSDT,2025-02-03 02:07:00+00:00,-1,1,-222.9
ETHUSDT,2025-02-03 02:07:00+00:00,-1,2,-274.3
ETHUSDT,2025-02-03 02:07:00+00:00,-1,5,-194.1
ETHUSDT,2025-02-03 02:07:00+00:00,-1,10,26.35
ETHUSDT,2025-02-03 02:07:00+00:00,-1,30,-17.86
ETHUSDT,2025-02-03 02:07:00+00:00,-1,60,5.161
ETHUSDT,2025-02-03 02:07:00+00:00,-1,90,5.255
ETHUSDT,2025-10-10 21:16:00+00:00,-1,-30,-11.16
ETHUSDT,2025-10-10 21:16:00+00:00,-1,-5,-54.23
ETHUSDT,2025-10-10 21:16:00+00:00,-1,-1,-128.4
ETHUSDT,2025-10-10 21:16:00+00:00,-1,0,-111
ETHUSDT,2025-10-10 21:16:00+00:00,-1,1,-91.39
ETHUSDT,2025-10-10 21:16:00+00:00,-1,2,-122.7
ETHUSDT,2025-10-10 21:16:00+00:00,-1,5,-111.5
ETHUSDT,2025-10-10 21:16:00+00:00,-1,10,-53.69
ETHUSDT,2025-10-10 21:16:00+00:00,-1,30,-164.9
ETHUSDT,2025-10-10 21:16:00+00:00,-1,60,-27.6
ETHUSDT,2025-10-10 21:16:00+00:00,-1,90,-27.08
ETHUSDT,2025-10-10 21:22:00+00:00,1,-30,163.9
ETHUSDT,2025-10-10 21:22:00+00:00,1,-5,140.2
ETHUSDT,2025-10-10 21:22:00+00:00,1,-1,106.9
ETHUSDT,2025-10-10 21:22:00+00:00,1,0,114.7
ETHUSDT,2025-10-10 21:22:00+00:00,1,1,99.44
ETHUSDT,2025-10-10 21:22:00+00:00,1,2,70.43
ETHUSDT,2025-10-10 21:22:00+00:00,1,5,109.8
ETHUSDT,2025-10-10 21:22:00+00:00,1,10,72.73
ETHUSDT,2025-10-10 21:22:00+00:00,1,30,54.78
ETHUSDT,2025-10-10 21:22:00+00:00,1,60,23.76
ETHUSDT,2025-10-10 21:22:00+00:00,1,90,39.68
BTCUSDT,2025-10-10 21:27:00+00:00,1,-30,42.03
BTCUSDT,2025-10-10 21:27:00+00:00,1,-5,47.24
BTCUSDT,2025-10-10 21:27:00+00:00,1,-1,83.11
BTCUSDT,2025-10-10 21:27:00+00:00,1,0,77.09
BTCUSDT,2025-10-10 21:27:00+00:00,1,1,99.13
BTCUSDT,2025-10-10 21:27:00+00:00,1,2,25.04
BTCUSDT,2025-10-10 21:27:00+00:00,1,5,38.63
BTCUSDT,2025-10-10 21:27:00+00:00,1,10,61.59
BTCUSDT,2025-10-10 21:27:00+00:00,1,30,43.88
BTCUSDT,2025-10-10 21:27:00+00:00,1,60,42.18
BTCUSDT,2025-10-10 21:27:00+00:00,1,90,53.74
ETHUSDT,2025-10-10 21:56:00+00:00,-1,-30,-227.1
ETHUSDT,2025-10-10 21:56:00+00:00,-1,-5,-89.67
ETHUSDT,2025-10-10 21:56:00+00:00,-1,-1,-66.89
ETHUSDT,2025-10-10 21:56:00+00:00,-1,0,-269.1
ETHUSDT,2025-10-10 21:56:00+00:00,-1,1,-226.8
ETHUSDT,2025-10-10 21:56:00+00:00,-1,2,-49.65
ETHUSDT,2025-10-10 21:56:00+00:00,-1,5,-47.02
ETHUSDT,2025-10-10 21:56:00+00:00,-1,10,-26.22
ETHUSDT,2025-10-10 21:56:00+00:00,-1,30,-24.14
ETHUSDT,2025-10-10 21:56:00+00:00,-1,60,-25.23
ETHUSDT,2025-10-10 21:56:00+00:00,-1,90,-34.67
BTCUSDT,2026-08-19 15:27:00+00:00,1,-30,-0.7767
BTCUSDT,2026-08-19 15:27:00+00:00,1,-5,40.27
BTCUSDT,2026-08-19 15:27:00+00:00,1,-1,65.15
BTCUSDT,2026-08-19 15:27:00+00:00,1,0,181.1
BTCUSDT,2026-08-19 15:27:00+00:00,1,1,70.6
BTCUSDT,2026-08-19 15:27:00+00:00,1,2,57.57
BTCUSDT,2026-08-19 15:27:00+00:00,1,5,13.91
BTCUSDT,2026-08-19 15:27:00+00:00,1,10,19.04
BTCUSDT,2026-08-19 15:27:00+00:00,1,30,0.5264
BTCUSDT,2026-08-19 15:27:00+00:00,1,60,1.23
BTCUSDT,2026-08-19 15:27:00+00:00,1,90,-3.197
ETHUSDT,2026-08-19 15:27:00+00:00,1,-30,3.018
ETHUSDT,2026-08-19 15:27:00+00:00,1,-5,-3.427
ETHUSDT,2026-08-19 15:27:00+00:00,1,-1,1.436
ETHUSDT,2026-08-19 15:27:00+00:00,1,0,102.2
ETHUSDT,2026-08-19 15:27:00+00:00,1,1,24.36
ETHUSDT,2026-08-19 15:27:00+00:00,1,2,9.249
ETHUSDT,2026-08-19 15:27:00+00:00,1,5,-1.147
ETHUSDT,2026-08-19 15:27:00+00:00,1,10,0.7154
ETHUSDT,2026-08-19 15:27:00+00:00,1,30,-1.483
ETHUSDT,2026-08-19 15:27:00+00:00,1,60,-2.11
ETHUSDT,2026-08-19 15:27:00+00:00,1,90,-1.734
