variant,seg,L,trades,cagr,maxdd,liqs,worst_day,sharpe,mean_net_bp,years
okx_native_k40_lat0.5s,IS,10,58,-0.15534,-0.48898,0,-0.10426,-1.5692,-8.3833,2022:-0.4101;2023:-0.0328;2024:+0.0562
okx_native_k40_lat0.5s,IS,15,58,-0.22688,-0.64019,0,-0.15611,-1.572,-8.3833,2022:-0.5511;2023:-0.0497;2024:+0.0833
okx_native_k40_lat0.5s,IS,20,58,-0.29439,-0.75137,0,-0.20778,-1.5745,-8.3833,2022:-0.6608;2023:-0.0667;2024:+0.1099
okx_native_k40_lat0.5s,OOS,1,35,0.00053549,-0.043932,0,-0.011271,0.053874,0.31486,2025:-0.0031;2026:+0.0040
okx_native_k40_lat0.5s,OOS,3,35,0.00063638,-0.12929,0,-0.034802,0.035842,0.31486,2025:-0.0107;2026:+0.0119
okx_native_k40_lat0.5s,OOS,5,35,-0.00031241,-0.21133,0,-0.059252,0.023625,0.31486,2025:-0.0200;2026:+0.0199
okx_native_k40_lat0.5s,OOS,10,35,-0.0074516,-0.40234,0,-0.12405,-0.0015524,0.31486,2025:-0.0503;2026:+0.0400
okx_native_k40_lat0.5s,OOS,15,35,-0.021721,-0.57409,0,-0.19341,-0.021897,0.31486,2025:-0.0906;2026:+0.0602
okx_native_k40_lat0.5s,OOS,20,35,-0.043503,-0.72767,0,-0.2664,-0.038231,0.31486,2025:-0.1406;2026:+0.0806
okx_native_k60_lat0.5s,IS,1,23,0.0036242,-0.02383,0,-0.007425,0.38828,4.7733,2022:-0.0156;2023:+0.0098;2024:+0.0170
okx_native_k60_lat0.5s,IS,3,23,0.010529,-0.070237,0,-0.022282,0.38454,4.7733,2022:-0.0465;2023:+0.0295;2024:+0.0513
okx_native_k60_lat0.5s,IS,5,23,0.017147,-0.11499,0,-0.037139,0.38425,4.7733,2022:-0.0768;2023:+0.0494;2024:+0.0861
okx_native_k60_lat0.5s,IS,10,23,0.032422,-0.21988,0,-0.074281,0.38505,4.7733,2022:-0.1498;2023:+0.1005;2024:+0.1760
okx_native_k60_lat0.5s,IS,15,23,0.045844,-0.3153,0,-0.11142,0.38628,4.7733,2022:-0.2191;2023:+0.1534;2024:+0.2700
okx_native_k60_lat0.5s,IS,20,23,0.057367,-0.40185,0,-0.14857,0.38762,4.7733,2022:-0.2847;2023:+0.2080;2024:+0.3682
okx_native_k60_lat0.5s,OOS,1,17,0.0072842,-0.037305,0,-0.004771,0.58146,7.2034,2025:+0.0106;2026:+0.0015
okx_native_k60_lat0.5s,OOS,3,17,0.02131,-0.11056,0,-0.015064,0.56877,7.2034,2025:+0.0311;2026:+0.0045
okx_native_k60_lat0.5s,OOS,5,17,0.034699,-0.18198,0,-0.0262,0.55833,7.2034,2025:+0.0505;2026:+0.0075
okx_native_k60_lat0.5s,OOS,10,17,0.06511,-0.35261,0,-0.057704,0.53415,7.2034,2025:+0.0943;2026:+0.0150
okx_native_k60_lat0.5s,OOS,15,17,0.090587,-0.5121,0,-0.094378,0.51177,7.2034,2025:+0.1299;2026:+0.0225
okx_native_k60_lat0.5s,OOS,20,17,0.11039,-0.66069,0,-0.13609,0.49108,7.2034,2025:+0.1557;2026:+0.0300
okx_native_k80_lat0.5s,IS,1,8,0.0053989,-0.011408,0,-0.005012,0.70511,20.301,2022:+0.0015;2023:+0.0114;2024:+0.0033
okx_native_k80_lat0.5s,IS,3,8,0.016089,-0.03398,0,-0.015043,0.70454,20.301,2022:+0.0041;2023:+0.0345;2024:+0.0100
okx_native_k80_lat0.5s,IS,5,8,0.026657,-0.056214,0,-0.025074,0.70443,20.301,2022:+0.0063;2023:+0.0578;2024:+0.0166
okx_native_k80_lat0.5s,IS,10,8,0.052518,-0.11034,0,-0.050151,0.70434,20.301,2022:+0.0102;2023:+0.1172;2024:+0.0332
okx_native_k80_lat0.5s,IS,15,8,0.077544,-0.16241,0,-0.075228,0.70431,20.301,2022:+0.0116;2023:+0.1781;2024:+0.0497
okx_native_k80_lat0.5s,IS,20,8,0.10169,-0.21246,0,-0.10031,0.7043,20.301,2022:+0.0107;2023:+0.2407;2024:+0.0663
okx_native_k80_lat0.5s,OOS,1,8,0.002846,-0.032156,0,-0.0080774,0.2462,6.0372,2025:+0.0047;2026:+0.0000
okx_native_k80_lat0.5s,OOS,3,8,0.0081529,-0.09554,0,-0.024418,0.24509,6.0372,2025:+0.0136;2026:+0.0000
okx_native_k80_lat0.5s,OOS,5,8,0.013007,-0.15766,0,-0.040909,0.24526,6.0372,2025:+0.0217;2026:+0.0000
okx_native_k80_lat0.5s,OOS,10,8,0.023116,-0.30743,0,-0.082747,0.24652,6.0372,2025:+0.0388;2026:+0.0000
okx_native_k80_lat0.5s,OOS,15,8,0.030249,-0.44935,0,-0.12536,0.24835,6.0372,2025:+0.0509;2026:+0.0000
okx_native_k80_lat0.5s,OOS,20,8,0.034306,-0.58347,0,-0.16863,0.25061,6.0372,2025:+0.0578;2026:+0.0000
okx_native_k120_lat0.5s,IS,1,4,0.0072,-0.0040502,0,-0.0008138,0.95705,54.018,2022:-0.0008;2023:+0.0140;2024:+0.0085
okx_native_k120_lat0.5s,IS,3,4,0.021573,-0.012137,0,-0.0024437,0.95702,54.018,2022:-0.0024;2023:+0.0422;2024:+0.0255
okx_native_k120_lat0.5s,IS,5,4,0.035928,-0.020203,0,-0.0040736,0.95702,54.018,2022:-0.0041;2023:+0.0708;2024:+0.0425
okx_native_k120_lat0.5s,IS,10,4,0.071731,-0.040274,0,-0.0081483,0.95701,54.018,2022:-0.0081;2023:+0.1440;2024:+0.0849
okx_native_k120_lat0.5s,IS,15,4,0.10742,-0.060214,0,-0.012223,0.95701,54.018,2022:-0.0122;2023:+0.2196;2024:+0.1274
okx_native_k120_lat0.5s,IS,20,4,0.14298,-0.080022,0,-0.016298,0.95701,54.018,2022:-0.0163;2023:+0.2976;2024:+0.1698
okx_native_k120_lat0.5s,OOS,1,2,6.4738e-05,-0.025735,0,0,0.77481,0.79,2025:+0.0001;2026:+0.0000
okx_native_k120_lat0.5s,OOS,3,2,-5.6341e-07,-0.077205,0,-9.3786e-07,-0.77481,0.79,2025:-0.0000;2026:+0.0000
okx_native_k120_lat0.5s,OOS,5,2,-0.00030732,-0.12867,0,-0.00051152,-0.77481,0.79,2025:-0.0005;2026:+0.0000
okx_native_k120_lat0.5s,OOS,10,2,-0.0021318,-0.25735,0,-0.0035462,-0.77481,0.79,2025:-0.0035;2026:+0.0000
okx_native_k120_lat0.5s,OOS,15,2,-0.0054722,-0.38603,0,-0.0090925,-0.77481,0.79,2025:-0.0091;2026:+0.0000
