,return,equity,gross,net,beta_exposure,turnover,fees,spread,impact,funding,gross_pnl,pnl_long,pnl_short,n_positions,stops,ic_est
2023-09-01 00:00:00+00:00,-0.000149803,1.00327,0.0125675,-0.00621827,-0.0043585,0.00406594,1.30109e-06,1.62636e-07,1.09944e-07,6.34461e-06,-0.000154542,8.64951e-05,-0.000241037,4.52083,0,0.00708994
2023-09-02 00:00:00+00:00,-0.000882555,1.00238,0.01997,-0.00669664,-0.00454946,0.0104752,3.35205e-06,4.19006e-07,4.34813e-07,6.0032e-06,-0.000884638,-0.000321878,-0.00056276,6.41667,0,0.00967305
2023-09-03 00:00:00+00:00,0.00014929,1.00253,0.0249237,-0.00455165,-0.00211849,0,0,0,0,1.93941e-05,0.000129955,0.000327318,-0.000197363,8,0,0.00752614
2023-09-04 00:00:00+00:00,0.000539623,1.00307,0.0232946,-0.00205813,0.00129153,0.0018945,6.06311e-07,7.57888e-08,5.917e-08,0.000118503,0.00042213,0.000128935,0.000293195,7,0,0.00281745
2023-09-05 00:00:00+00:00,0.000601861,1.00368,0.0220985,-0.00333614,0.000185671,0.00275321,8.81407e-07,1.10176e-07,1.83255e-07,9.74744e-05,0.000505616,0.00050627,-6.5314e-07,7,0,0.00399483
2023-09-06 00:00:00+00:00,-0.000818157,1.00286,0.021274,-0.00472495,-0.00178132,0,0,0,0,1.83853e-05,-0.000836804,-1.03144e-05,-0.00082649,7,0,0.00330378
2023-09-07 00:00:00+00:00,-9.83283e-05,1.00276,0.0288714,0.00167214,0.00531165,0.00854688,2.73493e-06,1.32099e-06,3.94716e-07,0.000113891,-0.000207666,2.42175e-05,-0.000231883,8.72917,0,0.00789875
2023-09-08 00:00:00+00:00,0.000162964,1.00292,0.0291644,0.00705737,0.0132454,0.0049818,2.06263e-06,2.72632e-06,3.40089e-07,0.000132278,3.60389e-05,-8.34475e-05,0.000119486,8.04167,1,0.00745805
2023-09-09 00:00:00+00:00,-0.000414131,1.00251,0.0295266,0.007739,0.0152086,0.00647689,2.07243e-06,2.59054e-07,4.24378e-07,3.31599e-05,-0.000444321,-0.000923443,0.000479121,8,0,0.00926007
2023-09-10 00:00:00+00:00,0.000813502,1.00332,0.0419398,0.00556536,0.00707087,0.0562081,1.7987e-05,2.24837e-06,1.83557e-06,3.01188e-05,0.000805442,0.00064354,0.000161902,9.1875,0,0.00903294
2023-09-11 00:00:00+00:00,0.000970023,1.0043,0.196028,0.0191533,0.011072,0.148118,4.74044e-05,1.55648e-05,1.28578e-05,0.00107211,-1.96525e-05,-0.00380005,0.00378039,15,0,0.0150407
