con,entry,tmin,E0,head_eq,head_bp,eq_min,per,L,asset
BTCUSDT_240329,2023-10-01 19:00:00,2023-10-27 12:25:00,0.9366845449575972,0.629951463332326,413.55058288957497,0.8237078696417304,IS,15,BTC
BTCUSDT_240628,2024-03-25 08:00:00,2024-03-30 17:30:00,0.7446828150938807,0.5954626775432629,390.80863910385256,0.7607094995083349,IS,15,BTC
BTCUSDT_240927,2024-04-08 00:00:00,2024-04-08 12:45:00,0.5653373866213691,0.5243678736630104,344.06375560604187,0.69272921191331,IS,15,BTC
BTCUSDT_240628,2024-04-19 08:00:00,2024-04-19 08:25:00,0.819140140671999,0.8234663626609606,540.5862081888043,0.9777285883927161,IS,15,BTC
BTCUSDT_240927,2024-06-25 01:00:00,2024-07-01 02:35:00,0.9013349979244337,0.7752734326765035,508.92792684942856,0.937937396245668,IS,15,BTC
BTCUSDT_241227,2024-07-15 03:00:00,2024-07-29 00:55:00,0.9528556544648078,0.7166339822707357,470.34155761032594,0.8896880434651362,IS,15,BTC
BTCUSDT_250328,2024-12-16 00:00:00,2024-12-16 16:20:00,1.020590960584124,0.8286273611081654,543.8904973537484,0.9877474853141578,IS,15,BTC
ETHUSDT_220325,2022-01-12 16:00:00,2022-01-15 20:15:00,0.9848880105834781,0.8205252608719841,538.6964582299754,0.9739780879410314,IS,15,ETH
ETHUSDT_220325,2022-01-26 16:00:00,2022-01-26 19:10:00,1.0643092248908985,0.7850783870700812,515.4513651639128,0.945109728519399,IS,15,ETH
ETHUSDT_220624,2022-04-17 00:00:00,2022-04-20 12:40:00,1.1126325728001207,0.8290583232866052,544.3402749709778,0.9862981955993162,IS,15,ETH
ETHUSDT_220624,2022-05-13 02:00:00,2022-05-13 03:10:00,1.1008580834017758,0.8325085549983504,546.6056795222863,0.9910353506438135,IS,15,ETH
ETHUSDT_220930,2022-06-20 04:00:00,2022-06-20 12:00:00,1.095338852936603,0.8253853796471442,541.9173596063405,0.9871066277186821,IS,15,ETH
ETHUSDT_221230,2022-09-23 04:00:00,2022-09-23 04:05:00,1.1703788856230852,0.8534682036265209,560.3569366377343,1.006110106620949,IS,15,ETH
ETHUSDT_221230,2022-11-10 06:00:00,2022-11-15 02:50:00,1.26995063192406,0.8254241014629352,541.982413441318,0.9859316068257544,IS,15,ETH
