per,asset,con,side,ts,why,lastprem_bp,markprem_bp,F_last_vs_mark_bp,P_last_vs_mark_bp,qv,basis_gap_bp
IS,BTC,BTCUSDT_250328,in,2024-12-16 00:00:00,end,453.6797844655327,452.1295672812098,0.6277452034875175,-0.8552871166411791,634098.7571,1.5502171843228894
IS,BTC,BTCUSDT_250328,out,2024-12-31 23:55:00,end,332.5854178937426,331.9157619763491,0.5538366115764859,-0.09430030508683629,298238.7794,0.669655917393527
IS,ETH,ETHUSDT_220325,in,2022-01-12 16:00:00,signal,151.36463141864454,151.9063344153504,-3.086477872055182,-2.5530167848641927,182060.70331,-0.5417029967058511
IS,ETH,ETHUSDT_220325,out,2022-01-22 00:00:00,signal,75.71729622112056,79.0779060920066,-9.389266706923971,-6.057042899981768,762143.38011,-3.3606098708860372
IS,ETH,ETHUSDT_220325,in,2022-01-26 16:00:00,signal,83.28364524629039,85.45107341939584,-0.5101662882056601,1.6392501861073328,360492.36616,-2.167428173105449
IS,ETH,ETHUSDT_220325,out,2022-02-09 14:00:00,signal,16.269955131500424,14.84830822133354,3.8636627064847495,2.443776668117348,242595.77481,1.421646910166885
IS,ETH,ETHUSDT_220624,in,2022-04-17 00:00:00,signal,50.88185409946932,53.79096456885834,-2.8608757383885575,0.032679524970546936,44049.1991,-2.90911046938902
IS,ETH,ETHUSDT_220624,out,2022-05-08 08:00:00,signal,42.555690404415536,40.01245457107672,1.5933585062155586,-0.9395037854165178,30476.10968,2.5432358333388194
IS,ETH,ETHUSDT_220624,in,2022-05-13 02:00:00,signal,50.72989436654795,48.25021420961528,-1.344835999577132,-3.811668465155682,69756.48917,2.479680156932673
IS,ETH,ETHUSDT_220624,out,2022-05-20 16:00:00,signal,20.725813898607726,20.83820843379325,-1.4536819077326513,-1.3415361423618766,442714.26128,-0.11239453518552267
IS,ETH,ETHUSDT_220930,in,2022-06-20 04:00:00,signal,78.38693798701613,80.559978247694,-6.26487247413321,-4.110084320007035,1114.5005,-2.1730402606778796
IS,ETH,ETHUSDT_220930,out,2022-06-26 15:00:00,signal,0.24556147631527026,-0.3706601004749288,-7.9267733090082615,-8.542491301262167,245997.2427,0.6162215767901991
IS,ETH,ETHUSDT_221230,in,2022-09-23 04:00:00,signal,75.01421006970376,51.34617510081263,20.525060725373745,-3.0149693528824795,1425.33756,23.668034968891135
