scenario,L,period,cagr,maxdd_intrabar,sharpe,worst_day,liquidations,trades,y2022,y2023,y2024,BTC_cagr,BTC_maxdd,ETH_cagr,ETH_maxdd,y2025,y2026,seg_oos_cagr,seg_oos_maxdd,seg_oos_sharpe,seg_oos_worst_day,seg_oos_liq
okx_tiers,10,IS,0.1483845783742328,-0.42029643723770094,0.7265031894206812,-0.17025309133838662,0,29,0.08191887733935044,-0.0612502947494441,0.49127820488069873,0.047926556333302006,-0.492885645498927,0.23379594641444768,-0.46691984098340433,,,,,,,
okx_tiers,10,OOS,0.09299507271348006,-0.2600450888836292,0.6069785958384728,-0.0627044224496397,0,12,,,,0.2047020691158541,-0.17496559615131346,-0.02688913145211491,-0.40972040286343225,0.06268030457607576,0.09114318327272408,,,,,
okx_tiers,10,FULL,0.11466930455643443,-0.42029643723770094,0.6321840887011794,-0.17025309133838662,0,39,0.08191887733935044,-0.0612502947494441,0.5082977058381051,0.10021959658289203,-0.492885645498927,0.1284633686363461,-0.46691984098340433,-0.0020061755122908753,0.08540267086177722,0.04919647115356485,-0.2947752270357592,0.3770113927839795,-0.06480909797590129,0.0
okx_tiers,15,IS,0.22183518246732992,-0.5667748115561816,0.7579713603112196,-0.25857952980470567,0,29,0.12645386806118375,-0.08623824771334798,0.7723563669912585,0.05462564671861392,-0.6544336230400949,0.3526811920122803,-0.6112083340236341,,,,,,,
okx_tiers,15,OOS,0.1302693732124216,-0.36369660256702685,0.60738000883613,-0.09187761311015741,0,12,,,,0.30713898973655485,-0.25649782646775476,-0.06736730718323103,-0.5616746641236795,0.07551640273448745,0.14001445514223154,,,,,
okx_tiers,15,FULL,0.15537967052484447,-0.5667748115561816,0.6221982802463737,-0.25857952980470567,0,39,0.12645386806118375,-0.08623824771334798,0.8009961896242626,0.13500257256545556,-0.6544336230400949,0.1745187489390101,-0.6112083340236341,-0.061063469082771715,0.12702639038675323,0.034570984695907914,-0.4326764606299812,0.26210978027666737,-0.09620177691318443,0.0
okx_tiers,20,IS,0.2952219128809308,-0.686909407676451,0.789394911253628,-0.3490326845315086,0,29,0.17349783330247748,-0.10763417801652553,1.0753159553028127,0.04943667174096267,-0.7740386727114871,0.4720532629035554,-0.7196588247689966,,,,,,,
okx_tiers,20,OOS,-0.0709725139760129,-0.6782771355099055,0.18446004045819325,-0.46193227572523365,1,7,,,,0.40886494200008694,-0.3344148188006534,-1.0,-1.0,-0.2769650626656164,0.22354694943777131,,,,,
okx_tiers,20,FULL,-0.001113001491349297,-0.8275869216449319,0.3707329137985876,-0.7015167609208686,1,34,0.17349783330247748,-0.10763417801652553,1.1175629803378717,0.15888866739679242,-0.7740386727114871,-1.0,-1.0,-0.6333417321624302,0.22354694943777131,-0.3821645637286909,-0.8275869216449319,-0.15955479001944656,-0.7015167609208686,1.0
okx_tiers_worstfill_slip2x,1,IS,0.00852853130530451,-0.05588049921223259,0.38501641470435277,-0.017239720164204497,0,29,-0.0011148296618463949,-0.0090944143019136,0.036380538688904895,0.0018059024922232325,-0.06714288427143955,0.015162682392318994,-0.06458392676896485,,,,,,,
okx_tiers_worstfill_slip2x,1,OOS,0.006299314691903923,-0.03132333537087617,0.37070861050894227,-0.006555762686739075,0,12,,,,0.01714885675782929,-0.018267442261615807,-0.004628535489697327,-0.05130818155315042,0.003809471354095262,0.006672965855301305,,,,,
