src,inst,tranche,notional_frac,qv_entry_hour,qv_3h
binance,MET-USDT-SWAP,0,0.2982692970073587,402313.5109,2012981.2703999998
binance,MET-USDT-SWAP,1,0.3079634817768265,258671.4877,1452113.5414
binance,ZBT-USDT-SWAP,0,0.1972942986932136,2188582.4969,6024052.0429
binance,ZBT-USDT-SWAP,1,0.2561332061177662,569182.8208,5539063.1535
binance,APR-USDT-SWAP,1,0.1082453303465447,1474750.9709,6055674.7991
binance,AT-USDT-SWAP,1,0.208030822720056,474252.091,1503270.7349999999
binance,KITE-USDT-SWAP,0,0.1784678467612555,,0.0
binance,KITE-USDT-SWAP,1,0.1994824160054466,,0.0
binance,CC-USDT-SWAP,0,0.2358467957590645,1068749.2129,5384989.434900001
binance,CC-USDT-SWAP,1,0.3126331163355191,873360.9998,4682350.5312
binance,MMT-USDT-SWAP,0,0.0897023261457601,45171338.239,123484817.52899998
binance,MMT-USDT-SWAP,1,0.0907873534696701,14161604.354,47428936.67300001
binance,TRUST-USDT-SWAP,0,0.0904609910483207,3524309.325,7557935.529
binance,TRUST-USDT-SWAP,1,0.130456243259234,696665.163,1916337.139
binance,ALLO-USDT-SWAP,0,0.2219403776614995,14519302.026,38380070.966
binance,ALLO-USDT-SWAP,1,0.2295428607005071,13060139.217,27572647.093000002
binance,BEAT-USDT-SWAP,1,0.159455277797541,4539857.0009,26045353.036700003
binance,PIEVERSE-USDT-SWAP,1,0.1537044663329664,3383731.634,18444332.58
binance,SENT-USDT-SWAP,0,0.1565373286036294,1049033.128,2171115.462
binance,SENT-USDT-SWAP,1,0.2311490932605864,139305.839,519463.91799999995
binance,RLS-USDT-SWAP,0,0.1682166881909417,1448242.6443,6672994.207800001
binance,RLS-USDT-SWAP,1,0.2385982533111951,738060.0106,3313172.3154
binance,NIGHT-USDT-SWAP,0,0.1424563664544738,10294067.4836,30019386.639200002
binance,NIGHT-USDT-SWAP,1,0.1942597115877462,3575076.8902,10548769.9617
binance,WET-USDT-SWAP,0,0.1475411706172421,7236072.417,22376960.418
binance,WET-USDT-SWAP,1,0.1986719662069696,2907198.578,9850528.467
binance,RAVE-USDT-SWAP,0,0.0991853809033334,10810855.7672,35943545.8015
binance,RAVE-USDT-SWAP,1,0.1295334213064894,13137391.1627,27775475.675400004
binance,BREV-USDT-SWAP,0,0.251610906442799,152234.9351,664706.8200000001
binance,BREV-USDT-SWAP,1,0.3448788644919598,162754.9628,343426.65760000004
binance,ZAMA-USDT-SWAP,0,0.2411936330948675,907363.314,2681673.145
binance,ZAMA-USDT-SWAP,1,0.3558497465927008,450194.74,2207715.647
binance,FOGO-USDT-SWAP,0,0.2908966821852169,332568.782,1682096.6378000001
binance,FOGO-USDT-SWAP,1,0.3017891795631778,547773.9108,2110427.1817
binance,ACU-USDT-SWAP,1,0.1801944417704346,6641170.1438,20060099.435599998
binance,SPACE-USDT-SWAP,0,0.1275739779123334,10682912.4985,42642711.357
binance,SPACE-USDT-SWAP,1,0.194916912735801,2663050.5313,9104164.3642
binance,TRIA-USDT-SWAP,0,0.2676232332306748,1906094.796,6754154.1219999995
binance,TRIA-USDT-SWAP,1,0.3272179173993493,2060244.826,10553191.932
binance,AZTEC-USDT-SWAP,0,0.3231191582871243,104655.184,453745.581
binance,ESP-USDT-SWAP,1,0.3342473944404025,2262646.518,5942853.981000001
binance,AZTEC-USDT-SWAP,1,0.2397709192851571,2756704.074,7305960.861
binance,OPN-USDT-SWAP,1,0.2443581573329685,1719928.476,10126510.059
binance,ROBO-USDT-SWAP,0,0.1775753988660514,4608937.116,12434161.512
binance,ROBO-USDT-SWAP,1,0.2746282567246843,5593639.18,18028695.318
binance,KAT-USDT-SWAP,0,0.2918827805826503,242679.966,835597.098
binance,KAT-USDT-SWAP,1,0.2406662849365048,253895.283,994212.366
binance,BASED-USDT-SWAP,0,0.327966123615325,6022971.024,19989910.312
binance,BASED-USDT-SWAP,1,0.3588994746215779,2594428.374,6124515.316
binance,OPG-USDT-SWAP,0,0.1721262996245688,5193386.858,16604962.588
binance,OPG-USDT-SWAP,1,0.2331108456495838,654521.48,3137734.51
binance,BILL-USDT-SWAP,0,0.2405059498007182,9929082.293,30761004.089
binance,BILL-USDT-SWAP,1,0.2225180732071359,19395152.487,35504178.74
binance,SLX-USDT-SWAP,0,0.2115173595187609,1159675.504,5032417.194
binance,SLX-USDT-SWAP,1,0.2652450101507261,909482.934,3532063.202
binance,RE-USDT-SWAP,0,0.1262534486477707,56290634.0943,137196692.7162
binance,RE-USDT-SWAP,1,0.1858131304936183,16516586.7821,51068183.3591
binance,ARX-USDT-SWAP,0,0.2798468138185997,2233245.184,5942164.457
binance,ARX-USDT-SWAP,1,0.3330741389762425,2724335.261,6767051.149
binance,O-USDT-SWAP,0,0.1957143509027249,1913306.468,5899015.646
binance,O-USDT-SWAP,1,0.2760166940422522,591650.002,2414621.301
binance,CAP-USDT-SWAP,0,0.3174282782789851,1098131.349,3861829.444
binance,CAP-USDT-SWAP,1,0.2279824151688594,4919565.528,15831020.201000001
binance,GRAM-USDT-SWAP,0,0.4359172924728181,198791.181,464316.841
binance,GRAM-USDT-SWAP,1,0.4425803341890374,356409.935,1306615.406
binance,GRVT-USDT-SWAP,0,0.2181699023944557,1920840.3625,6666411.0002
binance,GRVT-USDT-SWAP,1,0.3370938346774263,3093628.6179,6798566.0747
binance,DOS-USDT-SWAP,0,0.3942710912494807,2828822.754,8994446.478
binance,DOS-USDT-SWAP,1,0.4322663446189961,1167763.066,3070611.1330000004
