,return,equity,gross,net,beta_exposure,turnover,fees,spread,impact,funding,gross_pnl,pnl_long,pnl_short,n_positions,stops,ic_est
2024-10-10 00:00:00+00:00,0,1.07179,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-10-11 00:00:00+00:00,0,1.07179,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-10-12 00:00:00+00:00,0,1.07179,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-10-13 00:00:00+00:00,0,1.07179,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000635613
2024-10-14 00:00:00+00:00,0,1.07179,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00310287
2024-10-15 00:00:00+00:00,0,1.07179,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00329771
2024-10-16 00:00:00+00:00,0,1.07179,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00419083
2024-10-17 00:00:00+00:00,0,1.07179,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00484853
2024-10-18 00:00:00+00:00,0,1.07179,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00729872
2024-10-19 00:00:00+00:00,-3.85764e-05,1.07175,0.00358134,0.00160895,0.000879104,0.0581002,1.85921e-05,2.51283e-06,1.02289e-06,-7.7417e-07,-1.56634e-05,-8.92554e-06,-6.73781e-06,1.52083,0,0.010174
2024-10-20 00:00:00+00:00,-0.000564577,1.07114,0.0184414,0.0062672,0.00299224,0.239023,7.64864e-05,1.53312e-05,5.61965e-06,-7.49275e-07,-0.000466503,-0.000310233,-0.000156156,5.64583,0,0.0119481
2024-10-21 00:00:00+00:00,0.0014747,1.07272,0.026259,0.00587334,-0.00361166,0.131326,4.20251e-05,6.69799e-06,6.3895e-06,1.35909e-06,0.0015282,0.000618891,0.000821847,4.33333,0,0.0107722
2024-10-22 00:00:00+00:00,-0.00258829,1.06995,0.0378559,0.0121309,0.00090873,0.164974,5.27879e-05,3.03211e-05,4.46209e-06,1.73325e-06,-0.00250479,-0.00176425,-0.000740869,6.1875,0,0.0135466
2024-10-23 00:00:00+00:00,-0.0017953,1.06803,0.0243663,0.0144186,0.00682962,0.116155,3.71683e-05,1.38441e-05,2.23135e-06,-1.27398e-06,-0.0017421,-0.0018937,0.000151882,5,0,0.0123553
2024-10-24 00:00:00+00:00,0.000175095,1.06821,0.0154265,0.00351354,0.000561676,0.204397,6.54073e-05,1.40857e-05,3.29873e-06,-7.01347e-07,0.000258666,0.000196139,6.21516e-05,4.85417,0,0.0101112
2024-10-25 00:00:00+00:00,-9.41604e-06,1.0682,0.0583774,0.0066014,0.000563817,0.285965,9.1519e-05,2.19125e-05,5.89598e-06,1.65348e-06,0.00010927,-0.00251269,0.00262215,5.6875,0,0.0130188
