instId,instFamily,listTime,ctVal,lotSz,minSz,tickSz,lever,last,ct_usd,min_usd,lot_usd,vol24h_usd,spr_bp,cost50_bp,cost250_bp,cost1000_bp,cost2500_bp,cost10000_bp,mmr1,tier1_max_usd,sym,adv,rank,bucket
AUCTION-USDT-SWAP,AUCTION-USDT,1701417300613,0.1,1.0,1.0,0.001,20.0,3.826,0.3826,0.3826,0.3826,1355997.529,7.848275435148537,4.227161909580168,5.138272969854585,8.476023517508535,12.473510513096864,27.037475318994478,0.02,13391.000000000002,AUCTIONUSDT,4667392.308039334,152.0,"(150, 200]"
AVAX-USDT-SWAP,AVAX-USDT,1600840800000,1.0,0.1,0.1,0.001,50.0,10.222,10.222,1.0222,1.0222,55230381.89119999,0.9795278887135176,0.488782442935598,0.8595794043109173,0.9480690375690548,1.3708571215137466,2.426676788259696,0.01,49065.6,AVAXUSDT,123356883.17486668,24.0,"(0, 30]"
AVNT-USDT-SWAP,AVNT-USDT,1758555000222,1.0,1.0,1.0,1e-05,20.0,0.11632,0.11632,0.11632,0.11632,672785.6907200001,3.4468088341902074,6.261614168742713,7.715352419293553,10.20573903644073,13.835029670366538,23.242425462318693,0.02,11632.0,AVNTUSDT,3652874.2343456666,174.0,"(150, 200]"
AXS-USDT-SWAP,AXS-USDT,1627462800000,0.1,1.0,1.0,0.0001,20.0,1.0805,0.10805,0.10805,0.10805,1176392.32205,4.172705901943227,2.6728275106013832,3.716669262617267,6.269902591568566,8.74212359352089,17.490741136754195,0.02,37817.5,AXSUSDT,6274014.674013334,131.0,"(100, 150]"
AZTEC-USDT-SWAP,AZTEC-USDT,1770805800000,100.0,1.0,1.0,1e-05,20.0,0.01637,1.637,1.637,1.637,273202.204,12.22120492940552,6.105006105006083,8.82921756074795,12.974678443317124,20.31542069645453,36.68439107874788,0.02,3601.4,AZTECUSDT,3818298.1797826663,168.0,"(150, 200]"
BABY-USDT-SWAP,BABY-USDT,1744282800387,10.0,1.0,1.0,1e-06,10.0,0.012824,0.12824,0.12824,0.12824,397955.77864,3.1196381219782645,3.980279297360889,7.126561390312092,9.279004826666103,11.195406772256945,23.309661699360557,0.02,3206.0,BABYUSDT,3497959.0778916674,179.0,"(150, 200]"
BAND-USDT-SWAP,BAND-USDT,1599473571000,1.0,1.0,1.0,0.0001,10.0,0.2185,0.2185,0.2185,0.2185,284498.362,4.5840018336015005,2.29195255893877,6.105847272044329,10.557005858002343,16.37580867075328,28.30840145492952,0.02,5462.5,BANDUSDT,1698409.4909256666,239.0,"(200, 300]"
BARD-USDT-SWAP,BARD-USDT,1758196800496,1.0,1.0,1.0,0.0001,20.0,0.1407,0.1407,0.1407,0.1407,607631.5224,7.130124777184795,3.549875754347842,8.237697650325115,10.04665563053675,11.053702921965948,19.843907255043813,0.02,4924.5,BARDUSDT,2002601.3020466666,223.0,"(200, 300]"
BASED-USDT-SWAP,BASED-USDT,1774866600000,10.0,1.0,1.0,1e-05,20.0,0.06723,0.6723,0.6723,0.6723,2472449.8077,2.981087159253464,2.050295005615044,3.2253869943088542,6.130252193511376,9.99213534318255,22.17292021827744,0.01,4201.875,BASEDUSDT,3785237.547506334,171.0,"(150, 200]"
BAT-USDT-SWAP,BAT-USDT,1598609571000,10.0,1.0,1.0,1e-05,20.0,0.0908,0.908,0.908,0.908,560268.6880000001,4.413062866945346,2.7942080332132857,4.7444153086612095,10.340214738797094,15.870329710971909,32.77655229311005,0.02,10896.0,BATUSDT,2277871.5304877334,213.0,"(200, 300]"
