univ,R,signal,neutral,hyst,kind,is_sharpe,is_cagr,is_vol,is_mdd,is_cost,is_turn,is_fund,is_gross_sharpe,is_gross_cagr,is_kelly,is_y2022,is_y2023,is_y2024,oos_sharpe,oos_cagr,oos_vol,oos_mdd,oos_cost,oos_turn,oos_fund,oos_gross_sharpe,oos_gross_cagr,oos_kelly,oos_y2025,oos_y2026
TAIL,4,LGBM,beta,0,lgbm,-11.843606907178675,-0.7304854564516232,0.10997748922332391,0.9629404797472807,1.8075228755965014,2226.253993135581,0.025116976848269437,2.7807972545871227,0.3975740370277909,-107.63232826264102,-0.4916967435655336,-0.7503228593155628,-0.704858180383058,-8.45426912031942,-0.7445677933791484,0.15963465535431476,0.8970494383183298,1.5758603103935154,1969.6357697393032,0.15498358456451736,1.1082458990475952,0.1866189940833105,-52.916540687867716,-0.7185329053537873,-0.633633669392105
TAIL,4,LGBM,beta,1,lgbm,-7.243131668681784,-0.48792314260839276,0.091723090834918,0.8144579623107334,0.9384922375761118,1156.1826303227347,0.021371544665886,2.4316117003198614,0.26008613047603824,-78.92421118093935,-0.277868632597032,-0.46858653865770983,-0.5126993489603409,-4.723861831808942,-0.4466583710990423,0.12356714016066547,0.6364592600273017,0.7032717233635681,878.6866671859327,0.12361867079910628,0.7774714939303374,0.09522140470008256,-38.197658958613154,-0.41674022703664015,-0.3597917245325367
TOP30,24,LGBM,dollar,0,lgbm,0.839720749588223,0.19604072024637298,0.2508565854723038,0.2536723101355005,0.21683705140098714,348.8663875364758,0.049048962190115945,1.6992682362760767,0.4854782026350184,3.3455839270447023,0.17896546391536883,-0.08385025226692533,0.44976119683512295,0.20453109919754914,0.010585967651937533,0.34668829903250165,0.508731123722626,0.19181215023438497,305.72052869962687,0.37017101460101076,0.7520218365099179,0.22216261325465458,0.5894713800052495,0.3948586188735186,-0.2704038643883022
TOP30,24,LGBM,dollar,1,lgbm,0.6977132377781172,0.13986939252814956,0.2236734665217007,0.19896339515486006,0.11962481186450762,193.29740943946715,0.0370381963318621,1.2360885322140256,0.28672755668592953,3.11763339805274,0.19336679247098654,-0.08220305887716584,0.2673863925734352,0.4217616359541322,0.08209855786455478,0.28051530915009565,0.38549969816984797,0.08996769855541477,144.0003402028576,0.2671654842411856,0.748406755587221,0.18622943826552052,1.5022875259334623,0.4927922630334338,-0.23609100272209982
TOP30,24,LGBM,beta,0,lgbm,1.1506283555567964,0.23371407932000987,0.19983600949115962,0.1876410568167769,0.21100645892698516,339.66605228449765,0.056335731074222996,2.205375052068688,0.5246948649944922,5.754715718827978,0.12927101661087725,0.03141327333351884,0.45302689019219056,-0.007924633460408757,-0.0465379401233208,0.3002180998505094,0.5234972881067304,0.18816835281655744,301.628228122605,0.3385848903342159,0.6081956728671365,0.14734296171633798,-0.026374538424448198,0.3049262528829748,-0.29211579266424736
TOP30,24,LGBM,beta,1,lgbm,1.1324979726935887,0.20578839186122488,0.1794341697528306,0.1405953153207422,0.11701025498828403,189.00271748364466,0.044412453452992724,1.7849316939802804,0.3565983070375458,6.308045751397393,0.1515170123008398,0.06413410995633329,0.3041520438660088,0.040320064781658685,-0.019585197355987738,0.24303300918246934,0.41807468527458,0.08789081076530456,141.4985004799529,0.2421678944258448,0.39861659612027617,0.06969229798256737,0.16576716604842603,0.3367683164763966,-0.27615663985317007
TOP30,8,LGBM,dollar,0,lgbm,-1.8730096511292154,-0.36577271947216805,0.22888457767631795,0.7281553408597756,0.6373254017346744,1043.38474122753,0.03196755094143663,0.8736729637813597,0.19330960864676383,-8.178733088065481,-0.2363573768774121,-0.42605045476275505,-0.2708225153407431,0.7137905135004737,0.19989579991372342,0.3332820388477479,0.3309630305933563,0.5348819406522805,850.5782560181623,0.29471977231022156,2.3120370901487406,1.0520279921779898,2.139939120707943,0.4350818654516835,-0.056228844819680934
TOP30,8,LGBM,dollar,1,lgbm,-0.520563705547085,-0.11538510135103619,0.19777092129650012,0.3851089042145469,0.35129043017913664,575.3542477487997,0.024299257872198096,1.2422550159243302,0.25717670766729017,-2.6307162010015563,-0.06888739741941241,-0.26163753574654847,0.06989331211667027,0.8161439034803022,0.20162659268498606,0.2696693297921472,0.27183555492261446,0.2423172950227188,389.70624467284443,0.23072951339595957,1.717692391318524,0.5360124125798524,3.0239718285112103,0.4848915972719017,-0.08569589260406574
TOP30,8,LGBM,beta,0,lgbm,-2.2525747688849997,-0.3453734599997169,0.1806979327109166,0.7012716282591032,0.6310185351603473,1032.6654229112025,0.03826161299495047,1.1768549883378157,0.22104243364691878,-12.459154808444621,-0.2239801845424999,-0.4046125848477986,-0.25119804688178116,0.41207488342344056,0.07968909304104144,0.28462921710178046,0.38631583630206434,0.5245816526641682,841.3652522934858,0.27196506138488125,2.2529982869668874,0.8296576021347819,1.4465692271121968,0.28510818139794947,-0.1159236083722388
TOP30,8,LGBM,beta,1,lgbm,-0.4916779764705164,-0.0873408999066646,0.15985220438640918,0.35650582898352856,0.3465528861793705,567.5536739341616,0.03220845142005387,1.6701286258201762,0.2925138279333992,-3.0741473251363156,-0.0729112685627884,-0.22001121925803235,0.09991229907823262,0.5340010457439073,0.10180397539932673,0.23215675041182224,0.325683270921451,0.23812653960482905,384.98310303700543,0.21564439029772603,1.5561010434557623,0.3997964358657229,2.298282167036761,0.37463943771728303,-0.145132836333141
TOP30,4,LGBM,dollar,0,lgbm,-5.221125830726772,-0.6875635324706173,0.21785549201196178,0.9468320274016013,1.406206966244923,2305.7976275969886,0.030821781820405396,0.9846599552222172,0.22739488529953755,-23.952905333509204,-0.3866513702496954,-0.7817243810020922,-0.594866604616083,-2.0864456773540425,-0.49019539127983647,0.30084096310910213,0.7483187638741283,1.1800109414818993,1938.4792315765872,0.22385067769922623,1.768556778553418,0.6407279900178748,-6.9296718195218725,-0.38430522227786823,-0.47085470471517965
