instId,instFamily,listTime,ctVal,lotSz,minSz,tickSz,lever,last,ct_usd,min_usd,lot_usd,vol24h_usd,spr_bp,cost50_bp,cost250_bp,cost1000_bp,cost2500_bp,cost10000_bp,mmr1,tier1_max_usd
SPX-USDT-SWAP,SPX-USDT,1752728400453,1.0,1.0,1.0,0.0001,20.0,0.4409,0.4409,0.4409,0.4409,2320605.2833000002,2.2807618930747755,3.180679510089157,4.951066779406155,8.908754239320139,13.835975391192633,27.38539956973596,0.02,11022.5
SSV-USDT-SWAP,SSV-USDT,1700711700717,0.1,1.0,1.0,0.001,20.0,3.122,0.31220000000000003,0.31220000000000003,0.31220000000000003,594610.5004,11.275515517181898,7.878588709422929,9.923660714724058,12.483249304943156,15.423214181566337,34.262035129442594,0.02,6244.000000000001
STABLE-USDT-SWAP,STABLE-USDT,1765200600000,100.0,1.0,1.0,1e-05,20.0,0.02661,2.661,2.661,2.661,859580.1690000001,18.85015209283468,7.496251874062887,7.496251874062887,9.502903836260401,14.852816243386968,33.06591130188718,0.02,8515.2
STRK-USDT-SWAP,STRK-USDT,1708433700141,1.0,1.0,1.0,1e-05,50.0,0.03922,0.03922,0.03922,0.03922,7512351.444239999,2.5546053417811443,3.8167648258535802,3.817565232890896,4.253842264188568,5.5192872010334515,9.06975630616702,0.01,5883.0
STX-USDT-SWAP,STX-USDT,1676969758164,10.0,0.1,0.1,0.0001,20.0,0.3135,3.135,0.3135,0.3135,4360152.6705,6.386719702035316,3.187759005419677,3.187759005419677,3.8535581304505184,6.3966883750460335,11.670906943460624,0.02,20377.5
SUI-USDT-SWAP,SUI-USDT,1683258900891,1.0,1.0,1.0,0.0001,50.0,1.0161,1.0161,1.0161,1.0161,150458195.6361,0.984300408484561,0.49147294441387324,0.49147294441387324,0.7214187362658553,1.1732199504910223,2.692120999390757,0.01,96529.5
SUSHI-USDT-SWAP,SUSHI-USDT,1599041571000,1.0,1.0,1.0,0.0001,50.0,0.2563,0.2563,0.2563,0.2563,2324907.0393999997,3.908545534115837,3.834805004735986,4.256676234830614,6.753334638306963,9.411867297001164,14.47603408501974,0.01,6407.499999999999
SYRUP-USDT-SWAP,SYRUP-USDT,1751524200291,10.0,1.0,1.0,0.0001,20.0,0.2176,2.1759999999999997,2.1759999999999997,2.1759999999999997,1615671.2959999999,4.596644449551321,2.5908917617994964,6.025440706697305,11.092383656671757,17.12575356336954,28.560191060496564,0.02,5439.999999999999
TAO-USDT-SWAP,TAO-USDT,1726808400182,0.01,1.0,1.0,0.1,50.0,298.9,2.989,2.989,2.989,64866019.631,3.352329963443623,1.6675004168742458,1.6675004168742458,1.6675004168742458,2.3872953859155333,3.9988426846837566,0.01,61274.5
THETA-USDT-SWAP,THETA-USDT,1587463971000,10.0,0.1,0.1,0.0001,20.0,0.2237,2.237,0.2237,0.2237,995462.3156000001,4.4812915116270915,2.228660574994379,4.131866796595607,7.2725682415647475,11.524578878014946,24.05091403610282,0.02,12303.5
TIA-USDT-SWAP,TIA-USDT,1698776700675,1.0,1.0,1.0,0.0001,50.0,0.4891,0.4891,0.4891,0.4891,12394744.3213,2.0496013826720416,2.021030637444632,2.639445093269299,2.9560073890860794,4.67538746863061,9.31935026083297,0.01,12227.5
GRAM-USDT-SWAP,GRAM-USDT,1781692200000,1.0,1.0,1.0,0.001,50.0,1.411,1.411,1.411,1.411,6741525.1850000005,7.0947144377431,3.5423308537008147,3.5423308537008147,6.170466779550909,6.719023890642273,6.99325727168465,0.01,3527.5
TRB-USDT-SWAP,TRB-USDT,1599559971000,0.1,1.0,1.0,0.01,20.0,20.47,2.047,2.047,2.047,7433592.479,4.901961078789368,2.4384296513046966,2.4384296513046966,5.700164503563143,7.73292815231974,11.067138920298758,0.02,20470.0
TRIA-USDT-SWAP,TRIA-USDT,1770276600000,100.0,1.0,1.0,1e-06,10.0,0.004056,0.40559999999999996,0.40559999999999996,0.40559999999999996,6760430.8824,6.1650771794865245,4.643930560493392,6.967316829859516,10.848654310553485,16.049177958915585,33.0945639635305,0.02,3041.9999999999995
TRUMP-USDT-SWAP,TRUMP-USDT,1737264604112,0.1,1.0,1.0,0.001,50.0,2.088,0.2088,0.2088,0.2088,139335286.80960003,4.803074244351172,2.38151940938347,2.38151940938347,2.38151940938347,2.38151940938347,2.38151940938347,0.01,52200.0
TRUST-USDT-SWAP,TRUST-USDT,1762342200957,10.0,1.0,1.0,1e-05,10.0,0.06034,0.6033999999999999,0.6033999999999999,0.6033999999999999,171126.6536,6.637355397423593,6.815255691835498,9.757042413645056,16.8411191779666,24.535758485800805,50.267127203745815,0.05,6033.999999999999
TRUTH-USDT-SWAP,TRUTH-USDT,1764329400000,100.0,1.0,1.0,1e-06,10.0,0.013662,1.3662,1.3662,1.3662,154779.53040000002,8.049467637481682,8.991941530724358,11.913891451116875,17.08554734951184,25.230322300304195,47.37700465098749,0.05,13662.0
TRX-USDT-SWAP,TRX-USDT,1573557408000,1000.0,0.01,0.01,1e-05,50.0,0.33987,339.87,3.3987000000000003,3.3987000000000003,11687191.2588,0.2941479272472843,0.14707828977444937,0.14707828977444937,0.14707828977444937,0.3411263886088367,1.228784325302823,0.0065,50980.5
TURBO-USDT-SWAP,TURBO-USDT,1702547700612,10000.0,0.1,0.1,1e-07,20.0,0.0010676,10.676,1.0676,1.0676,1009109.3988,4.710331486883276,2.7828279669267486,4.72709414492789,9.224230393178324,13.67951794511546,29.43957445014633,0.02,6192.08
UB-USDT-SWAP,UB-USDT,1777383000000,100.0,1.0,1.0,1e-05,20.0,0.14047,14.047,14.047,14.047,2720356.0670000003,8.548835394748256,3.4336569002030304,3.9075683291095453,8.112449580073843,12.751334912592949,27.723854181739284,0.02,9832.9
UMA-USDT-SWAP,UMA-USDT,1599214371000,0.1,1.0,1.0,0.0001,10.0,0.4087,0.040870000000000004,0.040870000000000004,0.040870000000000004,308204.18482,4.898959632572769,3.504199026639343,5.845285116933829,12.101186451148326,17.516380272646348,35.79994673811815,0.02,4087.0000000000005
UP-USDT-SWAP,UP-USDT,1775646000000,10.0,1.0,1.0,0.0001,10.0,0.3338,3.338,3.338,3.338,3021821.3019999997,8.961911874532246,9.673600439147334,13.708155093670182,25.383398642496722,40.48699893700769,81.6981350007473,0.02,20028.0
USDC-USDT-SWAP,USDC-USDT,1678607700793,10.0,1.0,1.0,1e-06,50.0,1.000052,10.00052,10.00052,10.00052,26781.39256,0.7199366455759095,0.3599683227883954,0.5300679847169976,1.500840920503621,2.1133248499261015,2.8244718694719895,0.0065,200010.4
USELESS-USDT-SWAP,USELESS-USDT,1753437600380,10.0,1.0,1.0,1e-05,10.0,0.2865,2.8649999999999998,2.8649999999999998,2.8649999999999998,44300798.805,0.5275917056413242,0.914169381134311,1.8516767836984638,3.129674787636927,5.666938083788153,12.977430394882084,0.02,28649.999999999996
VANA-USDT-SWAP,VANA-USDT,1734408000582,0.1,1.0,1.0,0.0001,20.0,1.1465,0.11465000000000002,0.11465000000000002,0.11465000000000002,195123.7522,13.53617794685257,6.539652090509218,6.539652090509218,9.228295980596158,12.42391547018995,27.153110973982542,0.02,4012.7500000000005
VIRTUAL-USDT-SWAP,VIRTUAL-USDT,1733911200140,1.0,1.0,1.0,0.0001,20.0,0.7495,0.7495,0.7495,0.7495,10063828.805000002,2.671654516455577,1.0662772416664135,1.8995274055855216,3.5242278061309307,5.487228862963711,10.692728855552502,0.02,46469.0
VVV-USDT-SWAP,VVV-USDT,1783058400000,0.1,1.0,1.0,0.001,20.0,31.134,3.1134000000000004,3.1134000000000004,3.1134000000000004,15180458.9364,2.893291758060389,1.5863957694212116,2.107792386721874,4.184972180133473,7.390596995185961,13.044164488320575,0.02,62268.00000000001
W-USDT-SWAP,W-USDT,1712147100572,1.0,1.0,1.0,1e-06,20.0,0.011766,0.011766,0.011766,0.011766,1386890.105838,4.257314433313109,2.7180307473434473,4.942376672021354,8.641800562104729,11.979060142517927,22.610629616033883,0.02,8000.88
WAL-USDT-SWAP,WAL-USDT,1746687600526,10.0,1.0,1.0,1e-05,10.0,0.03419,0.3419,0.3419,0.3419,364951.9237,13.18431362983606,4.36444738075914,5.536362827666119,10.168474226356917,19.558284562801177,56.96960944047702,0.05,1435.98
WCT-USDT-SWAP,WCT-USDT,1744716600433,10.0,1.0,1.0,1e-05,20.0,0.04265,0.4265,0.4265,0.4265,332437.984,4.6992481203005605,3.9662665846190714,6.42387470042749,10.542516285466096,14.73072464451386,30.47613108445313,0.02,7677.0
WET-USDT-SWAP,WET-USDT,1765296000000,10.0,1.0,1.0,1e-05,20.0,0.06931,0.6930999999999999,0.6930999999999999,0.6930999999999999,318174.486,10.845621034371286,8.46593668003659,9.740359215830718,12.446409944036896,16.626715579490803,29.937706303515554,0.02,4158.599999999999
