config,cost,scope,mode,L,cagr_IS,cagr_OOS,maxdd_IS,maxdd_OOS,sharpe_IS,sharpe_OOS,worstday_IS,worstday_OOS,liq_IS,liq_OOS,entries_IS,rolls_IS,entries_OOS,rolls_OOS,margin_rebalances_OOS,y2022_fullrun,y2023_fullrun,y2024_fullrun,y2025_fullrun,y2026_fullrun
two_A,deliv_0.02,BTC+ETH,cross,1,5.1,-0.22,-6.4,-2.1,1.29,-0.23,-3.0,-0.3,0,0,58,2,20,0,0,-2.0,7.5,10.2,-1.0,0.7
two_A,deliv_0.02,BTC+ETH,cross,3,15.29,-0.66,-17.9,-6.1,1.32,-0.23,-8.5,-0.9,0,0,58,2,20,0,0,-5.9,23.1,32.3,-3.1,2.0
two_A,deliv_0.02,BTC+ETH,cross,5,25.41,-1.12,-27.8,-10.0,1.34,-0.22,-13.3,-1.5,0,0,58,2,20,0,0,-9.8,39.7,56.6,-5.1,3.4
two_A,deliv_0.02,BTC+ETH,cross,10,49.98,-2.36,-47.4,-19.2,1.36,-0.22,-23.1,-3.0,0,0,58,2,20,0,0,-19.5,85.6,125.7,-10.1,7.0
two_A,deliv_0.02,BTC+ETH,cross,15,72.58,-3.73,-61.6,-27.6,1.37,-0.21,-30.6,-4.5,0,0,58,2,20,0,0,-28.8,137.6,203.8,-15.0,10.9
two_A,deliv_0.02,BTC+ETH,cross,20,91.92,-5.22,-72.2,-35.4,1.36,-0.2,-36.7,-6.0,0,0,58,2,20,0,0,-37.7,195.5,283.9,-19.8,14.9
two_A,deliv_0.02,ETH,cross,1,5.0,0.28,-6.8,-2.5,1.16,0.25,-2.9,-0.4,0,0,29,2,10,0,0,-2.5,5.8,12.2,-0.6,1.1
two_A,deliv_0.02,ETH,cross,3,15.1,0.8,-18.9,-7.3,1.19,0.25,-8.1,-1.1,0,0,29,2,10,0,0,-7.5,17.9,39.7,-2.0,3.4
two_A,deliv_0.02,ETH,cross,5,25.25,1.28,-29.2,-12.0,1.22,0.25,-12.6,-1.9,0,0,29,2,10,0,0,-12.4,30.8,71.5,-3.3,5.7
two_A,deliv_0.02,ETH,cross,10,50.43,2.27,-49.5,-22.7,1.26,0.25,-21.8,-3.8,0,0,29,2,10,0,0,-24.3,66.3,170.4,-6.9,11.5
two_A,deliv_0.02,ETH,cross,15,74.21,2.97,-64.0,-32.4,1.28,0.26,-28.8,-5.6,0,0,29,2,10,0,0,-35.7,106.7,297.8,-10.6,17.4
two_A,deliv_0.02,ETH,cross,20,94.9,3.36,-74.6,-41.1,1.29,0.26,-34.2,-7.5,0,0,29,2,10,0,0,-46.3,151.5,448.9,-14.5,23.5
two_A,mmr1pct,BTC,cross,1,5.2,-0.71,-7.0,-2.5,1.25,-0.65,-3.1,-0.5,0,0,29,0,10,0,0,-1.5,9.1,8.3,-1.4,0.2
two_A,mmr1pct,BTC,cross,3,15.49,-2.14,-19.5,-7.3,1.27,-0.65,-8.8,-1.4,0,0,29,0,10,0,0,-4.4,28.1,25.7,-4.2,0.7
two_A,mmr1pct,BTC,cross,5,25.57,-3.57,-30.3,-11.9,1.29,-0.64,-13.9,-2.4,0,0,29,0,10,0,0,-7.3,48.2,44.2,-6.9,1.1
two_A,mmr1pct,BTC,cross,10,49.52,-7.15,-51.9,-22.5,1.3,-0.63,-24.2,-4.7,0,0,29,0,10,0,0,-14.6,102.7,93.1,-13.5,2.1
two_A,mmr1pct,BTC,cross,15,70.92,-10.75,-67.5,-32.1,1.31,-0.62,-32.1,-6.9,0,0,29,0,10,0,0,-21.9,163.1,143.0,-19.7,3.1
two_A,mmr1pct,BTC,cross,20,88.84,-14.35,-79.0,-40.6,1.3,-0.61,-38.4,-9.1,0,0,29,0,10,0,0,-29.0,228.7,188.5,-25.7,4.0
two_A,mmr1pct,BTC+ETH,cross,1,5.09,-0.22,-6.4,-2.1,1.29,-0.23,-3.0,-0.3,0,0,58,2,20,0,0,-2.0,7.4,10.2,-1.0,0.7
