variant,L,band,cagr_is,sharpe_is,maxdd_is,liq_is,lookback_d,theta,K
rotate_10coins,3,0.1,0.026671361702539143,0.7529898619920359,0.07894265439864201,0,3.0,0.1,1.0
rotate_10coins,3,0.05,0.0022695285195559745,0.09964099724427972,0.07664344675055146,0,3.0,0.1,2.0
rotate_10coins,3,0.1,0.031169889075967294,1.1920204083549066,0.05322036862971102,0,3.0,0.1,2.0
rotate_10coins,3,0.05,0.01537572345726601,0.7632660057047448,0.062125069996464055,0,3.0,0.1,4.0
rotate_10coins,3,0.1,0.040049775774940066,1.9091401051428092,0.04029003120004737,0,3.0,0.1,4.0
rotate_10coins,3,0.05,0.03348516221013864,1.5093840000769454,0.031151220898228416,0,3.0,0.2,1.0
rotate_10coins,3,0.1,0.04391340793598353,1.9370151609775383,0.026851957911578017,0,3.0,0.2,1.0
rotate_10coins,3,0.05,0.0386490258984542,2.055094149959454,0.028459582193180566,0,3.0,0.2,2.0
rotate_10coins,3,0.1,0.05166877800922354,2.6788769571590008,0.026343948642334025,0,3.0,0.2,2.0
rotate_10coins,3,0.05,0.03475915751694014,2.359352553000373,0.018292618702640207,0,3.0,0.2,4.0
rotate_10coins,3,0.1,0.04660394893637898,3.0572686748035967,0.01722384703748836,0,3.0,0.2,4.0
rotate_10coins,3,0.05,-0.03165372532930044,-0.607025024136161,0.158543391915817,0,7.0,0.0,1.0
rotate_10coins,3,0.1,0.014370496996248816,0.30909927324865755,0.11810971086034094,0,7.0,0.0,1.0
rotate_10coins,3,0.05,-0.011831111176025866,-0.29562639163075494,0.1374306109635095,0,7.0,0.0,2.0
rotate_10coins,3,0.1,0.03300950806398961,0.8935186120598984,0.0950054813579303,0,7.0,0.0,2.0
rotate_10coins,3,0.05,-0.003886056862330789,-0.1271295219598599,0.1432699387341999,0,7.0,0.0,4.0
rotate_10coins,3,0.1,0.03732060634573209,1.343741852087884,0.10331714492297606,0,7.0,0.0,4.0
rotate_10coins,3,0.05,-0.01689169075159369,-0.3397251596280484,0.16303550384263987,0,7.0,0.05,1.0
rotate_10coins,3,0.1,0.029954577138586735,0.6626962957470245,0.12067122349890247,0,7.0,0.05,1.0
rotate_10coins,3,0.05,0.02046246565988752,0.6853562008174912,0.09798963560492291,0,7.0,0.05,2.0
rotate_10coins,3,0.1,0.06525228750968437,2.1345728157255466,0.06653719459239027,0,7.0,0.05,2.0
rotate_10coins,3,0.05,0.019561181061077404,0.8320482656482145,0.10546977123405887,0,7.0,0.05,4.0
rotate_10coins,3,0.1,0.05953135534449938,2.458290519593886,0.07727690175368696,0,7.0,0.05,4.0
rotate_10coins,3,0.05,0.04730764744300142,1.636591050819949,0.05081082167812323,0,7.0,0.1,1.0
rotate_10coins,3,0.1,0.07258625882944636,2.4891219428915194,0.050145413833632024,0,7.0,0.1,1.0
rotate_10coins,3,0.05,0.05082457700524712,2.4976029658155343,0.03868528508087732,0,7.0,0.1,2.0
rotate_10coins,3,0.1,0.07505268279312594,3.6389230719420262,0.037936116048528534,0,7.0,0.1,2.0
rotate_10coins,3,0.05,0.0511114853934429,2.928234682403213,0.044128281680552384,0,7.0,0.1,4.0
rotate_10coins,3,0.1,0.0742876200139948,4.147988505157244,0.042306583189660074,0,7.0,0.1,4.0
rotate_10coins,3,0.05,0.01659770877569211,0.8011075814470371,0.03152715743466683,0,7.0,0.2,1.0
rotate_10coins,3,0.1,0.030329139030029317,1.3861450948676428,0.03278641321995679,0,7.0,0.2,1.0
rotate_10coins,3,0.05,0.030198792649191564,1.9451606378449369,0.02165089276436971,0,7.0,0.2,2.0
rotate_10coins,3,0.1,0.040966065748944125,2.512060229771766,0.019579704352636007,0,7.0,0.2,2.0
rotate_10coins,3,0.05,0.030472927303729636,2.453675610921598,0.015050003685875168,0,7.0,0.2,4.0
rotate_10coins,3,0.1,0.04113196991154844,3.1885005572824285,0.012008366338128296,0,7.0,0.2,4.0
rotate_10coins,3,0.05,0.03880793141008221,1.038720883644098,0.0898504563373691,0,14.0,0.0,1.0
rotate_10coins,3,0.1,0.08972760838652993,2.360901133998954,0.0570055071456711,0,14.0,0.0,1.0
rotate_10coins,3,0.05,0.03665438457864867,1.236245837081374,0.09305867462124662,0,14.0,0.0,2.0
rotate_10coins,3,0.1,0.08508198242960585,2.8264690516875124,0.05513070211044402,0,14.0,0.0,2.0
rotate_10coins,3,0.05,0.040698199880174535,1.6723680353747288,0.10702157180428817,0,14.0,0.0,4.0
rotate_10coins,3,0.1,0.08295332660595545,3.399247788006463,0.07277425478469512,0,14.0,0.0,4.0
rotate_10coins,3,0.05,0.048637077269514606,1.5950234124786498,0.08018849721004495,0,14.0,0.05,1.0
rotate_10coins,3,0.1,0.09926459272967869,3.2381537216099683,0.05993022136823711,0,14.0,0.05,1.0
