variant,leverage,params,cagr_is,cagr_oos,maxdd_is,maxdd_oos,maxdd_full,worst_day_is,worst_day_oos,worst_day_full,sharpe_is,sharpe_oos,liq_is,liq_oos,liq_full,liq_dates_full,trades_full,trades_oos,imr_rejects_full,okx_openable,avg_util_lev_full,funding_full,interest_full,fees_full,ret_2022,ret_2023,ret_2024,ret_2025,ret_2026
i_always_BTCETH_borrow12,3,"{""L"": 3, ""mode"": ""always"", ""band"": 0.2, ""borrow"": 0.12}",-0.01885032315083568,-0.12493376414581225,0.21726326096105453,0.20140985681618773,0.24899064060833753,-0.011507524335457209,-0.005800711368717071,-0.011507524335457209,-0.9127974521770783,-12.849928145254045,0,0,0,,150,48,0,True,3.0196068599150667,0.7925329863145217,0.9883186719807819,0.0473111742520581,-0.16988573636359927,-0.0007643775665531205,0.13866075920024867,-0.09475462853352934,-0.11921247049222916
i_always_BTCETH_rawpremiumstress,3,"{""L"": 3, ""mode"": ""always"", ""band"": 0.2, ""stress"": ""raw premium index""}",0.1245359458906794,0.028974682848146527,0.14918413027654998,0.04466195393043659,0.14918413027654998,-0.009466313902127488,-0.005539015270554781,-0.009466313902127488,6.780424613649638,2.7701113944782723,0,0,0,,152,46,0,True,2.999712424109562,1.1397439919859906,0.5669885938190452,0.0645508037428456,0.022143499491933838,0.1631881770900767,0.19617044000658512,0.053274664431693486,0.0003728166829506385
i_always_BTCETH_makerfees,3,"{""L"": 3, ""mode"": ""always"", ""band"": 0.2, ""maker"": true, ""fees"": ""maker""}",0.1278787020665768,0.03201171192691943,0.033685494895153045,0.033124333584598986,0.033685494895153045,-0.00946470065521976,-0.004038985991619448,-0.00946470065521976,7.070584356536512,3.258105155804882,0,0,0,,152,46,0,True,2.9983893181873955,1.1483589621592507,0.5715561362358872,0.048884709602680425,0.02737054947348372,0.16487443353493814,0.19899323750112896,0.055983632121932914,0.0016571134562075596
i_always_BTCETH_splitmargin,3,"{""L"": 3, ""mode"": ""always"", ""band"": 0.2, ""margin"": ""separate accounts, daily transfer""}",0.03701780880178185,-0.11043838295022612,0.2901255558094069,0.34558204022064376,0.3954438692499519,-0.065892401678885,-0.1119079127234579,-0.12345737810634438,0.6917949857344244,-1.1849388782519301,9,5,15,2022-02-28 22;2022-06-19 20;2022-07-16 16;2022-07-18 23;2022-11-08 19;2022-11-10 15;2023-10-23 22;2024-05-20 21;2024-08-08 22;2025-02-03 02;2025-03-03 19;2025-05-08 19;2025-10-10 21;2026-02-25 21;2026-08-19 20,202,66,0,True,2.984751090347582,0.9016934220780567,0.5345512417715323,0.1299755774903631,-0.07982301909319034,0.06276818046730859,0.14040612485768045,-0.21414374678976555,-0.06044943347372844
i_always_BTCETH,5,"{""L"": 5, ""mode"": ""always"", ""band"": 0.2, ""borrow"": ""okx"", ""stress"": ""mark"", ""fees"": ""taker""}",0.1733654391335444,0.018980816457677463,0.06017382743850286,0.06163541040258447,0.06017382743850286,-0.01583597948998272,-0.009354229524455526,-0.01583597948998272,5.7101815523831645,1.1000958691067233,0,0,0,,150,60,0,True,4.980006893099484,2.063812427724512,1.2369616421621732,0.11654474833454112,0.026154767082074315,0.24950384528906722,0.26007657177347987,0.06181848277974655,-0.01306278721884202
i_always_BTCETH_borrow5,5,"{""L"": 5, ""mode"": ""always"", ""band"": 0.2, ""borrow"": 0.05}",0.18020936033928447,-0.029621878911403,0.1366937629167181,0.09659165725822982,0.1366937629167181,-0.01825256303506606,-0.009144767881942073,-0.01825256303506606,4.862419415224462,-1.635731428777257,0,0,0,,160,54,0,True,5.019540114081178,1.9204522353496254,1.2212932570464292,0.11347050729792156,-0.10736865257641659,0.20920923008114123,0.5231856152254226,0.037199603613161436,-0.07644327925933248
i_always_BTCETH_borrow8,5,"{""L"": 5, ""mode"": ""always"", ""band"": 0.2, ""borrow"": 0.08}",0.051069535621899975,-0.1404698374924973,0.2355652867380792,0.230820893394308,0.2355652867380792,-0.018821573620256937,-0.009458964285554039,-0.018821573620256937,1.4779894644213225,-8.497021663710573,0,0,0,,152,50,0,True,4.968059521826966,1.4475429678757874,1.4394942359939014,0.08691275526228946,-0.2066989332461482,0.08265847664671466,0.352009156589558,-0.08008973117820517,-0.14262517992882917
i_always_BTCETH_borrow12,5,"{""L"": 5, ""mode"": ""always"", ""band"": 0.2, ""borrow"": 0.12}",-0.10769196365385736,-0.27301980902809286,0.4241042842841013,0.41314883522868406,0.5745400040519708,-0.016854029319886443,-0.00987792959704592,-0.016854029319886443,-3.4241195166819174,-17.47111937282621,0,0,0,,158,54,0,True,5.021836871719485,1.008362648157722,1.508472145490877,0.06733391794907564,-0.32170640372532944,-0.07654513466847235,0.1341673782138053,-0.21642187327770934,-0.2339883454263516
i_always_BTCETH_rawpremiumstress,5,"{""L"": 5, ""mode"": ""always"", ""band"": 0.2, ""stress"": ""raw premium index""}",0.1733654391335444,0.018980816457677463,0.2496809859409148,0.08549867810835665,0.2496809859409148,-0.01583597948998272,-0.009354229524455526,-0.01583597948998272,5.7101815523831645,1.1000958691067233,0,0,0,,150,60,0,True,4.980006893099484,2.063812427724512,1.2369616421621732,0.11654474833454112,0.026154767082074315,0.24950384528906722,0.26007657177347987,0.06181848277974655,-0.01306278721884202
i_always_BTCETH_makerfees,5,"{""L"": 5, ""mode"": ""always"", ""band"": 0.2, ""maker"": true, ""fees"": ""maker""}",0.1805201940616623,0.026596323739736416,0.059212396970358405,0.05978623766049829,0.059212396970358405,-0.015831590258566064,-0.0068541807262274546,-0.015831590258566064,6.028804550930758,1.6315406654368243,0,0,0,,152,54,0,True,4.990587192929465,2.0999449879155634,1.2609484063290692,0.09062390049048995,0.03765147885345543,0.2520939309135586,0.2664299520999547,0.06414601119312202,-0.01144456349412537
