rule,family,L,period,cfg_id,cfg,cagr,maxdd,worst_day,worst_intraday,sharpe,liq,trades,per_year,coin_cagr
S1_bestIS_CAGR_at_L,orb,15,OOS,99,"{""session"": ""us"", ""M"": 60, ""stop"": ""opp"", ""tp"": 1, ""filt"": ""narrow""}",-0.9652471740073908,0.9976416493817843,-0.2811960716471599,-0.2811960716471599,-1.6518974630203154,0,1492,"{""2025"": -0.8753, ""2026"": -0.9701}","{""BTC"": -0.9743, ""ETH"": -0.8657, ""SOL"": -0.9972, ""XRP"": -0.939, ""DOGE"": -0.9959, ""AVAX"": -0.9995, ""LINK"": -0.9963}"
S1_bestIS_CAGR_at_L,orb,20,IS,99,"{""session"": ""us"", ""M"": 60, ""stop"": ""opp"", ""tp"": 1, ""filt"": ""narrow""}",-0.7268937624326757,0.9993339124811056,-0.4791553168262447,-0.4791553168262447,0.201800709013471,0,2657,"{""2022"": -0.4241, ""2023"": -0.7112, ""2024"": -0.8776}","{""BTC"": -0.5219, ""ETH"": -0.9145, ""SOL"": -0.9933, ""XRP"": -0.9807, ""DOGE"": -0.9955, ""AVAX"": -0.9944, ""LINK"": -1.0}"
S1_bestIS_CAGR_at_L,orb,20,OOS,99,"{""session"": ""us"", ""M"": 60, ""stop"": ""opp"", ""tp"": 1, ""filt"": ""narrow""}",-0.9937084697539974,0.9998813460311032,-0.3678902467064858,-0.3678902467064858,-1.6578058370227238,0,1492,"{""2025"": -0.9664, ""2026"": -0.9935}","{""BTC"": -0.9957, ""ETH"": -0.9763, ""SOL"": -0.9999, ""XRP"": -0.9921, ""DOGE"": -0.9999, ""AVAX"": -1.0, ""LINK"": -0.9999}"
S1_bestIS_CAGR_at_L,wick,1,IS,253,"{""w"": 5, ""z"": 10, ""V"": 10, ""entry"": ""lim"", ""tp"": 0.6, ""stop"": 1.0, ""hold"": 30, ""side"": ""long""}",-0.0178532027786872,0.1977302924753348,-0.0395164045869317,-0.0495174627900154,-0.2466752420799936,0,539,"{""2022"": 0.0238, ""2023"": -0.1293, ""2024"": 0.0628}","{""BTC"": -0.0757, ""ETH"": -0.0099, ""SOL"": -0.0523, ""XRP"": 0.1296, ""DOGE"": -0.0076, ""AVAX"": -0.0308, ""LINK"": -0.0931}"
S1_bestIS_CAGR_at_L,wick,1,OOS,253,"{""w"": 5, ""z"": 10, ""V"": 10, ""entry"": ""lim"", ""tp"": 0.6, ""stop"": 1.0, ""hold"": 30, ""side"": ""long""}",-0.0027129194606192,0.1274480354619351,-0.0270153897278734,-0.0375189961713007,-0.0294296850910609,0,193,"{""2025"": -0.0378, ""2026"": 0.0346}","{""BTC"": 0.034, ""ETH"": -0.0101, ""SOL"": -0.0166, ""XRP"": 0.041, ""DOGE"": 0.0313, ""AVAX"": -0.0844, ""LINK"": -0.0312}"
S1_bestIS_CAGR_at_L,wick,3,IS,253,"{""w"": 5, ""z"": 10, ""V"": 10, ""entry"": ""lim"", ""tp"": 0.6, ""stop"": 1.0, ""hold"": 30, ""side"": ""long""}",-0.0657093331923521,0.5011369408906764,-0.1189422247271181,-0.147689013999531,-0.2493477914486531,0,539,"{""2022"": 0.0618, ""2023"": -0.3577, ""2024"": 0.1957}","{""BTC"": -0.2221, ""ETH"": -0.0498, ""SOL"": -0.1939, ""XRP"": 0.3751, ""DOGE"": -0.0848, ""AVAX"": -0.1319, ""LINK"": -0.2815}"
S1_bestIS_CAGR_at_L,wick,3,OOS,253,"{""w"": 5, ""z"": 10, ""V"": 10, ""entry"": ""lim"", ""tp"": 0.6, ""stop"": 1.0, ""hold"": 30, ""side"": ""long""}",-0.0124657266184208,0.3422783777748842,-0.0806273112956431,-0.1159208806187052,-0.0064787876840017,0,193,"{""2025"": -0.1106, ""2026"": 0.1011}","{""BTC"": 0.1003, ""ETH"": -0.0463, ""SOL"": -0.0752, ""XRP"": 0.093, ""DOGE"": 0.0626, ""AVAX"": -0.2504, ""LINK"": -0.1204}"
S1_bestIS_CAGR_at_L,wick,5,IS,253,"{""w"": 5, ""z"": 10, ""V"": 10, ""entry"": ""lim"", ""tp"": 0.6, ""stop"": 1.0, ""hold"": 30, ""side"": ""long""}",-0.1295402818100215,0.7055704127022556,-0.1986538434913313,-0.2445677331535637,-0.2537881882502529,0,539,"{""2022"": 0.0853, ""2023"": -0.5452, ""2024"": 0.336}","{""BTC"": -0.359, ""ETH"": -0.115, ""SOL"": -0.3727, ""XRP"": 0.5672, ""DOGE"": -0.2309, ""AVAX"": -0.2727, ""LINK"": -0.4619}"
S1_bestIS_CAGR_at_L,wick,5,OOS,253,"{""w"": 5, ""z"": 10, ""V"": 10, ""entry"": ""lim"", ""tp"": 0.6, ""stop"": 1.0, ""hold"": 30, ""side"": ""long""}",-0.0283907320572985,0.5113362130246786,-0.1336807556794423,-0.1986682536667212,0.017162475326664,0,193,"{""2025"": -0.1801, ""2026"": 0.1626}","{""BTC"": 0.1633, ""ETH"": -0.1026, ""SOL"": -0.1626, ""XRP"": 0.0986, ""DOGE"": 0.048, ""AVAX"": -0.4076, ""LINK"": -0.2368}"
S1_bestIS_CAGR_at_L,wick,10,IS,227,"{""w"": 5, ""z"": 10, ""V"": 10, ""entry"": ""mkt"", ""tp"": 0.3, ""stop"": 0.5, ""hold"": 240, ""side"": ""long""}",-0.3403219248431665,0.7935692946584114,-0.2686648233385996,-0.3662208746961093,-0.5626670180480833,1,906,"{""2022"": -0.095, ""2023"": -0.5733, ""2024"": -0.2567}","{""BTC"": -0.6439, ""ETH"": -0.2788, ""SOL"": -0.2067, ""XRP"": -0.6087, ""DOGE"": -0.6326, ""AVAX"": -1.0, ""LINK"": -0.52}"
