variant,family,L,n,OOS_pos,both_pos,OOS_median,liq_any_OOS,S1_cfg,S1_IS,S1_OOS,S1_maxdd_OOS
"less-pessimistic ordering, same costs (opt14)",wick,20,256,0,0,-0.98,2,227,-0.6628,-0.5032,0.8585
optimistic bound (opt15 + no range slip),grid,1,36,8,7,-0.3259,0,27,0.2176,-0.0181,0.4555
optimistic bound (opt15 + no range slip),grid,3,36,0,0,-0.8412,18,27,0.4908,-0.4671,0.858
optimistic bound (opt15 + no range slip),grid,5,36,0,0,-0.9935,21,33,0.854,-0.5804,0.8817
optimistic bound (opt15 + no range slip),grid,10,36,0,0,-1.0,25,33,-0.6094,-0.85,0.9873
optimistic bound (opt15 + no range slip),grid,15,36,0,0,-1.0,28,32,-0.9268,-0.9516,0.9985
optimistic bound (opt15 + no range slip),grid,20,36,0,0,-1.0,32,16,-1.0,-1.0,1.0
optimistic bound (opt15 + no range slip),orb,1,108,4,1,-0.1942,0,97,0.0824,-0.096,0.2707
optimistic bound (opt15 + no range slip),orb,3,108,1,0,-0.4932,0,97,0.183,-0.3368,0.6211
optimistic bound (opt15 + no range slip),orb,5,108,1,0,-0.7033,0,97,0.1907,-0.568,0.8372
optimistic bound (opt15 + no range slip),orb,10,108,0,0,-0.9517,0,99,0.0364,-0.8157,0.9564
optimistic bound (opt15 + no range slip),orb,15,108,0,0,-0.9924,0,99,-0.1798,-0.9464,0.9952
optimistic bound (opt15 + no range slip),orb,20,108,0,0,-0.999,0,99,-0.4721,-0.9885,0.9997
optimistic bound (opt15 + no range slip),wick,1,256,13,9,-0.1109,0,227,0.0363,0.0033,0.0621
optimistic bound (opt15 + no range slip),wick,3,256,13,7,-0.3075,0,227,0.1099,0.0073,0.1771
optimistic bound (opt15 + no range slip),wick,5,256,12,7,-0.4449,0,227,0.1843,0.0077,0.2803
optimistic bound (opt15 + no range slip),wick,10,256,7,2,-0.7331,0,227,0.3706,-0.0067,0.4937
optimistic bound (opt15 + no range slip),wick,15,256,5,0,-0.8859,4,227,0.3334,-0.0732,0.6533
optimistic bound (opt15 + no range slip),wick,20,256,3,0,-0.9522,2,227,0.0919,-0.0578,0.7701
