sym,i,entry_t,entry_px,notional,exit_px,exit_t,ret,reason,entry_time,exit_time
ZBTUSDT,460,34067,0.3247,0.20464477863944594,0.2578,34163,0.2060363412380659,end,2025-10-20 11:00:00,2025-10-24 11:00:00
BLUAIUSDT,465,34163,0.02298,0.11563900921018203,0.03447,34201,-0.5,stop,2025-10-24 11:00:00,2025-10-26 01:00:00
TURTLEUSDT,466,34191,0.1719,0.21068132346058124,0.1418,34287,0.17510180337405457,end,2025-10-25 15:00:00,2025-10-29 15:00:00
APRUSDT,467,34210,0.3811,0.08990051623727277,0.28476,34306,0.25279454211493047,end,2025-10-26 10:00:00,2025-10-30 10:00:00
KITEUSDT,471,34354,0.14703,0.17080470569281725,0.09431,34450,0.35856627899068216,end,2025-11-01 10:00:00,2025-11-05 10:00:00
ATUSDT,472,34355,0.3487,0.17947788113182592,0.3176,34451,0.08918841410954981,end,2025-11-01 11:00:00,2025-11-05 11:00:00
CCUSDT,473,34404,0.1645,0.26649450487122306,0.1461,34500,0.11185410334346502,end,2025-11-03 12:00:00,2025-11-07 12:00:00
MMTUSDT,474,34500,0.5103,0.07995634196768932,0.4997,34596,0.02077209484616893,end,2025-11-07 12:00:00,2025-11-11 12:00:00
TRUSTUSDT,475,34521,0.2144,0.11726027036642202,0.1708,34617,0.20335820895522383,end,2025-11-08 09:00:00,2025-11-12 09:00:00
ALLOUSDT,480,34670,0.2566,0.19882405785357157,0.1762,34766,0.31332813717848795,end,2025-11-14 14:00:00,2025-11-18 14:00:00
BEATUSDT,482,34692,0.48276,0.13810430396015902,0.47422,34788,0.017689949457287413,end,2025-11-15 12:00:00,2025-11-19 12:00:00
PIEVERSEUSDT,483,34739,0.2638,0.1349590424120094,0.39569999999999994,34818,-0.5,stop,2025-11-17 11:00:00,2025-11-20 18:00:00
SENTUSDT,484,34740,0.0663,0.20260447413830093,0.06219,34836,0.061990950226244235,end,2025-11-17 12:00:00,2025-11-21 12:00:00
RLSUSDT,487,35170,0.018869,0.19919028047456777,0.015297,35266,0.18930520960305264,end,2025-12-05 10:00:00,2025-12-09 10:00:00
WETUSDT,489,35359,0.20484,0.16841111906827175,0.19904,35455,0.028314782269088012,end,2025-12-13 07:00:00,2025-12-17 07:00:00
NIGHTUSDT,490,35363,0.04941,0.16797460126607022,0.074115,35381,-0.5,stop,2025-12-13 11:00:00,2025-12-14 05:00:00
RAVEUSDT,494,35463,0.36681,0.10666910739533272,0.47654,35559,-0.2991466972001853,end,2025-12-17 15:00:00,2025-12-21 15:00:00
BREVUSDT,498,35842,0.4163,0.29115465924636286,0.4485,35938,-0.07734806629834257,end,2026-01-02 10:00:00,2026-01-06 10:00:00
ZAMAUSDT,502,36081,0.1062,0.2879923425786385,0.0751,36177,0.29284369114877595,end,2026-01-12 09:00:00,2026-01-16 09:00:00
FOGOUSDT,503,36110,0.05333,0.24177803323467212,0.03682,36206,0.3095818488655542,end,2026-01-13 14:00:00,2026-01-17 14:00:00
ACUUSDT,506,36372,0.21251,0.1463997551753869,0.18372,36468,0.13547597760105412,end,2026-01-24 12:00:00,2026-01-28 12:00:00
SPACEUSDT,510,36419,0.016803,0.1587485988597751,0.008589,36515,0.48884127834315305,end,2026-01-26 11:00:00,2026-01-30 11:00:00
TRIAUSDT,521,36756,0.01723,0.27059865934954364,0.01865,36852,-0.08241439349970991,end,2026-02-09 12:00:00,2026-02-13 12:00:00
ESPUSDT,527,36848,0.06275,0.2807498190717176,0.05803,36944,0.07521912350597615,end,2026-02-13 08:00:00,2026-02-17 08:00:00
AZTECUSDT,528,36868,0.02462,0.20180897477858287,0.01924,36964,0.21852152721364737,end,2026-02-14 04:00:00,2026-02-18 04:00:00
OPNUSDT,529,37119,0.487,0.21393963725144277,0.4682,37215,0.03860369609856262,end,2026-02-24 15:00:00,2026-02-28 15:00:00
ROBOUSDT,530,37256,0.03925,0.23956587806177376,0.058875,37264,-0.5,stop,2026-03-02 08:00:00,2026-03-02 16:00:00
KATUSDT,531,37325,0.0161,0.19711047574859802,0.01264,37421,0.21490683229813667,end,2026-03-05 05:00:00,2026-03-09 05:00:00
BASEDUSDT,545,38002,0.0824,0.2868475607666644,0.0633,38098,0.23179611650485443,end,2026-04-02 10:00:00,2026-04-06 10:00:00
OPGUSDT,561,38559,0.2585,0.19022904694956355,0.2663,38655,-0.030174081237910988,end,2026-04-25 15:00:00,2026-04-29 15:00:00
BILLUSDT,566,38912,0.10362,0.18473399631755655,0.15543,38957,-0.5,stop,2026-05-10 08:00:00,2026-05-12 05:00:00
SLXUSDT,595,39511,0.24015,0.21149104101986435,0.17179,39607,0.2846554236935249,end,2026-06-04 07:00:00,2026-06-08 07:00:00
REUSDT,639,39926,0.9612,0.14913312816994392,0.5435,40022,0.4345609654598419,end,2026-06-21 14:00:00,2026-06-25 14:00:00
ARXUSDT,647,40036,0.2799,0.2729217864931905,0.2691,40132,0.03858520900321538,end,2026-06-26 04:00:00,2026-06-30 04:00:00
OUSDT,648,40067,0.4297,0.220665488649471,0.5163,40163,-0.20153595531766344,end,2026-06-27 11:00:00,2026-07-01 11:00:00
CAPUSDT,649,40139,0.02792,0.1796372463188378,0.0184,40235,0.34097421203438394,end,2026-06-30 11:00:00,2026-07-04 11:00:00
GRAMUSDT,653,40256,1.777,0.3540059656707112,1.591,40352,0.10467079347214403,end,2026-07-05 08:00:00,2026-07-09 08:00:00
GRVTUSDT,694,40956,0.2681,0.2693746272522396,0.3028,41052,-0.12942931741887365,end,2026-08-03 12:00:00,2026-08-07 12:00:00
DOSUSDT,702,41223,0.2743,0.3392971735412784,0.2261,41319,0.1757200145825738,end,2026-08-14 15:00:00,2026-08-18 15:00:00
