,0
2025-04-04,1.4251070796636547
2025-04-05,1.363949042600675
2025-04-06,1.3272598836067462
2025-04-07,1.3269876146126205
2025-04-08,1.3200254059683794
2025-04-09,1.317188095846936
2025-04-10,1.317188095846936
2025-04-11,1.317188095846936
2025-04-12,1.317188095846936
2025-04-13,1.317188095846936
2025-04-14,1.338636577924864
2025-04-15,1.349865322597409
2025-04-16,1.351414983182658
2025-04-17,1.362020426371615
2025-04-18,1.3639609658632683
2025-04-19,1.3117050827020373
2025-04-20,1.303194979100806
2025-04-21,1.303194979100806
2025-04-22,1.303194979100806
2025-04-23,1.303194979100806
2025-04-24,1.303194979100806
2025-04-25,1.303194979100806
2025-04-26,1.303194979100806
2025-04-27,1.303194979100806
2025-04-28,1.229978461474206
2025-04-29,1.229978461474206
2025-04-30,1.229978461474206
2025-05-01,1.234465108429336
2025-05-02,1.2371749083220465
2025-05-03,1.2272511230139607
2025-05-04,1.2339008417256394
2025-05-05,1.2380238863355282
2025-05-06,1.2380238863355282
2025-05-07,1.2380238863355282
2025-05-08,1.2380238863355282
2025-05-09,1.2380238863355282
2025-05-10,1.2380238863355282
2025-05-11,1.2380238863355282
2025-05-12,1.2380238863355282
2025-05-13,1.2380238863355282
2025-05-14,1.2380238863355282
2025-05-15,1.2380238863355282
2025-05-16,1.2380238863355282
2025-05-17,1.2380238863355282
2025-05-18,1.2380238863355282
2025-05-19,1.2380238863355282
2025-05-20,1.2380238863355282
2025-05-21,1.2380238863355282
2025-05-22,1.2380238863355282
2025-05-23,1.2380238863355282
2025-05-24,1.2380238863355282
2025-05-25,1.2380238863355282
2025-05-26,1.232897080518743
2025-05-27,1.2381724824678526
2025-05-28,1.238432903598867
2025-05-29,1.2242001378376144
2025-05-30,1.2870887486839953
2025-05-31,1.306368254542738
2025-06-01,1.2866306100918024
2025-06-02,1.1767098350647844
2025-06-03,1.218683646491051
2025-06-04,1.2574945383007374
2025-06-05,1.262125336856856
2025-06-06,1.2621257330708642
2025-06-07,1.2621257330708642
2025-06-08,1.2621257330708642
2025-06-09,1.2621257330708642
2025-06-10,1.2621257330708642
2025-06-11,1.2621257330708642
2025-06-12,1.2621257330708642
2025-06-13,1.2397833847606177
2025-06-14,1.2556245106530766
2025-06-15,1.263763460838198
2025-06-16,1.259073168474184
2025-06-17,1.2631670364531895
2025-06-18,1.2631670364531895
2025-06-19,1.2631670364531895
2025-06-20,1.265085723448376
2025-06-21,1.2463763410505462
2025-06-22,1.2591935444419184
2025-06-23,1.2226695173999522
2025-06-24,1.25226003007214
2025-06-25,1.25226003007214
2025-06-26,1.25226003007214
2025-06-27,1.25226003007214
2025-06-28,1.2500737255558645
2025-06-29,1.2440437096135586
2025-06-30,1.2851843974979158
2025-07-01,1.2762973968566262
2025-07-02,1.2966322031730717
2025-07-03,1.300446163149988
2025-07-04,1.300446163149988
2025-07-05,1.300446163149988
2025-07-06,1.300446163149988
2025-07-07,1.300446163149988
2025-07-08,1.300446163149988
2025-07-09,1.300446163149988
2025-07-10,1.300446163149988
2025-07-11,1.300446163149988
2025-07-12,1.300446163149988
2025-07-13,1.300446163149988
2025-07-14,1.300446163149988
2025-07-15,1.300446163149988
2025-07-16,1.300446163149988
2025-07-17,1.300446163149988
2025-07-18,1.300446163149988
2025-07-19,1.300446163149988
2025-07-20,1.300446163149988
2025-07-21,1.300446163149988
2025-07-22,1.300446163149988
2025-07-23,1.300446163149988
2025-07-24,1.300446163149988
2025-07-25,1.300446163149988
2025-07-26,1.300446163149988
2025-07-27,1.300446163149988
2025-07-28,1.300446163149988
2025-07-29,1.300446163149988
2025-07-30,1.300446163149988
2025-07-31,1.300446163149988
2025-08-01,1.3208852283110848
2025-08-02,1.3331700348672135
2025-08-03,1.3343418738990742
2025-08-04,1.3262972098370485
2025-08-05,1.3412763945572828
2025-08-06,1.3412763945572828
2025-08-07,1.3412763945572828
2025-08-08,1.3412763945572828
2025-08-09,1.3412763945572828
2025-08-10,1.3412763945572828
2025-08-11,1.3412763945572828
2025-08-12,1.3412763945572828
2025-08-13,1.3412763945572828
2025-08-14,1.3412763945572828
2025-08-15,1.3412763945572828
2025-08-16,1.3412763945572828
2025-08-17,1.3412763945572828
2025-08-18,1.3578335875797067
2025-08-19,1.3557002509313045
2025-08-20,1.355891206507853
2025-08-21,1.3932134401595007
2025-08-22,1.388655989514439
2025-08-23,1.388655989514439
2025-08-24,1.388655989514439
2025-08-25,1.388655989514439
2025-08-26,1.3786325203828889
2025-08-27,1.382609116463188
2025-08-28,1.366055165297476
2025-08-29,1.3722043673422406
2025-08-30,1.368356158474649
2025-08-31,1.368356158474649
2025-09-01,1.368356158474649
2025-09-02,1.368356158474649
2025-09-03,1.368356158474649
2025-09-04,1.3572999562988273
2025-09-05,1.3475500012413395
2025-09-06,1.3225393905385174
2025-09-07,1.3222824025316209
2025-09-08,1.3518489944929828
2025-09-09,1.3518489944929828
2025-09-10,1.3518489944929828
2025-09-11,1.3518489944929828
2025-09-12,1.3518489944929828
2025-09-13,1.3518489944929828
2025-09-14,1.3518489944929828
2025-09-15,1.3518489944929828
2025-09-16,1.3518489944929828
2025-09-17,1.3518489944929828
2025-09-18,1.3518489944929828
2025-09-19,1.3518489944929828
2025-09-20,1.3518489944929828
2025-09-21,1.351268701862765
2025-09-22,1.373324574302395
2025-09-23,1.2258145998101422
2025-09-24,1.3184172341905689
2025-09-25,1.3394122243427826
2025-09-26,1.3394122243427826
2025-09-27,1.3394122243427826
2025-09-28,1.3394122243427826
2025-09-29,1.3394122243427826
2025-09-30,1.3394122243427826
2025-10-01,1.3394122243427826
2025-10-02,1.3460121633156577
2025-10-03,1.3359622371565054
2025-10-04,1.3118519069528416
2025-10-05,1.3209428089992559
2025-10-06,1.341115686034326
