sym,inst,entry_time,oos,bn_ret,reason,notional,entry_px,okx_live_now,ctVal,lotSz,minSz,lever,tier1_maxSz,tier1_mmr,okx_entry,okx_exit,okx_ret,okx_reason,entry_gap_bp
WCTUSDT,WCT-USDT-SWAP,2025-04-18 11:00:00,True,-0.4999999999999998,stop,0.1195646232334095,0.3538,True,10.0,1.0,1.0,20.0,18000.0,0.02,0.3535,0.53025,-0.5,stop,-8.479366873940242
MEMEFIUSDT,MEMEFI-USDT-SWAP,2025-04-28 07:00:00,True,-0.5,stop,0.1438184866753631,0.003356,False,,,,,,,,,,,
SIGNUSDT,SIGN-USDT-SWAP,2025-05-01 11:00:00,True,0.1519055287171229,end,0.0894447744337409,0.09315,True,100.0,1.0,1.0,20.0,2200.0,0.02,0.09301,0.07894,0.1512740565530588,end,-15.029522275898932
SOONUSDT,SOON-USDT-SWAP,2025-05-26 08:00:00,True,0.0169747855336236,end,0.2476047772671056,0.38351,True,10.0,0.1,0.1,20.0,3200.0,0.02,0.38366,0.37677,0.01795860918521608,end,3.9112409063646325
HUMAUSDT,HUMA-USDT-SWAP,2025-05-29 13:00:00,True,0.2657141784319615,end,0.2458766400157399,0.053264,True,100.0,1.0,1.0,20.0,5500.0,0.02,0.05326,0.03909,0.26605332331956444,end,-0.7509762691493282
AUSDT,A-USDT-SWAP,2025-05-31 08:00:00,True,-0.0402415458937197,end,0.2578105683983308,0.621,True,10.0,1.0,1.0,10.0,4800.0,0.02,0.621,0.6462,-0.04057971014492745,end,0.0
SOPHUSDT,SOPH-USDT-SWAP,2025-05-31 13:00:00,True,-0.1068211068211066,end,0.2286233688101468,0.051282,True,100.0,1.0,1.0,10.0,3500.0,0.02,0.05104,0.05669,-0.11069749216300928,end,-47.1900471900466
MERLUSDT,MERL-USDT-SWAP,2025-06-01 08:00:00,True,0.1236514522821576,end,0.2566741629446042,0.1205,True,1.0,1.0,1.0,20.0,450000.0,0.02,0.12058,0.10563,0.1239840769613535,end,6.639004149378014
HYPEUSDT,HYPE-USDT-SWAP,2025-06-02 10:00:00,True,-0.0559231590181428,end,0.2490438707866667,32.795,True,0.1,1.0,1.0,50.0,18000.0,0.01,32.785,34.607,-0.05557419551624232,end,-3.0492453117869633
RESOLVUSDT,RESOLV-USDT-SWAP,2025-06-13 13:00:00,True,0.0100057175528873,end,0.1343116185571744,0.24486,True,10.0,1.0,1.0,10.0,68000.0,0.02,0.2447,0.2424,0.009399264405394292,end,-6.53434615698778
SPKUSDT,SPK-USDT-SWAP,2025-06-20 09:00:00,True,-0.037378755618642,end,0.2213350459539438,0.04227,True,100.0,1.0,1.0,20.0,8200.0,0.02,0.04217,0.04391,-0.04126156035096029,end,-23.657440264963636
OLUSDT,OL-USDT-SWAP,2025-06-28 11:00:00,True,0.0319587628865979,end,0.2350173128812634,0.0291,True,100.0,1.0,1.0,10.0,10000.0,0.05,,,,,
