sym,inst,entry_time,oos,bn_ret,reason,notional,entry_px,okx_live_now,ctVal,lotSz,minSz,lever,tier1_maxSz,tier1_mmr,okx_entry,okx_exit,okx_ret,okx_reason,entry_gap_bp
BASEDUSDT,BASED-USDT-SWAP,2026-04-02 10:00:00,True,0.2317961165048544,end,0.2868475607666644,0.0824,True,10.0,1.0,1.0,20.0,6250.0,0.01,0.0826,0.06339,0.23256658595641655,end,24.271844660195274
OPGUSDT,OPG-USDT-SWAP,2026-04-25 15:00:00,True,-0.0301740812379109,end,0.1902290469495635,0.2585,True,10.0,1.0,1.0,20.0,6500.0,0.02,0.2587,0.2658,-0.027444916892153115,end,7.736943907155069
BILLUSDT,BILL-USDT-SWAP,2026-05-10 08:00:00,True,-0.5,stop,0.1847339963175565,0.10362,True,100.0,1.0,1.0,20.0,4000.0,0.02,0.10353,0.155295,-0.5,stop,-8.685581933990383
SLXUSDT,SLX-USDT-SWAP,2026-06-04 07:00:00,True,0.2846554236935249,end,0.2114910410198643,0.24015,True,10.0,1.0,1.0,20.0,18000.0,0.02,0.2406,0.1718,0.28595178719867,end,18.7382885696441
REUSDT,RE-USDT-SWAP,2026-06-21 14:00:00,True,0.4345609654598419,end,0.1491331281699439,0.9612,True,10.0,1.0,1.0,20.0,2500.0,0.02,0.96187,0.5443,0.43412311435017203,end,6.970453599666193
ARXUSDT,ARX-USDT-SWAP,2026-06-26 04:00:00,True,0.0385852090032153,end,0.2729217864931905,0.2799,True,10.0,1.0,1.0,20.0,4000.0,0.02,0.2794,0.269,0.03722261989978515,end,-17.863522686674127
OUSDT,O-USDT-SWAP,2026-06-27 11:00:00,True,-0.2015359553176634,end,0.220665488649471,0.4297,True,10.0,1.0,1.0,10.0,4000.0,0.02,0.4296,0.5166,-0.20251396648044695,end,-2.327205026764201
CAPUSDT,CAP-USDT-SWAP,2026-06-30 11:00:00,True,0.3409742120343839,end,0.1796372463188378,0.02792,True,100.0,1.0,1.0,10.0,10000.0,0.02,0.02785,0.01841,0.33895870736086176,end,-25.07163323782202
GRAMUSDT,GRAM-USDT-SWAP,2026-07-05 08:00:00,True,0.104670793472144,end,0.3540059656707112,1.777,True,1.0,1.0,1.0,50.0,2500.0,0.01,1.775,1.59,0.10422535211267592,end,-11.254924029262536
GRVTUSDT,GRVT-USDT-SWAP,2026-08-03 12:00:00,True,-0.1294293174188736,end,0.2693746272522396,0.2681,True,10.0,1.0,1.0,20.0,4500.0,0.02,0.26795,0.30278,-0.12998693786154125,end,-5.5949272659450155
DOSUSDT,DOS-USDT-SWAP,2026-08-14 15:00:00,True,0.1757200145825738,end,0.3392971735412784,0.2743,True,10.0,1.0,1.0,20.0,7000.0,0.02,0.274,0.2262,0.1744525547445256,end,-10.936930368208309
