per,sym,dt,d,net_1m,net_1s,net_2s,net_5s,net_10s,net_30s,net_60s
OOS,DOGEUSDT,2025-10-10 21:32:00+00:00,1,275.852211189821,1397.7808334683493,1382.8093801319305,1376.9977226193328,982.8180438980927,772.6338965085388,325.24208507718186
OOS,NMRUSDT,2025-10-10 21:33:00+00:00,1,-77.69593880336001,-39.8694975553336,-39.8694975553336,-39.8694975553336,-31.889483174948175,59.78871181004279,-51.81566258068078
OOS,PENGUUSDT,2025-10-10 21:39:00+00:00,1,102.103273863427,810.5758031760946,793.4906210956273,807.8385588148108,694.1065417473969,206.1811347662369,167.86594413681365
OOS,BNBUSDT,2025-10-10 21:40:00+00:00,1,148.497271841109,669.6881048025921,669.6881048025921,665.431230991868,663.3040641632232,506.14280893299605,172.26821948583319
OOS,AVAXUSDT,2025-10-10 21:41:00+00:00,1,444.844400163509,1255.653063037556,1255.653063037556,1255.653063037556,1044.8827046432195,899.0103900001145,491.65606941105943
OOS,XRPUSDT,2025-10-10 21:43:00+00:00,1,483.630865518463,614.8235611421661,612.7612309946586,592.6953241322,571.6818440024009,430.3687527490353,492.4826119816884
OOS,LTCUSDT,2025-10-10 21:43:00+00:00,1,392.28258385856896,588.1492783588865,588.1492783588865,588.1492783588865,588.1492783588865,588.1492783588865,401.20316292927504
OOS,SOLUSDT,2025-10-10 21:43:00+00:00,1,330.25796896924504,395.7040173276012,395.7040173276012,395.7040173276012,395.7040173276012,382.9260797505969,333.27529499538167
OOS,ONDOUSDT,2025-10-10 21:45:00+00:00,1,-159.72517286708202,-216.36986154965524,-216.36986154965524,-268.52112435855014,-76.17190159476553,-205.2357784373478,-158.838543792172
OOS,DOGEUSDT,2025-10-10 21:45:00+00:00,1,97.80809075477501,272.0015875224959,119.6899165398926,129.66463206481563,130.25199056137996,25.0348475241027,118.51770799245288
OOS,TRUMPUSDT,2025-10-10 21:46:00+00:00,1,527.924071566519,544.6659563660103,601.8491184174499,558.9039805519966,692.9690640936711,546.6976142473043,558.9039805519966
OOS,NMRUSDT,2025-10-10 21:56:00+00:00,1,-220.32417183111102,-209.38280596417925,-209.38280596417925,-168.21569684229468,-233.58563363291486,-212.7282292282532,-220.24711068547566
OOS,1000BONKUSDT,2025-10-10 21:59:00+00:00,1,-267.61463466622797,-174.4012613684551,-167.8083155294949,-221.9379241710426,-264.97761718046047,-341.1868229577972,-250.4027598927658
OOS,1000BONKUSDT,2025-10-10 22:03:00+00:00,1,-1518.945563710922,-1690.1244751709642,-1711.9815173243212,-1742.3912659024963,-1670.3555509611822,-1601.5456331090647,-1501.92923040781
OOS,PYTHUSDT,2025-10-10 22:03:00+00:00,1,-21.659917697942998,-161.43814952518647,-148.61313413495776,-166.36199368677268,-124.84845510624613,-45.80976811254405,-5.3075273832908145
OOS,IPUSDT,2025-10-10 22:05:00+00:00,1,668.408146625644,-69.65123466726443,-107.71153529830647,-27.243828010320897,102.17052867385122,243.52297780470724,678.2877145642814
OOS,PENGUUSDT,2025-10-10 22:10:00+00:00,1,-123.05696379300001,-69.47879207290106,-34.078737036117175,32.335891293743394,79.87254198143515,6.687680014586654,-104.12872219872403
OOS,IPUSDT,2025-10-10 22:21:00+00:00,1,799.6067067567809,806.5564393574796,795.1678764745893,820.2543830347817,806.5564393574796,725.0895711560032,827.1163482854347
OOS,BASEDUSDT,2026-08-22 05:11:00+00:00,1,3397.798203192108,420.2551936352278,429.93757817476774,1000.3271667121865,1344.1285328674962,3487.73797253634,3601.1847845467682
OOS,TRUMPUSDT,2026-08-22 05:11:00+00:00,1,-446.393475737264,637.3350775943517,470.69303576391565,48.20752777046481,-104.30414350245762,-24.995131620058487,-395.93621735116534
OOS,WLDUSDT,2026-08-22 05:11:00+00:00,1,449.54207426816396,704.6430200376675,698.8220665384559,745.5667577564396,964.0988368133053,757.316476905714,487.78626777815856
OOS,HMSTRUSDT,2026-08-22 05:12:00+00:00,1,557.198503414293,3264.32560470361,3239.033149220349,2999.395899265118,3230.6236341207414,2086.1235877868653,699.1488135673379
OOS,WLFIUSDT,2026-08-22 05:14:00+00:00,1,-361.160686987154,-184.05682576387898,-113.26633968710182,-201.20774009519545,-267.68288825935775,-411.40633505442656,-330.2342635064463
OOS,TRUMPUSDT,2026-08-22 05:22:00+00:00,1,474.244813961714,112.53753345825764,36.12851470660235,-45.92390947041473,36.12851470660235,378.2897394362647,527.8239074482824
IS,GMTUSDT,2022-05-11 12:42:00+00:00,1,1608.4414720725879,1204.3250384838536,1210.3580496070833,1242.3545633009671,1292.8787796273425,1657.7501455193458,1634.4915642673222
IS,FILUSDT,2022-12-16 09:02:00+00:00,1,43.471726589403,169.44299461282333,131.79978650821147,212.8069637470436,350.72945045880704,75.85340783122612,65.26676903895017
IS,ALPHAUSDT,2024-01-03 12:09:00+00:00,1,516.244805183837,-625.892696222174,-715.6147953909137,-739.7881133959545,-795.7075314580604,-424.00702959367106,592.693314455272
