per,sym,dt,d,net_1m,net_1s,net_2s,net_5s,net_10s,net_30s,net_60s
OOS,PROMPTUSDT,2025-05-12 15:05:00+00:00,1,-194.327624387083,-244.38377299190267,-228.51718918995374,-308.20790188487575,-313.9950862126648,-318.6198704245888,-171.08764794510373
OOS,WCTUSDT,2025-05-14 09:05:00+00:00,1,-45.780013326669,59.09319366889508,55.70414265370492,-3.23741451661731,-36.60966571782976,8.495654621185277,-36.60966571782976
OOS,GUNUSDT,2025-05-23 12:01:00+00:00,1,-119.02903185666,0.21208314754509416,-25.494977845697953,18.086888399887624,-33.378325767352415,-35.34721988796549,-119.28138795882155
OOS,PROMPTUSDT,2025-05-23 12:01:00+00:00,1,-302.644479743501,-84.69997537992897,-53.29469750233369,-110.79133690422424,-105.66944418225107,-212.54702167130287,-285.5475739834953
OOS,OMUSDT,2025-05-30 00:54:00+00:00,1,-313.47511572699597,-326.8282298425121,-354.3022070757343,-365.248225532743,-384.34420134429575,-335.08681373753205,-304.7363021818508
OOS,FARTCOINUSDT,2025-05-30 00:59:00+00:00,1,129.47237939606,370.8453666227681,352.1648318868883,304.8321722228583,412.1803997328629,355.8955621735923,142.0697022767777
OOS,PROMPTUSDT,2025-05-30 00:59:00+00:00,1,231.73568355739,381.12645208121296,376.6038600259036,415.1717393941068,489.12927539528806,238.32859162305374,246.0364089064737
OOS,OMUSDT,2025-05-30 16:33:00+00:00,1,6.774593946663,182.12592126558457,192.14515105071882,198.83558037644076,195.48926999963908,60.15297068807098,27.68646627219536
OOS,ETHUSDT,2025-06-21 21:25:00+00:00,1,-190.87324974318102,-82.68933607886527,-31.714661398299103,-52.83083753042345,-52.83083753042345,-163.57934982722782,-182.50512947456747
OOS,1000PEPEUSDT,2025-06-21 21:25:00+00:00,1,6.3061752114619996,35.46716071042029,73.71268746602284,154.42594367740276,173.40789460973133,34.37869106658515,15.910707090347099
OOS,TRUMPUSDT,2025-06-21 21:32:00+00:00,1,101.242143827761,276.9408853005321,256.6466727236886,215.1154145179438,191.53367813970624,117.95655633181113,113.3207843220533
OOS,SOLUSDT,2025-06-21 21:32:00+00:00,1,14.538323609763001,197.82108773443267,200.1624701659204,158.1811375385416,86.68299656452598,34.281930962982074,25.978329668156412
OOS,AAVEUSDT,2025-06-21 21:32:00+00:00,1,49.425219873098996,208.09749514571624,204.52942622702056,189.39287409096144,152.1881871394462,69.4613268876723,57.752955684009784
OOS,RESOLVUSDT,2025-07-02 01:32:00+00:00,1,196.58754929696198,-19.641451861443006,-31.851474508742875,29.49863928420221,35.67512892113095,54.250236917907586,205.35874047167496
OOS,RESOLVUSDT,2025-07-21 16:29:00+00:00,1,-47.185387830121996,23.003665249642584,121.89278014491788,145.44456360634638,157.26153402914633,11.49632580523274,-22.86796771551725
OOS,FARTCOINUSDT,2025-08-11 21:32:00+00:00,1,-664.685131736131,-589.1391536736259,-607.5951944820947,-636.1614022837326,-634.1267122072304,-641.2442688841414,-659.497070437255
OOS,1000BONKUSDT,2025-08-14 12:31:00+00:00,1,-441.607857395855,-479.743969814528,-493.2757514176324,-492.14956933361884,-495.52731706370776,-452.56475035530116,-434.3590695757717
OOS,PENGUUSDT,2025-08-14 12:34:00+00:00,1,285.062537381411,-59.55955988485467,-56.59136696103899,-11.255986171688154,65.42985034017019,154.74396017971685,318.6660520807933
OOS,DOGEUSDT,2025-08-14 12:35:00+00:00,1,80.109438613819,250.33336083991682,266.66467952337035,274.1477408209455,289.146580721947,244.28064539571878,93.44100048752489
OOS,SPKUSDT,2025-08-14 12:35:00+00:00,1,108.23174732731,171.12263390636676,175.96990918415293,221.0268123784889,222.25009515177277,277.6019875579985,118.10527393807195
OOS,FARTCOINUSDT,2025-08-14 12:35:00+00:00,1,24.613331225785,187.04991868057067,185.0382884975076,186.0440044451183,262.0419736937162,233.53734156226204,39.32379530707344
OOS,FARTCOINUSDT,2025-08-25 20:34:00+00:00,1,-93.53920696552301,-3.70924106589365,12.02016850311161,42.30673327606383,0.21848442460204254,-93.20450882479147,-84.19825157327111
OOS,FARTCOINUSDT,2025-08-27 20:22:00+00:00,1,33.607813867589,247.36416208017516,258.8631760762809,251.1943066500337,136.2705016936698,110.1139482120587,49.60286756558391
OOS,LINKUSDT,2025-09-11 12:31:00+00:00,1,60.411422601904995,174.5317710858754,150.11016492547904,164.9235913376559,138.81129902719303,104.20252042926649,70.25702655848922
OOS,ADAUSDT,2025-09-11 12:31:00+00:00,1,13.420776678968,133.9265768416543,130.41201484159222,117.54608213490069,91.91184279172325,37.57988663263721,20.36262655278574
OOS,DOGEUSDT,2025-09-11 12:31:00+00:00,1,63.471732610328,248.63666394225143,247.78983863075567,221.60736835245814,150.91252828171847,104.18526360375472,81.1871715535332
OOS,FARTCOINUSDT,2025-09-11 12:31:00+00:00,1,-29.549735479721,214.17753727298404,182.8669904954031,150.55436042227063,91.25354189869736,19.836539460269844,-7.9861279316958615
OOS,BIOUSDT,2025-09-13 13:52:00+00:00,1,777.674117876834,972.2417812967858,987.8356079155396,956.0169963797453,935.803245005196,816.7251145263581,788.5043459989464
OOS,DOGEUSDT,2025-09-17 18:00:00+00:00,1,-80.788311664665,90.66087426610216,103.833787137402,124.43664414324897,115.87434152731802,-93.58191130395019,-65.15590034665263
OOS,FARTCOINUSDT,2025-09-21 16:18:00+00:00,1,-16.236047734318,137.72346385602253,142.04513341511114,103.28201082047948,18.191787946832285,-30.786699584977715,-1.4571401794800742
OOS,UNIUSDT,2025-09-22 06:03:00+00:00,1,434.636783718848,624.6038287136287,594.5156657437362,522.7244046991382,525.4158701414176,493.2087197171604,443.93971507698706
OOS,LTCUSDT,2025-09-22 06:03:00+00:00,1,170.65973237257703,316.7750926923084,298.8048722625468,279.90398580420947,262.0616608384362,209.8831752504192,178.6348737505571
OOS,XRPUSDT,2025-09-22 06:03:00+00:00,1,317.81539265109,418.92852416217215,422.7847960182719,445.9824069415453,424.71400083681453,385.49877888963476,323.43911483521345
OOS,LINKUSDT,2025-09-22 06:03:00+00:00,1,354.798223935432,415.52553334933924,398.191289402219,396.6645622869504,407.87096582670455,403.28361427236524,358.6413127410661
OOS,ADAUSDT,2025-09-22 06:03:00+00:00,1,288.014164601685,367.17038561424556,372.41320797224813,393.43754227445686,373.72474081849685,333.22058930769845,291.73973033990336
OOS,AVAXUSDT,2025-10-02 13:18:00+00:00,1,61.132175822094005,163.14244990917265,145.6949816693109,77.84683784723963,98.10596315734216,86.95339217989147,72.12149850038591
OOS,WLFIUSDT,2025-10-07 13:44:00+00:00,1,-56.427331597422,195.48313242088898,195.48313242088898,285.313000545538,167.73168369148394,-6.367148508372047,-43.66080468742361
