coin,t,te,tx,d,typ,prio,gross,perp_leg,hedge_leg,cost,fund,net,rank,pe,px,he,hx,ei,cost_e,nlegs,acc,dt,year
39,28099684,28099685,28099707,1,1,0.012176710180938244,0.024167410427070157,0.024167410427070157,0.0,0.00364,-0.0,0.020527410427070156,34,1.8901000000000001,1.9139800000000002,1.9006200000000002,1.9154500000000003,4765877,0.002315,1,True,2023-06-05 16:05:00+00:00,2023
116,28106184,28106185,28106187,1,1,0.014347448013722897,-0.0029655939131055797,-0.0029655939131055797,0.0,0.006605,-0.0,-0.00957059391310558,48,1.2149100000000002,1.21194,1.2237700000000002,1.22083,13904460,0.0037,1,True,2023-06-10 04:25:00+00:00,2023
55,28106184,28106185,28106306,1,1,0.013517827726900578,0.03937544592829223,0.03937544592829223,0.0,0.002845,-0.0,0.03653044592829223,12,5.42199,5.460610000000001,5.44686,5.460780000000001,6079317,0.001925,1,True,2023-06-10 04:25:00+00:00,2023
54,28106184,28106185,28106214,1,1,0.010678237304091454,0.09243592895237551,0.09243592895237551,0.0,0.0056549999999999994,-0.0,0.08678092895237552,50,-1.1731200000000002,-1.08471,-1.1692500000000001,-1.08382,5983189,0.003875,1,True,2023-06-10 04:25:00+00:00,2023
63,28106184,28106185,28106186,1,1,0.010466584004461765,-0.08522761114400623,-0.08522761114400623,0.0,0.009040000000000001,-0.0,-0.09426761114400624,55,-0.9702200000000001,-1.0593000000000001,-0.9707500000000001,-1.0504000000000002,6984951,0.00346,1,True,2023-06-10 04:25:00+00:00,2023
37,28106185,28106186,28106285,1,1,0.016818759962916374,0.12283866371600216,0.12283866371600216,0.0,0.00484,-0.0,0.11799866371600216,22,2.2874700000000003,2.4033300000000004,2.2975700000000003,2.4042300000000005,4217653,0.0035600000000000002,1,True,2023-06-10 04:26:00+00:00,2023
26,28106185,28106186,28106303,1,1,0.011592351831495762,0.0709113340107741,0.0709113340107741,0.0,0.0037300000000000002,-0.0,0.0671813340107741,36,0.7903600000000001,0.85887,0.79647,0.85976,2962839,0.00252,1,True,2023-06-10 04:26:00+00:00,2023
6,28106186,28106187,28106188,1,1,0.010443547740578651,0.05528407913096145,0.05528407913096145,0.0,0.011715,-0.0,0.04356907913096145,30,-12.2222,-12.16839,-12.222000000000001,-12.16512,1129299,0.007005000000000001,1,True,2023-06-10 04:27:00+00:00,2023
6,28106192,28106193,28106203,1,1,0.013821023516356945,0.06347303459941545,0.06347303459941545,0.0,0.0060750000000000005,-0.0,0.05739803459941545,30,-12.13729,-12.075750000000001,-12.13636,-12.07487,1129305,0.0038150000000000007,1,True,2023-06-10 04:33:00+00:00,2023
63,28135547,28135548,28135549,1,1,0.010271778330206871,0.005253752811083423,0.005253752811083423,0.0,0.0042899999999999995,-0.0,0.0009637528110834235,55,-0.87036,-0.8651200000000001,-0.87012,-0.8665500000000002,7007948,0.0028,1,True,2023-06-30 13:48:00+00:00,2023
55,28205142,28205143,28205156,1,1,0.015604671090841293,0.035847570199394774,0.035847570199394774,0.0,0.0037600000000000003,-0.0,0.032087570199394774,12,5.33542,5.370640000000001,5.37064,5.371570000000001,6090058,0.0027600000000000003,1,True,2023-08-17 21:43:00+00:00,2023
37,28205143,28205144,28205226,1,1,0.028647223487496376,0.10177222831697996,0.10177222831697996,0.0,0.00394,-0.0,0.09783222831697996,26,2.2648800000000002,2.3618,2.2834000000000003,2.36274,4230436,0.00265,1,True,2023-08-17 21:44:00+00:00,2023
148,28205143,28205144,28205145,1,1,0.012360864318907261,0.047168651894701874,0.047168651894701874,0.0,0.01029,-0.0,0.036878651894701873,28,0.8467300000000001,0.8928200000000001,0.8454400000000001,0.89527,16723955,0.006175,1,True,2023-08-17 21:44:00+00:00,2023
118,28205143,28205144,28205145,1,1,0.011420275084674358,0.04404229385996117,0.04404229385996117,0.0,0.006365000000000001,-0.0,0.037677293859961165,55,-0.63243,-0.58933,-0.63299,-0.58861,14163847,0.0027900000000000004,1,True,2023-08-17 21:44:00+00:00,2023
235,28325772,28325773,28325776,1,1,0.06107195094227791,-0.024719346830143207,-0.024719346830143207,0.0,0.01024,-0.0,-0.034959346830143206,4,4.74955,4.72452,4.79628,4.73567,24001479,0.004305000000000001,1,True,2023-11-09 16:13:00+00:00,2023
70,28325772,28325773,28325785,1,1,0.011218870058655739,0.06081767259842019,0.06081767259842019,0.0,0.006240000000000001,-0.0,0.05457767259842019,31,-0.69335,-0.63431,-0.69035,-0.6311100000000001,7982972,0.00462,1,True,2023-11-09 16:13:00+00:00,2023
235,28325789,28325790,28325813,1,1,0.01061219722032547,0.005615709310356598,0.005615709310356598,0.0,0.0036400000000000004,-0.0,0.0019757093103565976,4,4.76257,4.7681700000000005,4.77726,4.77118,24001496,0.001685,1,True,2023-11-09 16:30:00+00:00,2023
54,28361472,28361473,28361574,1,1,0.02035960741341114,0.07409666855312214,0.07409666855312214,0.0,0.004915,-0.0,0.06918166855312213,13,-0.70806,-0.63658,-0.70421,-0.6354500000000001,6014291,0.003954999999999999,1,True,2023-12-04 11:13:00+00:00,2023
232,28371012,28371013,28371014,1,1,0.024955008178949356,0.004238959077845328,0.004238959077845328,0.0,0.0068,-0.0,-0.0025610409221546717,10,2.2189900000000002,2.22322,2.2161600000000004,2.22409,23341948,0.00493,1,True,2023-12-11 02:13:00+00:00,2023
91,28371012,28371013,28371023,1,1,0.014375529251992702,0.06023438329775255,0.06023438329775255,0.0,0.004575,-0.0,0.055659383297752545,46,-0.7696000000000001,-0.71111,-0.7635700000000001,-0.70989,11244317,0.00317,1,True,2023-12-11 02:13:00+00:00,2023
5,28404721,28404722,28404962,1,0,0.024424085393548012,0.09964785859253356,0.09964785859253356,0.0,0.006,-0.0005842371566546,0.09306362143587896,9,-14.26519,-14.170200000000001,-14.255,-14.16979,867193,0.004695,1,True,2024-01-03 12:02:00+00:00,2024
232,28404728,28404729,28404882,1,1,0.018793877214193344,0.24859634954155685,0.24859634954155685,0.0,0.007885,-0.0,0.24071134954155685,10,2.2476000000000003,2.4696200000000004,2.27016,2.4705500000000002,23348993,0.0068,1,True,2024-01-03 12:09:00+00:00,2024
