name,N,lbs,kind,hl,band,sharpe_is,sharpe_oos,cagr_is,cagr_oos,vol_is,vol_oos,maxdd_close_is,maxdd_close_oos,gross_is,turnover_is,cost_is,fund_is,cost_oos,fund_oos,sharpe_is_precost,sharpe_oos_precost,sum_2022,sum_2023,sum_2024,sum_2025,sum_2026
N30_short_z_hl20_b0.0,30,short,z,20,0.0,0.38117171189515003,0.6164051869476277,0.059958864522705824,0.10639274370636964,0.21087395321445493,0.19452371942816718,0.23259962538744072,0.13221893053908462,0.4159730729903115,64.75116851056963,0.0650995719759666,-0.009739704179934697,0.06554718965569849,-0.016774315548722975,0.6896501714805959,0.9522091455538216,0.06961712440858686,0.18012846570857852,-0.008387815947375438,0.042833731429747696,0.1568991486278943
N30_all_sign_hl20_b0.0,30,all,sign,20,0.0,0.37119986541681343,0.2475364130005279,0.05645827796867886,0.02961215961705821,0.20356558796960522,0.19223930174350226,0.2619668216073465,0.18534188205373214,0.44150530330179477,74.08959016599206,0.07432490035438902,-0.012955523244687623,0.0775724511227472,-0.0024184490069573093,0.7363551319069354,0.6505273289815556,0.08940838338352564,0.11798161704061462,0.019507579488632087,0.04484373675235103,0.03442318415810957
N40_all_z_hl20_b0.5,40,all,z,20,0.5,0.36637524563216545,0.47257782225852746,0.0543237045487619,0.07314601168974777,0.1973446136865345,0.18580405727329125,0.2313098331744785,0.15128882519381015,0.41292101828185435,37.64041016276047,0.040211787299911254,-0.011629384077070235,0.042540696655256574,-0.0022146987404423166,0.5701406491482908,0.7007591020688009,0.12316697677264934,0.14191013987459572,-0.047972484538496,0.057909330304431544,0.08835527535537813
N30_long_z_hl60_b0.5,30,long,z,60,0.5,0.36232933510895576,0.37287972260554614,0.05372798331365769,0.052879911335838914,0.19865132291969223,0.1831094949371174,0.28454478820055296,0.16322497311186368,0.4061535108940446,21.039784674515946,0.0210936958312666,-0.008162150577649156,0.017636180813579375,0.011709531147630795,0.4684536746879483,0.46894259651719056,0.08809010022525691,0.040186928435738026,0.08785177440804387,0.04443371039856908,0.06930029822769161
N30_all_z_hl60_b0.0,30,all,z,60,0.0,0.35961851517973303,0.34446502034604665,0.05430534722569513,0.04893310434953557,0.20550299430063415,0.19208350831147902,0.26015624930386205,0.17710787334431022,0.41726235051344607,51.24869423750449,0.05144490901845988,-0.007327527775350986,0.05027049012843948,-0.0033714227142285272,0.6098728733380325,0.6059347325577973,0.07822105793275377,0.1425918208911661,0.0010976393027101838,0.01901893149655047,0.09119739221846714
N40_short_z_hl60_b0.0,40,short,z,60,0.0,0.3595192768534027,0.22981138535192783,0.054872316788031394,0.0260218411963149,0.209282279367716,0.19025873894353273,0.2465257057738638,0.1656700868496439,0.4192693032823108,64.47851196797241,0.06951017312925746,-0.006083596501157733,0.06764307170223065,-0.01840382147021126,0.6917385794814263,0.5847479935605443,0.0889794491994445,0.16259150360600105,-0.025641771832244732,-0.019437373617304028,0.09227015065327616
N30_short_sign_hl60_b0.5,30,short,sign,60,0.5,0.35270511278064426,0.36703848800373534,0.053113315775141334,0.053374860693155224,0.20766578006543407,0.1910283954574867,0.25106462400562246,0.1508536738983124,0.45502707514087737,73.42037118763108,0.07359611241962187,-0.010186301558383563,0.07480224097814288,-0.013636451332941437,0.7070333711783252,0.7576302240412542,0.058352756256245156,0.17540470371321268,-0.013822442196825822,0.08885892602614598,0.027934997941452055
N20_all_z_hl60_b0.5,20,all,z,60,0.5,0.3346310241007644,0.5163073245922426,0.047957205156872185,0.08343490912390394,0.1987913983326992,0.19020857705527155,0.24702762643915288,0.167497910880114,0.40947644836747876,34.84258613900908,0.030180215911223492,-0.01556446480981546,0.027612924952637112,0.01314476699484556,0.48625418661035613,0.6610371591117575,0.04346383396604781,0.17359101514177058,-0.01730729006585237,0.050755059001657235,0.11283205763564153
N40_all_sign_hl20_b0.0,40,all,sign,20,0.0,0.31960960699251917,0.15967852499947036,0.04522527586179104,0.012239596495455807,0.20210580868172898,0.19538793351309414,0.24970882923902493,0.16704152675961026,0.4413296124741009,73.07164568263907,0.07857852482071165,-0.01360685058336333,0.0838750040299467,-0.004812255098872273,0.7086538311736957,0.5884967643729343,0.08936992992190647,0.07754411136706693,0.027047805449945134,0.03419370721477271,0.017776562023166385
N30_all_z_hl20_b0.0,30,all,z,20,0.0,0.31590074223230225,0.39392703068626633,0.044860311392216135,0.05949487295568523,0.20546197765070037,0.19465827414472375,0.2554894406735647,0.1581401047658466,0.4220834531646675,53.764862465122484,0.053974799505227725,-0.012128526516033621,0.05377262500949619,-0.0045059636014067594,0.5785092681824391,0.6698181966303182,0.09688486241177317,0.11368365689980203,-0.01567392205281151,0.04684562254236975,0.08088627555863104
N40_long_z_hl60_b0.5,40,long,z,60,0.5,0.31226368503021834,0.5402204466384543,0.043697233711310846,0.08659536649895849,0.2020195535519524,0.18554520619011453,0.3115425209583189,0.16729542414806342,0.4145827155508373,22.407805775590997,0.024002715734283718,-0.009730103504055539,0.021016033377679287,0.009912370310077957,0.43100559134960187,0.6529481487172437,0.12081475087630203,-0.00891340350606312,0.07752159450198097,0.07710493847339325,0.08986237935966385
N20_short_z_hl20_b0.5,20,short,z,20,0.5,0.3088592742804351,0.6699309121685729,0.04292796821650513,0.1134173359299675,0.20190424085940192,0.186048266858767,0.23214903876691106,0.16390019242286813,0.4057084284501806,46.85086522223955,0.04070665067295892,-0.012396712822082979,0.03952730084178322,-0.0024834812833656526,0.5102525478783324,0.8815514686008554,0.020896492482525564,0.16140808177454222,0.004946266968550964,0.032716469694755855,0.1749021794982253
N40_short_z_hl20_b0.5,40,short,z,20,0.5,0.3044760237828502,0.31828367394155366,0.04240127903860835,0.04248031521257456,0.20551454720544904,0.1832908309708146,0.25480701317218957,0.13458915153939266,0.4174739325928311,50.25504049860705,0.05393820596708862,-0.010193828347077839,0.05338169819405334,-0.01198306659440921,0.5669933520402743,0.6088930473761129,0.09080905512666042,0.13640649553900575,-0.03932135787042708,0.04540735705732318,0.05177016426148299
N40_all_sign_hl60_b0.0,40,all,sign,60,0.0,0.3009941323661592,0.10963276590921595,0.04131018024850741,0.002551290430455433,0.2022388615463441,0.1932670311239404,0.24976133622413033,0.1852927742260787,0.4412773736520457,72.67909161130056,0.0781380898588996,-0.012109709495527001,0.08276723524978068,-0.003042545831295803,0.6876797795932735,0.5374635581375313,0.09004196529557844,0.08322361058585306,0.009519330653912039,0.011378324177359785,0.02391632432170186
N30_short_sign_hl20_b0.5,30,short,sign,20,0.5,0.2949812003454163,0.4011332308465923,0.04060555604983551,0.06032485873340554,0.20815081753359055,0.19121774701106672,0.2635136338224039,0.147222269333675,0.4549241348436618,74.34444965858572,0.07453879946218234,-0.01243230967209593,0.0753551947081003,-0.013086054908621003,0.6529853361839477,0.7942438088477763,0.06587654125073908,0.13526989342239543,-0.016776479884651332,0.10723432623547804,0.02053527906173662
