tsmom,scheme,sharpe_cis,sharpe_oos,y2025,y2026,tsmom_sharpe_oos
N20_short_sign_hl20_b0.0,equal_capital_3,1.4226258340605091,1.5560460060605825,0.20164501381407485,0.012857398947339505,0.6424994247901418
N20_short_sign_hl20_b0.5,inv_vol_3,9.478006859946486,4.8038462212928685,0.07557618686714518,0.009446266349009358,0.7673054557669748
N20_short_sign_hl20_b0.5,inv_vol_book_tsmom,1.2801219863556812,1.7916262226159245,0.3715860712642445,-0.016961652485041445,0.7673054557669748
N20_short_sign_hl20_b0.5,equal_capital_3,1.654332164329801,1.6746301709008615,0.21618928520231484,0.012883304779125027,0.7673054557669748
N20_short_sign_hl60_b0.0,inv_vol_3,9.333331712287286,4.709703902166467,0.07354286403768784,0.009967740690139282,0.6272418638364796
N20_short_sign_hl60_b0.0,inv_vol_book_tsmom,1.1593082449635523,1.6958984336493148,0.3459024689848904,-0.01179195514484821,0.6272418638364796
N20_short_sign_hl60_b0.0,equal_capital_3,1.4953962577344106,1.5441710714319927,0.19226148211323957,0.018787393744279512,0.6272418638364796
N20_short_sign_hl60_b0.5,inv_vol_3,9.454065162481129,4.77569931011264,0.07439149955827484,0.01011213675543976,0.7235365900533567
N20_short_sign_hl60_b0.5,inv_vol_book_tsmom,1.2415240093527284,1.7587939794506897,0.3560197918732362,-0.010155584291574704,0.7235365900533567
N20_short_sign_hl60_b0.5,equal_capital_3,1.6043234723921806,1.6328692114777368,0.20218622447736934,0.020019140551063463,0.7235365900533567
N20_short_z_hl20_b0.0,inv_vol_3,9.440197446669625,4.72162233273693,0.0719818179380538,0.01169420610814842,0.6495434283091426
N20_short_z_hl20_b0.0,inv_vol_book_tsmom,1.3190182040335436,1.7079668232321847,0.32647429633262237,0.006013047611684419,0.6495434283091426
N20_short_z_hl20_b0.0,equal_capital_3,1.6949874791069806,1.5550044847926447,0.1737689461696228,0.037988172318003555,0.6495434283091426
N20_short_z_hl20_b0.5,inv_vol_3,9.517432598611947,4.780757727189806,0.07213948749306054,0.011532258175112498,0.6699309121685696
N20_short_z_hl20_b0.5,inv_vol_book_tsmom,1.3719337402248153,1.7274006777484332,0.32838735902053084,0.004479287210246818,0.6699309121685696
N20_short_z_hl20_b0.5,equal_capital_3,1.763638977233217,1.5897763119709087,0.1757153303674619,0.03625012150498774,0.6699309121685696
N20_short_z_hl60_b0.0,inv_vol_3,9.494322627273927,4.649692345123865,0.0706427929734077,0.012094664150183787,0.5573064054783573
N20_short_z_hl60_b0.0,inv_vol_book_tsmom,1.394308157704706,1.6414172161595932,0.3076864967479247,0.010250081466124161,0.5573064054783573
N20_short_z_hl60_b0.0,equal_capital_3,1.8006205751347664,1.4737165473640064,0.1585110127440026,0.041532497699729554,0.5573064054783573
N20_short_z_hl60_b0.5,inv_vol_3,9.454398504524551,4.617823525809376,0.07035153468615363,0.01164012416810345,0.4890066798513494
N20_short_z_hl60_b0.5,inv_vol_book_tsmom,1.3646044775317618,1.5988903004995294,0.302880974184361,0.005683787945481189,0.4890066798513494
N20_short_z_hl60_b0.5,equal_capital_3,1.7698833238674287,1.4237927834500173,0.15544913695809215,0.03615494414097098,0.4890066798513494
N20_long_sign_hl20_b0.0,inv_vol_3,9.546398429967365,4.86085200561165,0.07515851047140032,0.01255754881320037,0.9895937511751589
N20_long_sign_hl20_b0.0,inv_vol_book_tsmom,1.2333815361704736,1.9185894592608959,0.3641689681011029,0.014845312840038538,0.9895937511751589
N20_long_sign_hl20_b0.0,equal_capital_3,1.6040986377489026,1.8412240646550526,0.21086613141260235,0.04480327485854385,0.9895937511751589
N20_long_sign_hl20_b0.5,inv_vol_3,9.603772456281597,4.894013367213346,0.07480827872129514,0.013369203460820378,1.0333115594086426
N20_long_sign_hl20_b0.5,inv_vol_book_tsmom,1.2865665613999018,1.951915162666714,0.35663528688361623,0.023304128331936402,1.0333115594086426
N20_long_sign_hl20_b0.5,equal_capital_3,1.6870548775956042,1.893729263617086,0.2064351916128635,0.05160038665284716,1.0333115594086426
N20_long_sign_hl60_b0.0,inv_vol_3,9.555106778096835,4.799021755522846,0.07446869576215986,0.012189603814626526,0.8904573326296298
N20_long_sign_hl60_b0.0,inv_vol_book_tsmom,1.2606881011533295,1.854969819819223,0.3544951781864447,0.011048229196231718,0.8904573326296298
N20_long_sign_hl60_b0.0,equal_capital_3,1.642274523284313,1.7588327723580273,0.20278096192659012,0.04060902811166356,0.8904573326296298
N20_long_sign_hl60_b0.5,inv_vol_3,9.596040313952663,4.7936232707830895,0.07331141797465346,0.012324327335426766,0.8118507574401799
N20_long_sign_hl60_b0.5,inv_vol_book_tsmom,1.2991900068131697,1.816835576110455,0.33907137728042636,0.012572237861523838,0.8118507574401799
N20_long_sign_hl60_b0.5,equal_capital_3,1.692917071680343,1.7096104551528404,0.1895854570612896,0.041887282915156865,0.8118507574401799
N20_long_z_hl20_b0.0,inv_vol_3,9.65038198278533,4.614172676250569,0.07328154937940767,0.01018587867643328,0.6031780948093171
N20_long_z_hl20_b0.0,inv_vol_book_tsmom,1.3619377637911634,1.6709723073808207,0.34047562156995337,-0.009613994285381344,0.6031780948093171
N20_long_z_hl20_b0.0,equal_capital_3,1.7628020911229698,1.5133497309727455,0.18923184180275943,0.020168636724738898,0.6031780948093171
N20_long_z_hl20_b0.5,inv_vol_3,9.630555346603382,4.692284728536188,0.07394514660183171,0.010261231690677608,0.6891720076534887
N20_long_z_hl20_b0.5,inv_vol_book_tsmom,1.29959873048744,1.7291287176261427,0.34574941639831347,-0.008506590094865207,0.6891720076534887
N20_long_z_hl20_b0.5,equal_capital_3,1.7023347017984787,1.6132254743756376,0.1968774403272573,0.019786430437695346,0.6891720076534887
N20_long_z_hl60_b0.0,inv_vol_3,9.671778329559952,4.516349648761462,0.07182249066947732,0.010096197198941947,0.4635020800077565
N20_long_z_hl60_b0.0,inv_vol_book_tsmom,1.4130520841820564,1.5777820180114253,0.32125088976100225,-0.010480869679992955,0.4635020800077565
N20_long_z_hl60_b0.0,equal_capital_3,1.8302457188341095,1.3937107630004721,0.17251401841540526,0.019154281740644485,0.4635020800077565
N20_long_z_hl60_b0.5,inv_vol_3,9.768197693932855,4.541458868938315,0.07206910139442724,0.009559470890915245,0.44744670321515145
N20_long_z_hl60_b0.5,inv_vol_book_tsmom,1.4916288075826256,1.5761334489620227,0.3224738308217452,-0.015648856868031413,0.44744670321515145
N20_long_z_hl60_b0.5,equal_capital_3,1.9404878767569944,1.406478958209813,0.17579011655096233,0.012964286293797311,0.44744670321515145
N30_all_sign_hl20_b0.0,inv_vol_3,9.475006092271949,4.375816957622193,0.07252803542825692,0.0071204833597904305,0.24753641300052592
N30_all_sign_hl20_b0.0,inv_vol_book_tsmom,1.3880126393479515,1.4448283342769306,0.3318033568566936,-0.04054308331334033,0.24753641300052592
N30_all_sign_hl20_b0.0,equal_capital_3,1.7923525395461994,1.21462288331006,0.18034656127166304,-0.011347365255509723,0.24753641300052592
N30_all_sign_hl20_b0.5,inv_vol_3,9.562191688973316,4.347552907976869,0.07222868360155421,0.006447793398349999,0.15883594569992251
N30_all_sign_hl20_b0.5,inv_vol_book_tsmom,1.4780079513345443,1.3986933224213247,0.3268088652272676,-0.04690061420622649,0.15883594569992251
N30_all_sign_hl20_b0.5,equal_capital_3,1.9129966028054137,1.1603644092082552,0.17710531927339201,-0.018187316135973686,0.15883594569992251
N30_all_sign_hl60_b0.0,inv_vol_3,9.495253285007271,4.367359433194848,0.07192599155591872,0.00726967415418156,0.20829213179274764
N30_all_sign_hl60_b0.0,inv_vol_book_tsmom,1.4246061396919045,1.4220512794249944,0.3237757131140504,-0.03900213217217108,0.20829213179274764
N30_all_sign_hl60_b0.0,equal_capital_3,1.8419814961750771,1.1868364583275293,0.1734541707665016,-0.009811206613076995,0.20829213179274764
N30_all_sign_hl60_b0.5,inv_vol_3,9.612248508536469,4.407999449072539,0.07281704754167051,0.006526301937101353,0.22212811745996464
N30_all_sign_hl60_b0.5,inv_vol_book_tsmom,1.5635028097272214,1.4413443026649206,0.33517869519876387,-0.046212373763711234,0.22212811745996464
N30_all_sign_hl60_b0.5,equal_capital_3,2.0199774591176443,1.2138759480353558,0.1837709964379468,-0.01733490011714267,0.22212811745996464
N30_all_z_hl20_b0.0,inv_vol_3,9.398930889808637,4.422385787262609,0.07259920265897302,0.00858970235468437,0.3939270306862628
N30_all_z_hl20_b0.0,inv_vol_book_tsmom,1.3001661623697773,1.5239924241482847,0.33313816944972086,-0.025945250344545534,0.3939270306862628
N30_all_z_hl20_b0.0,equal_capital_3,1.6818415415952823,1.3208775352340234,0.18108259146905392,0.003989692633943109,0.3939270306862628
N30_all_z_hl20_b0.5,inv_vol_3,9.47401816482864,4.417028785123743,0.07264431160042295,0.007052248043369458,0.26168496852266476
N30_all_z_hl20_b0.5,inv_vol_book_tsmom,1.3453886408830813,1.4641078973047608,0.3331213131835542,-0.041114595405539855,0.26168496852266476
N30_all_z_hl20_b0.5,equal_capital_3,1.744459923905178,1.2484912650819078,0.1819462233923108,-0.01203757517476467,0.26168496852266476
N30_all_z_hl60_b0.0,inv_vol_3,9.490602592994065,4.413932412204922,0.07164401367137674,0.008942707298462249,0.3444650203460403
N30_all_z_hl60_b0.0,inv_vol_book_tsmom,1.4245524090676063,1.492369351580116,0.3198902838977453,-0.02225640331788048,0.3444650203460403
N30_all_z_hl60_b0.0,equal_capital_3,1.847302223999011,1.2869561784955066,0.170226693988609,0.007489134488219529,0.3444650203460403
N30_all_z_hl60_b0.5,inv_vol_3,9.57444684361281,4.4157929105956235,0.07131794113384093,0.00795173537560867,0.22475480439265402
N30_all_z_hl60_b0.5,inv_vol_book_tsmom,1.5137957669092643,1.4405249638564623,0.3161546767685013,-0.03208738093900165,0.22475480439265402
N30_all_z_hl60_b0.5,equal_capital_3,1.960108184063033,1.2145157180160029,0.16645632836082958,-0.0025902464767229016,0.22475480439265402
N30_short_sign_hl20_b0.0,inv_vol_3,9.281763475239892,4.496636645457278,0.0730459044502545,0.006753272716347514,0.25945231295156224
N30_short_sign_hl20_b0.0,inv_vol_book_tsmom,1.208657854366196,1.48326712924953,0.3423444371943827,-0.04462362871809522,0.25945231295156224
N30_short_sign_hl20_b0.0,equal_capital_3,1.5402195899724758,1.2356439769122456,0.18617408149879378,-0.014863720213748599,0.25945231295156224
N30_short_sign_hl20_b0.5,inv_vol_3,9.458809706110653,4.599625846494545,0.07459656874915854,0.006660988366748999,0.40113323084659125
N30_short_sign_hl20_b0.5,inv_vol_book_tsmom,1.3910151295536008,1.573266270390409,0.3638967918012448,-0.045628185316572534,0.40113323084659125
N30_short_sign_hl20_b0.5,equal_capital_3,1.7689145972707085,1.3554140877505796,0.20513684965467438,-0.015768692941321882,0.40113323084659125
N30_short_sign_hl60_b0.0,inv_vol_3,9.349886226338464,4.4992214789665415,0.07257425012170748,0.007365103009079332,0.2771691335839133
N30_short_sign_hl60_b0.0,inv_vol_book_tsmom,1.2983312875169073,1.4887807043354757,0.3359058104533672,-0.038453443836286794,0.2771691335839133
N30_short_sign_hl60_b0.0,equal_capital_3,1.6566973829066396,1.2476988175999673,0.18049406992645722,-0.008327440022332766,0.2771691335839133
N30_short_sign_hl60_b0.5,inv_vol_3,9.510546735868724,4.570067806407817,0.07399856306260189,0.00688633595971444,0.36703848800373146
