inst,group,listTime,lever,ctVal,minSz,maxMktSz,maxMktUSD,spread_bp,mid,depth_bid_usd_1pct,depth_bid_usd_2pct,cost_50_bp,cost_200_bp,cost_500_bp,cost_1000_bp,cost_2000_bp,on_binance_um
BASED-USDT-SWAP,event2025_26,2026-03-30 10:30:00.000,20.0,10.0,1.0,25000.0,16657.5,3.001650908000319,0.06663,38018.876200000006,86745.90509999999,2.721727116358208,2.9316714296978574,3.324868031451267,4.761433807434212,6.4928853961288,True
BEAT-USDT-SWAP,event2025_26,2025-11-12 16:15:00.610,10.0,10.0,0.1,7000.0,6569.849999999999,1.0654733365293403,0.093855,38584.04441,69762.10097,0.5327366682639223,1.008269492692726,1.7462435766346651,2.2414902115974744,3.678806103193377,True
BERA-USDT-SWAP,event2025_26,2025-02-06 14:00:01.850,20.0,0.1,1.0,710000.0,16049.55,4.423800044237513,0.22605,46972.46395,107815.13706000001,2.2119000221187957,2.2119000221187957,4.393085699065935,5.5145186850646954,7.07442131907321,True
BILL-USDT-SWAP,event2025_26,2026-05-06 08:00:00.000,20.0,100.0,1.0,9300.0,12587.55,7.388252678241295,0.013535,31833.122000000003,63497.737,9.683734740225658,10.732754663775879,14.336567034355374,16.40402732926205,17.437436470278953,True
BIO-USDT-SWAP,event2025_26,2025-01-03 10:45:00.474,20.0,1.0,1.0,440000.0,13387.0,3.2867707477402113,0.030425,65178.44972999999,94848.13011000001,1.648697224040374,4.109993346566032,4.602107162767766,6.225367460579445,8.049930115684445,True
BREV-USDT-SWAP,event2025_26,2025-12-30 13:00:00.000,20.0,1.0,1.0,96000.0,8341.439999999999,11.508804235240289,0.08689,20600.93518,33962.680440000004,7.3986497958233866,8.629042578305324,8.97585108938559,9.565882194855213,11.446772602350386,True
CAP-USDT-SWAP,event2025_26,2026-06-26 12:30:00.000,10.0,100.0,1.0,7300.0,37824.95,1.9299430666787847,0.051815,54940.77099999999,115919.43100000001,0.9649715333392983,1.645120240048037,3.285363612696157,4.05516991478172,4.785743524852171,True
CC-USDT-SWAP,event2025_26,2025-10-31 14:00:00.291,20.0,10.0,1.0,8600.0,9836.68,3.4971148802236725,0.11438000000000001,34237.2482,47966.352399999996,1.7485574401121529,2.666848297916413,3.99080108102301,6.541930011411123,8.706440579888675,True
DOS-USDT-SWAP,event2025_26,2026-08-10 12:00:00.000,20.0,10.0,1.0,3100.0,6843.25,4.530011325027814,0.22075,66210.764,84473.50499999999,3.596167761223956,5.99549662727239,7.207998007749961,9.266937301655176,10.6955638963524,True
EDEN-USDT-SWAP,event2025_26,2025-09-30 11:30:01.710,20.0,1.0,1.0,79000.0,4915.775000000001,4.821213338689483,0.062225,40268.27149,56557.439959999996,3.7277858880335746,3.9452063849876318,5.451790972006432,7.8388393772332865,10.984285194640675,True
ESP-USDT-SWAP,event2025_26,2026-02-10 16:00:00.000,20.0,100.0,1.0,1400.0,13580.0,6.185567010309742,0.097,48181.242999999995,70713.954,3.955113788910447,6.698460941857443,8.310940538625022,9.310209371451439,10.276300611583578,True
FOGO-USDT-SWAP,event2025_26,2026-01-10 15:45:00.000,10.0,10.0,1.0,53000.0,3335.8199999999997,9.532888465204845,0.006293999999999999,27178.78373,35064.014010000006,4.766444232601197,6.100268289207511,9.849338804238661,11.280133268690706,12.455128643374946,True
GRAM-USDT-SWAP,event2025_26,2026-06-17 10:30:00.000,50.0,1.0,1.0,41000.0,58035.5,7.064641469444648,1.4155,225680.393,357844.2629999999,3.5323207347237595,3.5323207347237595,3.5323207347226493,3.5323207347226493,5.649758834791463,True
GRVT-USDT-SWAP,event2025_26,2026-07-30 15:00:00.000,20.0,10.0,1.0,8800.0,17627.28,0.998452398781501,0.20031,31694.250200000002,52092.064099999996,0.4992261993896907,1.9078505658076672,7.242451477836864,10.177471037734476,11.94226801428111,True
HUMA-USDT-SWAP,event2025_26,2025-05-26 13:30:00.433,20.0,100.0,1.0,2300.0,5906.400000000001,7.788161993770504,0.02568,20410.362999999998,36993.06,3.894080996885707,6.7388695750758565,7.368471469570981,9.124578882849788,10.486666944348189,True
HYPE-USDT-SWAP,event2025_26,2025-02-21 07:00:00.506,50.0,0.1,1.0,99000.0,904003.65,0.1095128321650757,91.3135,2577932.1011,2577932.1011,0.054756416083545645,0.054756416083545645,0.054756416083545645,0.054756416083545645,0.25037611150802164,True
JELLYJELLY-USDT-SWAP,event2025_26,2025-03-26 15:54:30.352,10.0,100.0,1.0,530.0,2919.5049999999997,9.076881183625568,0.055084999999999995,13450.019999999997,19930.110999999994,4.53844059181252,6.9200580725214955,7.669576544089285,9.25935885589757,13.834474137621733,True
KAITO-USDT-SWAP,event2025_26,2025-02-20 14:00:00.331,50.0,1.0,1.0,64000.0,21846.399999999998,2.929544455836795,0.34135,96738.5187,142889.86650000003,1.4647722279181874,2.269799016045848,3.5446179762832486,3.9694853868832425,5.101495457107141,True
KAT-USDT-SWAP,event2025_26,2026-03-02 11:30:00.000,20.0,100.0,1.0,18000.0,8927.1,6.04899687468575,0.0049595,34578.669400000006,38468.8381,3.024498437343981,4.988195576951515,8.41408089445439,9.752133414254738,10.933038377650695,True
KITE-USDT-SWAP,event2025_26,2026-04-09 03:00:00.000,10.0,10.0,1.0,5900.0,7423.085000000001,8.742995668242974,0.125815,25126.4635,34004.7021,5.681292486355849,5.891174648391395,7.44507766363145,8.690305162302181,10.234472373672476,True
LAYER-USDT-SWAP,event2025_26,2025-02-11 14:30:00.817,20.0,1.0,1.0,170000.0,13063.65,3.9039625219600818,0.076845,34350.5775,48048.838760000006,2.695452507882612,3.113845539778337,3.197519943795024,5.2784730666533,8.92250308992426,True
LINEA-USDT-SWAP,event2025_26,2025-09-01 14:00:00.376,50.0,100.0,1.0,38000.0,10793.9,3.5205069530016995,0.0028405,50436.5896,123740.3931,4.481118919014149,5.080862046743517,6.774641279756466,9.462482497993863,11.487289746834328,True
MERL-USDT-SWAP,event2025_26,2024-04-19 10:25:00.606,20.0,1.0,1.0,340000.0,9664.5,3.5180299032540345,0.028425,25559.725500000004,60414.15422,5.2750459098904745,9.689149516509676,11.263688024454321,11.788423907297396,13.599074093696428,True
MET-USDT-SWAP,event2025_26,2025-10-10 08:15:00.254,20.0,1.0,1.0,33000.0,10875.15,3.0344409042630556,0.32955,50724.6783,114694.9912,1.592132627652454,4.177526797296549,6.222951071186422,8.190535103059782,10.583893849370751,True
MMT-USDT-SWAP,event2025_26,2025-11-04 12:30:01.259,20.0,10.0,1.0,6300.0,10602.9,11.88354129530634,0.1683,46233.005999999994,93591.131,5.941770647653888,5.941770647653888,5.987073668770604,8.936177467658846,10.41007678162953,True
