mod,L,start,strategy,k_dl,risk_mode,H,th_in,th_out,K,universe,balance,R,delta,cagr,maxdd,worst_day,sharpe,liq,cuts,entries,funding,costs,y2025,y2026,period
exWLD,1.0,2025-01-01,,3.0,,720,0.1,0.05,2,all,False,4,0.25,0.015637366836410038,-0.020254035838537465,-0.002537515881228636,1.4529797963451787,0,1,5,0.040374383912063945,0.009788376152715045,-0.0005605154845220728,0.026740701732690386,OOS
exBTC,5.0,2025-01-01,,12.0,,720,0.1,0.05,4,all,False,4,0.5,0.043018636916415165,-0.018955943591683844,-0.009171555960466815,1.3059288918712733,0,1,6,0.116375737439408,0.025826106989626965,-0.002837188500687815,0.07568013460574985,OOS
exETH,5.0,2025-01-01,,12.0,,720,0.1,0.05,4,all,False,4,0.5,0.043018636916415165,-0.018955943591683844,-0.009171555960466815,1.3059288918712733,0,1,6,0.116375737439408,0.025826106989626965,-0.002837188500687815,0.07568013460574985,OOS
exSOL,5.0,2025-01-01,,12.0,,720,0.1,0.05,4,all,False,4,0.5,0.043018636916415165,-0.018955943591683844,-0.009171555960466815,1.3059288918712733,0,1,6,0.116375737439408,0.025826106989626965,-0.002837188500687815,0.07568013460574985,OOS
exXRP,5.0,2025-01-01,,12.0,,720,0.1,0.05,4,all,False,4,0.5,0.043018636916415165,-0.018955943591683844,-0.009171555960466815,1.3059288918712733,0,1,6,0.116375737439408,0.025826106989626965,-0.002837188500687815,0.07568013460574985,OOS
exDOGE,5.0,2025-01-01,,12.0,,720,0.1,0.05,4,all,False,4,0.5,0.043018636916415165,-0.018955943591683844,-0.009171555960466815,1.3059288918712733,0,1,6,0.116375737439408,0.025826106989626965,-0.002837188500687815,0.07568013460574985,OOS
exADA,5.0,2025-01-01,,12.0,,720,0.1,0.05,4,all,False,4,0.5,0.043018636916415165,-0.018955943591683844,-0.009171555960466815,1.3059288918712733,0,1,6,0.116375737439408,0.025826106989626965,-0.002837188500687815,0.07568013460574985,OOS
exLINK,5.0,2025-01-01,,12.0,,720,0.1,0.05,4,all,False,4,0.5,0.043018636916415165,-0.018955943591683844,-0.009171555960466815,1.3059288918712733,0,1,6,0.116375737439408,0.025826106989626965,-0.002837188500687815,0.07568013460574985,OOS
exAVAX,5.0,2025-01-01,,12.0,,720,0.1,0.05,4,all,False,4,0.5,0.043018636916415165,-0.018955943591683844,-0.009171555960466815,1.3059288918712733,0,1,6,0.116375737439408,0.025826106989626965,-0.002837188500687815,0.07568013460574985,OOS
exLTC,5.0,2025-01-01,,12.0,,720,0.1,0.05,4,all,False,4,0.5,0.043018636916415165,-0.018955943591683844,-0.009171555960466815,1.3059288918712733,0,1,6,0.116375737439408,0.025826106989626965,-0.002837188500687815,0.07568013460574985,OOS
exDOT,5.0,2025-01-01,,12.0,,720,0.1,0.05,4,all,False,4,0.5,0.043018636916415165,-0.018955943591683844,-0.009171555960466815,1.3059288918712733,0,1,6,0.116375737439408,0.025826106989626965,-0.002837188500687815,0.07568013460574985,OOS
exBCH,5.0,2025-01-01,,12.0,,720,0.1,0.05,4,all,False,4,0.5,0.043018636916415165,-0.018955943591683844,-0.009171555960466815,1.3059288918712733,0,1,6,0.116375737439408,0.025826106989626965,-0.002837188500687815,0.07568013460574985,OOS
exTRX,5.0,2025-01-01,,12.0,,720,0.1,0.05,4,all,False,4,0.5,0.043018636916415165,-0.018955943591683844,-0.009171555960466815,1.3059288918712733,0,1,6,0.116375737439408,0.025826106989626965,-0.002837188500687815,0.07568013460574985,OOS
exATOM,5.0,2025-01-01,,12.0,,720,0.1,0.05,4,all,False,4,0.5,0.043018636916415165,-0.018955943591683844,-0.009171555960466815,1.3059288918712733,0,1,6,0.116375737439408,0.025826106989626965,-0.002837188500687815,0.07568013460574985,OOS
exETC,5.0,2025-01-01,,12.0,,720,0.1,0.05,4,all,False,4,0.5,0.043018636916415165,-0.018955943591683844,-0.009171555960466815,1.3059288918712733,0,1,6,0.116375737439408,0.025826106989626965,-0.002837188500687815,0.07568013460574985,OOS
exFIL,5.0,2025-01-01,,12.0,,720,0.1,0.05,4,all,False,4,0.5,0.043018636916415165,-0.018955943591683844,-0.009171555960466815,1.3059288918712733,0,1,6,0.116375737439408,0.025826106989626965,-0.002837188500687815,0.07568013460574985,OOS
exNEAR,5.0,2025-01-01,,12.0,,720,0.1,0.05,4,all,False,4,0.5,0.043018636916415165,-0.018955943591683844,-0.009171555960466815,1.3059288918712733,0,1,6,0.116375737439408,0.025826106989626965,-0.002837188500687815,0.07568013460574985,OOS
exUNI,5.0,2025-01-01,,12.0,,720,0.1,0.05,4,all,False,4,0.5,0.043018636916415165,-0.018955943591683844,-0.009171555960466815,1.3059288918712733,0,1,6,0.116375737439408,0.025826106989626965,-0.002837188500687815,0.07568013460574985,OOS
exAAVE,5.0,2025-01-01,,12.0,,720,0.1,0.05,4,all,False,4,0.5,0.043018636916415165,-0.018955943591683844,-0.009171555960466815,1.3059288918712733,0,1,6,0.116375737439408,0.025826106989626965,-0.002837188500687815,0.07568013460574985,OOS
