check,L,cagr_IS,cagr_OOS,maxdd_IS,maxdd_OOS,worst_day_IS,worst_day_OOS,sharpe_OOS,liq_IS,liq_OOS,y2022,y2023,y2024,y2025,y2026,note
funding|intrabar|lag24,3.0,0.0269025953411925,0.0096069951095489,-0.0826342546158098,-0.0155207667327154,-0.0229965719461328,-0.0014057243202365,2.0616293876428817,0.0,0.0,0.0515748249882681,0.0275686986642675,0.00217131832831,0.0118082695061376,0.0041852414964229,
funding|intrabar|lag24,5.0,0.0575658691958407,0.0366295260207953,-0.0479114587761937,-0.016839316292723,-0.0216285143964732,-0.009143875877446,1.2395514466119464,0.0,0.0,0.1330339728150531,-0.0004540814126708,0.044450087648642,-0.0019894527698777,0.0638296242230822,
funding|intrabar|lag24,10.0,-0.0261893261257002,0.0239616462249303,-0.2326051863450589,-0.1234916494900487,-0.1011853703231161,-0.0375024619834667,0.4587388656883587,0.0,0.0,-0.1228511991179025,-0.0120366245882971,0.0656245375665622,0.000874262849446,0.0392950191044787,
funding|intrabar|lag24,15.0,-0.138510469562528,0.0190191550513818,-0.3834446996253242,-0.1994335238457255,-0.1258611683961239,-0.0383883607829599,0.2951859260594951,0.0,0.0,-0.2131891271014011,-0.0514800391672839,-0.1433495779646451,0.001356394274169,0.0304614990565152,
funding|intrabar|lag24,20.0,-0.2577686160373166,-0.0305584011378895,-0.6003326253756183,-0.2851359503740589,-0.1331870491016317,-0.0513471004336433,-0.2964669059672459,0.0,0.0,-0.2855198259477003,-0.1064841810449367,-0.359577724520432,0.0016685256988917,-0.0519314648666795,
funding|intrabar|lag8,1.0,0.0150060753685468,0.0165445211115715,-0.020187131349214,-0.0202181682463741,-0.0023109580567249,-0.0031734307683299,1.3140791712066264,0.0,0.0,0.0283626870968984,0.0045711783727486,0.0122361731729696,-0.0004660262577692,0.0281705189561787,
funding|intrabar|lag8,3.0,0.042222087552157,0.0098815519357935,-0.0676071575343354,-0.0153585071559274,-0.0438293714818394,-0.0014014826500104,2.02867113017246,0.0,0.0,0.0586153359877033,0.0330400070521179,0.0352224772987255,0.0117572730209587,0.0046904969443419,
funding|intrabar|lag8,5.0,0.018352054508403,0.0394950760897701,-0.071618486595032,-0.0170376487206262,-0.0341015788282441,-0.0089836514835097,1.320901517510408,0.0,0.0,0.0096125006199776,-0.0004861300291084,0.0465353244742492,-0.0024017085689059,0.0691709638048891,
funding|intrabar|lag8,10.0,-0.0138247025181682,0.024851236724078,-0.2525044681773088,-0.1219888659986901,-0.0996227117310734,-0.0374338772527148,0.4692635960132434,0.0,0.0,-0.1097731711832099,0.007055317727338,0.0698073921902895,0.002601072145089,0.0390058541262596,
funding|intrabar|lag8,15.0,-0.1340484461945141,0.0353307387254386,-0.3683738351503818,-0.1781234040603968,-0.1265982339585929,-0.0395446429399037,0.5176349571644157,0.0,0.0,-0.2149526387584917,-0.0544489193397469,-0.1252752660692815,0.0039166082176327,0.0553663581431833,
