mod,L,start,strategy,k_dl,risk_mode,H,th_in,th_out,K,universe,balance,R,delta,cagr,maxdd,worst_day,sharpe,liq,cuts,entries,funding,costs,y2022,y2023,y2024,y2025,y2026,period
exAXS,10.0,2025-01-01,,12.0,,720.0,0.05,0.0125,6,all,True,4,0.5,-0.015387113427170251,-0.09302040904858044,-0.02362086265835539,-0.5973680247215435,0,2,8,0.015982114404602822,0.05216418868693232,,,,0.0026485939435350048,-0.028056682786194886,OOS
lag8,10.0,2022-01-01,,12.0,,720.0,0.05,0.0125,6,all,True,4,0.5,-0.013824702518168253,-0.25250446817730887,-0.0996227117310734,-0.1657514760405331,0,3,63,0.3046126806692322,0.25824685133545705,-0.10977317118320995,0.0070553177273380285,0.06980739219028953,,,IS
lag8,10.0,2025-01-01,,12.0,,720.0,0.05,0.0125,6,all,True,4,0.5,0.024851236724078074,-0.12198886599869019,-0.03743387725271485,0.46926359601324347,0,3,12,0.15776687375288156,0.12341559159914457,,,,0.0026010721450890895,0.039005854126259676,OOS
lag24,10.0,2022-01-01,,12.0,,720.0,0.05,0.0125,6,all,True,4,0.5,-0.02618932612570024,-0.2326051863450589,-0.10118537032311614,-0.3592684864142871,0,3,69,0.28705706368975115,0.27171386161665884,-0.12285119911790254,-0.012036624588297129,0.06562453756656228,,,IS
lag24,10.0,2025-01-01,,12.0,,720.0,0.05,0.0125,6,all,True,4,0.5,0.023961646224930355,-0.12349164949004876,-0.03750246198346674,0.45873886568835875,0,3,12,0.15875746239657113,0.12203156863226913,,,,0.0008742628494460281,0.039295019104478746,OOS
exAXS+lag8,10.0,2022-01-01,,12.0,,720.0,0.05,0.0125,6,all,True,4,0.5,0.009689388863362902,-0.19167657633079038,-0.09596289658344104,0.17486450164967537,0,1,57,0.29223629249072836,0.213135115033566,-0.06227110033389038,-0.0071118184777863025,0.10557356477255353,,,IS
exAXS+lag8,10.0,2025-01-01,,12.0,,720.0,0.05,0.0125,6,all,True,4,0.5,-0.016590771467783427,-0.09291814275983334,-0.023988019495566393,-0.6400742182940673,0,2,8,0.013537758928454638,0.05231899515209512,,,,0.0026010721450890895,-0.02998774772568913,OOS
base,10.0,2022-01-01,,12.0,hourly,720.0,0.05,0.0125,6,all,True,4,0.5,-0.11812312829598381,-0.34454425373221187,-0.1717173477379721,-0.7517872190638584,4,0,76,0.24792569257299296,0.21264502281587644,-0.19151899790474447,0.009610140537194667,-0.15981403932289107,,,IS
base,10.0,2025-01-01,,12.0,hourly,720.0,0.05,0.0125,6,all,True,4,0.5,-0.06696948900958188,-0.2522304466711265,-0.12995910582858905,-0.4541707355458471,2,0,20,0.16214096070845654,0.0626865658941632,,,,0.0026485939435350048,-0.11133213958724564,OOS
exAXS,10.0,2022-01-01,,12.0,hourly,720.0,0.05,0.0125,6,all,True,4,0.5,-0.03461680914598109,-0.2084215681320576,-0.1745419142814928,-0.26894535889855814,2,0,68,0.2870458763951204,0.21415934062078018,-0.016837864511026868,-0.002397633276132516,-0.08270378790438426,,,IS
exAXS,10.0,2025-01-01,,12.0,hourly,720.0,0.05,0.0125,6,all,True,4,0.5,-0.05425382409816848,-0.15182858622804685,-0.09302816205263431,-0.7125965398120945,1,0,10,0.01590052698674478,0.030187205826129056,,,,0.0026485939435350048,-0.09108071883925395,OOS
base,15.0,2022-01-01,,2.0,,720.0,0.05,0.0125,6,all,True,4,0.5,-0.11156850681806973,-0.3337876037749513,-0.12228063969224778,-1.1948039906497427,0,23,62,0.33853195686206455,0.5160971438215768,-0.2142785886521933,-0.03163011884104472,-0.07840836009707552,,,IS
base,15.0,2025-01-01,,2.0,,720.0,0.05,0.0125,6,all,True,4,0.5,0.038699070335000973,-0.17760644752331645,-0.038371429472727425,0.5114029601043086,0,7,12,0.2533016856131282,0.18349775620473954,,,,0.003972890915302951,0.06102852577493745,OOS
exAXS,15.0,2022-01-01,,2.0,,720.0,0.05,0.0125,6,all,True,4,0.5,-0.030934959534884454,-0.20416123922424112,-0.026485126652334046,-0.48946769964528114,0,14,56,0.40388362914867526,0.4850628297558426,-0.03763465185911785,-0.03338982699994264,-0.021724420391846744,,,IS
exAXS,15.0,2025-01-01,,2.0,,720.0,0.05,0.0125,6,all,True,4,0.5,-0.023561527928242954,-0.13777062440213594,-0.024972127714875003,-0.6614837015932394,0,7,8,0.025957738390720082,0.07992442075534106,,,,0.003972890915302951,-0.04271611768913486,OOS
lag8,15.0,2022-01-01,,2.0,,720.0,0.05,0.0125,6,all,True,4,0.5,-0.13404844619451417,-0.3683738351503818,-0.12659823395859293,-1.4923253251326924,0,26,63,0.3208981527894251,0.5575780477479901,-0.2149526387584917,-0.05444891933974694,-0.12527526606928152,,,IS
lag8,15.0,2025-01-01,,2.0,,720.0,0.05,0.0125,6,all,True,4,0.5,0.03533073872543868,-0.17812340406039684,-0.039544642939903785,0.5176349571644157,0,8,12,0.23946861906887748,0.18791911760104402,,,,0.003916608217632733,0.05536635814318336,OOS
lag24,15.0,2022-01-01,,2.0,,720.0,0.05,0.0125,6,all,True,4,0.5,-0.138510469562528,-0.38344469962532424,-0.12586116839612393,-1.5480742245009789,0,27,69,0.3213670080267959,0.5805875921096741,-0.21318912710140114,-0.05148003916728394,-0.1433495779646451,,,IS
lag24,15.0,2025-01-01,,2.0,,720.0,0.05,0.0125,6,all,True,4,0.5,0.019019155051381853,-0.19943352384572555,-0.03838836078295993,0.2951859260594951,0,8,12,0.24038095276196364,0.20324700076044516,,,,0.0013563942741690038,0.030461499056515295,OOS
exAXS+lag8,15.0,2022-01-01,,2.0,,720.0,0.05,0.0125,6,all,True,4,0.5,-0.079205532132686,-0.2889087699818963,-0.14392716242734305,-0.7204058134369413,0,16,57,0.3282600093526878,0.4734630605874806,-0.15381324901504934,-0.03815194388362908,-0.04082233873721797,,,IS
exAXS+lag8,15.0,2025-01-01,,2.0,,720.0,0.05,0.0125,6,all,True,4,0.5,-0.025039927530219552,-0.13720788780196025,-0.02537526398567902,-0.7017054065125576,0,7,8,0.02229569938023764,0.07993171962432755,,,,0.003916608217632733,-0.0450740579571709,OOS
base,15.0,2022-01-01,,2.0,hourly,720.0,0.05,0.0125,6,all,True,4,0.5,-0.26121363400356135,-0.5985244748329066,-0.18222736929725125,-1.3506965017067463,5,0,82,0.2864730561978351,0.3976353218962646,-0.23976740413912934,-0.021075772037231877,-0.4582473475592531,,,IS
base,15.0,2025-01-01,,2.0,hourly,720.0,0.05,0.0125,6,all,True,4,0.5,-0.03377001725730966,-0.2708638625231986,-0.18356297678798206,-0.1258774647533166,1,0,16,0.2462700900004288,0.10197649598195514,,,,0.003972890915302951,-0.05931800595877168,OOS
exAXS,15.0,2022-01-01,,2.0,hourly,720.0,0.05,0.0125,6,all,True,4,0.5,-0.17139987840860071,-0.4846442820996304,-0.1822153081870843,-1.0007079324869916,3,0,74,0.3532583654783526,0.44482980292117635,-0.03418830575029186,-0.03091782057946002,-0.39222246298395436,,,IS
exAXS,15.0,2025-01-01,,2.0,hourly,720.0,0.05,0.0125,6,all,True,4,0.5,-0.07809941847514246,-0.2164261521887686,-0.13191412587188955,-0.7130907199502754,1,0,10,0.023741283939663526,0.04501043020039614,,,,0.003972890915302951,-0.13005724322149248,OOS
base,20.0,2022-01-01,,2.0,,720.0,0.05,0.0125,6,all,True,4,0.5,-0.24813294072568393,-0.5870783679772726,-0.13095300189975778,-2.1275558932400833,0,41,62,0.35888615554915043,0.7960404645501593,-0.287313042512386,-0.11520177792649411,-0.3260563370752799,,,IS
base,20.0,2025-01-01,,2.0,,720.0,0.05,0.0125,6,all,True,4,0.5,-0.01321693678990421,-0.2776383349506327,-0.05131380464151025,-0.09029207308550032,0,12,12,0.2868469782754531,0.31230185408386746,,,,0.005167187887070268,-0.026932339066356503,OOS
exAXS,20.0,2022-01-01,,2.0,,720.0,0.05,0.0125,6,all,True,4,0.5,-0.18293158356198735,-0.5012298900987286,-0.07950740662569633,-1.697837346584146,0,33,56,0.3616561784326258,0.7990713487532652,-0.18635188234340272,-0.07298253494436424,-0.27687948052539246,,,IS
exAXS,20.0,2025-01-01,,2.0,,720.0,0.05,0.0125,6,all,True,4,0.5,-0.03392422607982437,-0.18393566376392934,-0.02516531031301461,-0.8187352049694885,0,7,8,0.03289468482837363,0.10733657175151491,,,,0.005167187887070268,-0.060685284927590954,OOS
lag8,20.0,2022-01-01,,2.0,,720.0,0.05,0.0125,6,all,True,4,0.5,-0.2666118869428691,-0.6171202725287466,-0.12967183550451322,-2.380296503256971,0,40,63,0.3297198661896619,0.833068979908496,-0.30661043831285906,-0.12413644681806957,-0.3505789139763934,,,IS
lag8,20.0,2025-01-01,,2.0,,720.0,0.05,0.0125,6,all,True,4,0.5,-0.01809440677021401,-0.26831921096130507,-0.05133453218243522,-0.15994678980274277,0,11,12,0.24446947278042527,0.2924955838382145,,,,0.005092144290177458,-0.03485337899018648,OOS
lag24,20.0,2022-01-01,,2.0,,720.0,0.05,0.0125,6,all,True,4,0.5,-0.2577686160373166,-0.6003326253756183,-0.1331870491016317,-2.3070870578924185,0,43,69,0.3397560027958399,0.8272545457701976,-0.2855198259477003,-0.10648418104493673,-0.359577724520432,,,IS
lag24,20.0,2025-01-01,,2.0,,720.0,0.05,0.0125,6,all,True,4,0.5,-0.030558401137889546,-0.2851359503740589,-0.05134710043364332,-0.2964669059672459,0,12,12,0.25066511006096187,0.30614973625999087,,,,0.001668525698891754,-0.051931464866679544,OOS
exAXS+lag8,20.0,2022-01-01,,2.0,,720.0,0.05,0.0125,6,all,True,4,0.5,-0.24354443703976325,-0.6051636719731441,-0.23239103508226455,-1.5568881183089063,0,35,57,0.26911716707161565,0.7165963252676162,-0.31981556030902925,-0.12045915462130696,-0.2765438110392868,,,IS
exAXS+lag8,20.0,2025-01-01,,2.0,,720.0,0.05,0.0125,6,all,True,4,0.5,-0.036006695326660676,-0.18335389594970153,-0.02537337560386055,-0.8720311222165639,0,7,8,0.027970844690992317,0.10731817051369427,,,,0.005092144290177458,-0.06398347022339801,OOS
base,20.0,2022-01-01,,2.0,hourly,720.0,0.05,0.0125,6,all,True,4,0.5,-0.6696348426632213,-0.9649707446498754,-0.3304209630531627,-2.333059019861998,15,0,130,0.23584527811110398,0.500168368492625,-0.36494360616800514,-0.28996297697216,-0.9200773454966039,,,IS
base,20.0,2025-01-01,,2.0,hourly,720.0,0.05,0.0125,6,all,True,4,0.5,-0.32482013920113195,-0.6008934676471669,-0.2498288878539403,-1.1578253032910337,5,0,30,0.29127923683013596,0.17153231670021069,,,,0.005167187887070268,-0.48261827525290246,OOS
exAXS,20.0,2022-01-01,,2.0,hourly,720.0,0.05,0.0125,6,all,True,4,0.5,-0.6093747628194115,-0.9435524243443754,-0.33118348803617725,-2.0789375166260804,13,0,119,0.18734077083910328,0.48346430911303173,-0.30456004920309543,-0.09992504715112238,-0.9048176840457204,,,IS
