mod,L,start,strategy,k_dl,risk_mode,H,th_in,th_out,K,universe,balance,R,delta,cagr,maxdd,worst_day,sharpe,liq,cuts,entries,funding,costs,y2022,y2023,y2024,y2025,y2026,period
base,10.0,2025-01-01,spread,12.0,,,,,1,majors,,1,,0.016141774615679783,-0.03226752800351984,-0.008000000000000118,0.5841655400859255,0,0,1,0.00834163801138252,0.016248903330625508,,,,0.027013685127549314,0.0,OOS
spr_delay1,10.0,2022-01-01,spread,12.0,,,,,1,majors,,1,,0.2094625741974987,-0.283134994421016,-0.019907476262609913,1.0800961039511319,1,40,16,-0.021254560488820094,0.8564577777471498,0.7960883879684755,-0.014884185422565421,0.0,,,IS
spr_delay1,10.0,2025-01-01,spread,12.0,,,,,1,majors,,1,,-0.01067121509953195,-0.020753801307806907,-0.017700380524698134,-0.7748089747598571,0,0,1,0.0,0.016114708894666353,,,,-0.017700380524698134,0.0,OOS
base,15.0,2022-01-01,spread,12.0,,,,,1,majors,,4,,0.2122646605867735,-0.3073208660164224,-0.08397440224571795,0.9449238168442607,0,47,16,-0.22615050604546458,1.4005914881897614,0.7312269892275993,0.02914477561830986,0.0,,,IS
base,15.0,2025-01-01,spread,12.0,,,,,1,majors,,4,,-0.007080194552564922,-0.012000000000000344,-0.012000000000000344,-0.7588126393980378,0,1,1,0.0010427047514228144,0.03331745910163707,,,,-0.011758034869006062,0.0,OOS
spr_delay1,15.0,2022-01-01,spread,12.0,,,,,1,majors,,4,,0.08095960697179905,-0.2912562131964821,-0.0597761265243234,0.5726551220316181,1,38,16,-0.0026244302258992633,0.7851982825230335,0.2919624306181219,-0.022326278133848243,0.0,,,IS
spr_delay1,15.0,2025-01-01,spread,12.0,,,,,1,majors,,4,,-0.016032559962025905,-0.031130701961710305,-0.026545570787047,-0.7748089747598572,0,0,1,0.0,0.02417206334199953,,,,-0.026545570787047,0.0,OOS
base,20.0,2022-01-01,spread,2.0,,,,,1,majors,,4,,0.12506798123392615,-0.3650803592738512,-0.15126704379338518,0.5590654211589726,0,152,15,-0.26348038530540885,1.3190042733737077,0.3708904563661932,0.03885970082441159,0.0,,,IS
base,20.0,2025-01-01,spread,2.0,,,,,1,majors,,4,,-0.006182214298865785,-0.016000000000000236,-0.016000000000000236,-0.46284744535565836,0,2,1,0.004170819005691243,0.04179776700107528,,,,-0.01026984012212051,0.0,OOS
spr_delay1,20.0,2022-01-01,spread,2.0,,,,,1,majors,,4,,0.04952486307220849,-0.3609570143653633,-0.11336694708224304,0.2968687822716176,0,144,15,-0.050095791368154875,1.2878770576626848,0.1915502076365021,-0.029768370845132286,0.0,,,IS
spr_delay1,20.0,2025-01-01,spread,2.0,,,,,1,majors,,4,,-0.023892934774932817,-0.0415076026156137,-0.0394558630940941,-0.7748089747598572,0,1,1,0.0,0.03844602388285302,,,,-0.0394558630940941,0.0,OOS
