sym,t,mb,fund_bp,n_pre60s,vwap_pre_10s,first_after,first_after_ms,n_0_250,mv_0_250,usd_0_250,n_250_1000,mv_250_1000,usd_250_1000,n_1000_3000,mv_1000_3000,usd_1000_3000,n_3000_10000,mv_3000_10000,usd_3000_10000,n_10000_30000,mv_10000_30000,usd_10000_30000,n_30000_60000,mv_30000_60000,usd_30000_60000,mv_first
AIOUSDT,1757433600000,9.918827,27.550500000000003,1279,0.11543506819151265,0.1155,20,10,-5.960732981151736,1115.75497,15,0.7757779460287182,1859.8826800000002,80,-27.08285326704107,10269.628100000002,132,-39.3872686119838,25763.924670000004,419,-148.18937886719718,50022.10174,264,-232.5348747665897,35500.25514,5.196154962327853
AVNTUSDT,1760140800000,6.478993,52.5646,0,,0.5521,8,4,,1917.2775000000001,1,,214.728,35,,19383.569800000005,187,,94650.0126,252,,86023.70929999999,470,,242600.72079999998,
OPENUSDT,1761076800000,5.541589,40.0574,62,0.3972286889818689,0.3971,50,12,-8.84425720942034,7476.2357,1,-15.11716085321856,1772.0088,80,-61.046751942583306,96207.7323,56,-66.8258759135861,28205.124799999998,28,-80.54826011784488,15147.848,79,-86.89863504053265,143600.76490000004,-2.517940338117541
APTUSDT,1762502400000,15.336093,52.6871,825,3.16812139005494,3.17,52,214,-20.235476080174383,232377.15509000001,76,-50.82633604413571,68581.28258999999,385,-69.84163692401057,245784.76741,1059,-90.2602374982064,506389.53252,1768,-137.2383774532932,933388.8107,1122,-202.70577621793947,623046.21478,0.3154623890214676
SOONUSDT,1762671600000,18.053058,17.4348,763,1.9987296170789561,1.9967,73,8,-1.2154266731750942,285.4791,23,-3.7318656312702454,1149.6125,27,-2.5916976526855677,2387.3148,248,5.514966550322751,35123.5864,499,-34.70566171254432,35929.6898,413,-56.01123194553763,29704.2884,0.500838905270422
SPELLUSDT,1762934400000,1.939186,102.2523,226,0.00033463540237275725,0.0003346,17,57,-14.379632084009003,32767.536427600004,36,-42.85562221295493,37454.3583234,156,-52.84414149055863,73887.4428493,122,-32.80081104789732,60790.185714399995,197,-2.579976731465851,98131.03417629999,161,18.27513779320924,43189.9530517,2.9890898444056133
HFTUSDT,1763740800000,20.51386,122.891,1845,0.055999854193402636,0.05611,9,104,-44.68589273369481,66804.05732999998,40,-88.52361020646316,46738.73998,459,-119.54721825137358,114973.73056,367,-100.19371259378232,97168.01616,737,-66.94660481303912,135351.36716999998,820,-156.03391373593863,268677.20313000004,-1.7820547137956824
MONUSDT,1764000000000,12.501905,56.5996,2115,0.025320594282604997,0.02518,2,46,6.439861636992355,33364.858179999996,80,4.492583329153976,25680.706120000003,152,-10.086597643330297,165845.94941,415,-20.85618360887976,611137.50493,1808,-124.44152251805467,1010078.2658800001,1857,-250.48442471713264,1421558.9276299998,3.9721946897664395
SQDUSDT,1764403200000,5.162105,7.0189,190,0.06363237531121242,0.06367,10,6,3.5753994379061194,2207.3647600000004,0,,0.0,18,-3.1595767565727537,2116.4364699999996,77,-24.132335266041494,16966.15223,103,-39.28313385088451,20963.662519999998,65,-30.4606733439708,7208.23695,-1.5704750719349851
TRUTHUSDT,1765339200000,48.191179,18.8963,2734,0.012963347296640396,0.012959,11,37,4.7361804269976435,4089.1485959999995,11,2.8269083576561864,924.918393,240,-12.72085832185371,28959.383917,615,8.350408740576476,115641.365294,1079,-64.12531102208123,125774.738277,1470,-19.335941126231916,170191.466213,0.7716942551181821
PIPPINUSDT,1765900800000,100.342234,173.6493,14994,0.31061869431739375,0.31023,2,975,-54.94293410521015,327305.84484000003,119,-108.26869389719657,110621.78187,2830,-149.74690088890821,864698.6129099999,4254,-147.31138639355592,782182.7486,8492,-106.7292222935842,1587536.59801,12007,-194.416149999648,1964770.2201899998,1.2894490846657505
CVXUSDT,1767484800000,3.701026,179.6066,0,,2.335,3,216,,237647.9401,46,,79795.3859,660,,572032.0305,2089,,1626886.8632,1522,,782494.1085999999,1148,,815583.8281,
TANSSIUSDT,1768680000000,8.267373,86.3852,374,0.012385502978931626,0.01239,55,124,-25.627935228378835,27503.539310000004,6,-29.24872057361899,1697.67126,106,-108.61967934624757,76813.50243,88,-88.58618515490421,26983.678379999998,133,-38.36585607650286,39522.64554,202,-138.90204229836777,86803.53600999998,-8.067769699400342
FRAXUSDT,1769544000000,4.144414,26.368899999999996,220,0.7876133819951338,0.7877,41,21,0.9853886798186716,2147.4818,1,3.8078314860033755,9.456,151,-49.8284064285883,50819.037500000006,59,-33.27544627976507,13062.2151,66,-12.339729658960978,8164.669399999999,89,-2.5836894513404096,5729.824600000001,0.0
COMPUSDT,1771084800000,1.949851,44.931,97,20.20154706652386,20.2,3,22,-16.646595643820685,25386.575800000002,7,-28.720049504578757,22990.278100000003,19,-33.793433923560514,37256.106850000004,52,-20.51495369476967,61873.987310000004,73,11.505368049783845,66220.49991,46,8.813130952358348,43494.41371,0.0
INJUSDT,1771516800000,4.473744,118.3133,362,3.180817560727018,3.181,4,299,-25.580022304755275,314835.2917,16,-51.13590868210136,32582.4223,182,-87.22399881568623,284068.32420000003,736,-101.98967643720094,818702.703,953,-85.3231817140156,807465.1898,757,-167.58745453730884,793381.3047,-3.1431714858804183
ACXUSDT,1773244800000,14.150975,168.8123,6252,0.05928691658812584,0.05907,1,425,15.947635467046496,123622.319051,117,-38.652202481442835,62401.18925700001,161,-77.12687663769177,100356.434257,1595,-165.0782280927846,661546.721703,1895,-157.09684683704063,617945.4223689999,2133,-235.00107079922122,646943.050728,10.162602500663716
TAOUSDT,1773590400000,16.309503,30.490399999999998,880,275.17566035142335,275.14,3,231,-19.4731000442094,325819.65411999996,99,-33.67548326763154,183211.07857999997,77,-21.317499079630547,32578.949300000004,664,-42.863300453372894,439356.75246,643,-45.688021437512376,348551.25526,747,-48.873354299225355,362359.0306,-0.3634447291822116
OLUSDT,1774684800000,0.504852,19.8601,18,0.012699380305602716,0.01271,107,1,15.74803475066391,177.52057000000002,3,0.16213913178728556,307.76287,2,16.203030892753887,10.54978,19,0.41370341609079697,6413.66443,7,1.1572850652058595,395.08542,52,-13.751295139877927,5399.791169999999,15.74803475066391
ILVUSDT,1774987200000,0.492481,38.0241,65,3.882581228646078,3.883,22,79,45.129772666630956,13646.4813,19,16.565375942741063,5002.880999999999,22,7.257827689117806,3531.6764999999996,79,-0.4099580239352483,18260.0318,58,-20.271181171908108,8254.442000000001,25,-26.39358239027299,2415.2765000000004,10.30662291700147
THETAUSDT,1775289600000,1.085174,65.8847,261,0.1684620749878452,0.1684,69,20,-12.051782026390955,12971.88718,19,-29.85919753116938,10175.16808,17,-51.14608467830978,11629.19808,124,-66.02059929721223,82187.20258,114,-83.86623674177523,55328.786570000004,61,-76.98430607196039,29390.66948,0.0
REDUSDT,1775548800000,13.096855,159.0792,2192,0.22170287118445225,0.2223,1,169,-22.21896423400097,183043.6081,61,-78.7681207612513,64575.94070000001,181,-55.01727595880454,103819.9078,1333,-101.22687654509055,1070665.0077,1409,-101.03667653000035,1075607.7771,2125,-42.044863367312736,1769813.6549999998,4.499437646212345
IRYSUSDT,1778896800000,4.313033,16.9769,334,0.055075264968134904,0.05507,51,60,-28.7079643273338,29292.876790000002,45,-52.23202053497564,7393.74741,43,-57.99434451091383,12536.517029999999,170,-41.285676865722955,51109.49933,213,-27.83011875520965,56005.07710000001,339,-4.3630957699174076,41423.58444,0.0
IDUSDT,1780081200000,7.546501,20.8451,201,0.03553035690428122,0.03553,23,34,-20.851982222794618,35944.15693,14,-40.86577765742254,2416.95163,31,-52.73749265779411,25601.8407,43,-54.861278759230515,14428.9753,100,-65.41442256905692,43729.89991000001,104,-55.740835384558856,62857.46297000001,-2.8141269356960716
GUAUSDT,1780977600000,4.283183,22.561700000000002,105,0.729898633646456,0.7298,243,1,-5.479452191891604,39.4092,1,0.0,91.27499999999999,33,-15.070355357638043,3166.4829999999997,117,-71.60754159539061,14870.992699999999,42,-94.15713360364929,3730.3516000000004,44,-110.21506338598677,6529.3766,-5.479452191891604
EPICUSDT,1783522800000,2.691957,17.1841,79,0.3183999664316885,0.3184,1,6,-6.797452449269698,735.48149,4,-4.901402277534522,79.52917,2,-3.14119682180801,49.177350000000004,13,-9.027246211563885,1060.11058,33,-8.596204631095107,1493.41264,40,-13.79038588197374,9494.41732,0.0
VANRYUSDT,1784692800000,1.439474,22.0674,55,0.004681108544283204,0.004682,69,6,8.858502927697918,1572.571406,28,-7.151710437366417,8522.828140000001,4,-4.248359369285216,430.95719499999996,6,-3.167396802957399,132.696803,17,8.865994133749297,4119.537601,33,12.328296310922727,1910.966084,4.272591391636519
AKEUSDT,1784937600000,42.414421,27.6574,0,,0.002719,160,8,,128.0892334,76,,8969.0563734,32,,2490.2284969,561,,69897.52581240001,922,,63116.4827027,525,,41815.34342040001,
DODOXUSDT,1786176000000,6.129838,27.650299999999998,552,0.023670232412230808,0.023592,4,50,4.458391653846023,3241.7837039999995,101,-1.6344383242021125,5988.295770000001,84,9.157432997298505,8655.345903,336,-92.07236759332925,29433.369397,478,-140.8519497195339,48740.63613900001,633,-191.06587555639325,71703.845761,-13.554729286464815
TUTUSDT,1788004800000,7.137123,86.8523,2784,0.03368663825670855,0.03357,1,415,7.80625843787242,32028.77083,404,-25.644853580194013,48421.74612,79,-54.41309564750042,18766.49663,309,-28.129293195261507,76259.39673000001,929,35.570413864475135,166064.34941,1230,6.509206375992579,329662.75937,-11.908307450706976
