book,listing,book_intraday,L,sharpe,cagr,y2025,y2026,dd_daily,dd_intrabar,worst_intraday_loss,listing_liq,half_kelly_oos
dsr_excess,grid_short_median_1.11,stress,1.0,1.0902907277793552,0.13077382731162634,0.20129813977016098,0.02155094570409699,0.09176079822399075,0.10360010747541948,-0.06104466419549015,False,4.570918997444435
dsr_excess,grid_short_median_1.11,stress,2.0,1.0853077273028395,0.2590135383567971,0.4143134541879483,0.03772029122507092,0.1774671611276788,0.19891133713290443,-0.12143867756756888,False,4.549930182913193
dsr_excess,grid_short_median_1.11,stress,2.5,1.0832455071934532,0.3209946019153831,0.5233151862054024,0.04376217564458762,0.21810500156465384,0.2453875663908528,-0.15139578270692733,False,4.540517065633427
dsr_excess,grid_short_median_1.11,stress,3.0,1.0814688134209571,0.3809037996203999,0.6328087729026675,0.04843709736735602,0.25729722288347967,0.2923853030014404,-0.18119509229908792,False,4.531813762286493
dsr_excess,grid_short_median_1.11,stress,3.5,1.0799779940408356,0.4382593481828041,0.7418346406095913,0.051746177425161966,0.2950683562528058,0.3383519717856045,-0.2108381836875033,False,4.523811969002625
dsr_excess,grid_short_median_1.11,stress,4.0,1.0787740534027208,0.49258898105108484,0.849382990077121,0.053694411976212164,0.33144371543584683,0.3831666559388194,-0.2403266132275117,False,4.516503133984085
dsr_excess,grid_short_median_1.11,stress,5.0,1.07774468299198,0.5907770448816265,1.0567306372534455,0.05354718302255046,0.4001118984886254,0.46841734807004676,-0.2988456093238855,False,4.506940235859227
dsr_excess,grid_short_median_1.11,stress,6.0,1.0785974160864795,0.6727418014751314,1.2478683547703548,0.04810935789681636,0.4635175393016998,0.5469075681438857,-0.35676412471954455,False,4.504419843648412
haircut50_0.68,half_0.70,close,1.0,1.0069390355380186,0.11929462591013085,0.1982435355478649,0.006895125033730132,0.08801320174531202,0.10304420229004185,-0.05285511546947008,False,4.231989131797789
haircut50_0.68,half_0.70,close,2.0,1.001967782524385,0.2336553452777197,0.4072153241855363,0.008198166978443444,0.1706687861111812,0.20348354384638434,-0.10505958011552874,False,4.211098700291449
haircut50_0.68,half_0.70,close,2.5,0.9999271143085181,0.28786232846651383,0.5138117565268638,0.00680073006837234,0.21002059163232978,0.252331955912229,-0.1309219108918771,False,4.201862905833436
haircut50_0.68,half_0.70,close,3.0,0.9981826424277072,0.3394936372254411,0.6206443361959748,0.004070286088372788,0.24807498328725341,0.300081090972525,-0.1566264461210276,False,4.193424045653952
haircut50_0.68,half_0.70,close,3.5,0.9967349322242813,0.3881176837095599,0.7267581587979031,3.58252831311745e-05,0.2848481997191413,0.3466081585481281,-0.182174763146433,False,4.18577548658583
haircut50_0.68,half_0.70,close,4.0,0.9955852508497129,0.43332051955617357,0.8311520581785636,-0.005270475358853832,0.3203574564845614,0.3918032303679081,-0.20756841832343131,False,4.178910680618978
haircut50_0.68,half_0.70,close,5.0,0.9946894684405571,0.5123232832199376,1.0315171680113706,-0.019555138095156188,0.3876574999207938,0.4773289261860273,-0.25789786569378503,False,4.170441439304298
haircut50_0.68,half_0.70,close,6.0,0.9957072166751323,0.5743414042565567,1.214906615144404,-0.03847013870387139,0.4529827922940084,0.5555406296663421,-0.3076268323634239,False,4.169271850314328
haircut50_0.68,half_0.70,stress,1.0,1.0069390355380186,0.11929462591013085,0.1982435355478649,0.006895125033730132,0.08801320174531202,0.10747694538442587,-0.06181260472076833,False,4.231989131797789
haircut50_0.68,half_0.70,stress,2.0,1.001967782524385,0.2336553452777197,0.4072153241855363,0.008198166978443444,0.1706687861111812,0.21161450954603278,-0.12297455861812523,False,4.211098700291449
haircut50_0.68,half_0.70,stress,2.5,0.9999271143085181,0.28786232846651383,0.5138117565268638,0.00680073006837234,0.21002059163232978,0.2620396982661347,-0.15331563402012272,False,4.201862905833436
haircut50_0.68,half_0.70,stress,3.0,0.9981826424277072,0.3394936372254411,0.6206443361959748,0.004070286088372788,0.24807498328725341,0.3111879838149917,-0.18349891387492256,False,4.193424045653952
haircut50_0.68,half_0.70,stress,3.5,0.9967349322242813,0.3881176837095599,0.7267581587979031,3.58252831311745e-05,0.2848481997191413,0.35894078501487514,-0.21352597552597696,False,4.18577548658583
haircut50_0.68,half_0.70,stress,4.0,0.9955852508497129,0.43332051955617357,0.8311520581785636,-0.005270475358853832,0.3203574564845614,0.4051932797816973,-0.2433983753286244,False,4.178910680618978
haircut50_0.68,half_0.70,stress,5.0,0.9946894684405571,0.5123232832199376,1.0315171680113706,-0.019555138095156188,0.3876574999207938,0.4923647442569947,-0.30268531195027637,False,4.170441439304298
haircut50_0.68,half_0.70,stress,6.0,0.9957072166751323,0.5743414042565567,1.214906615144404,-0.03847013870387139,0.4529827922940084,0.5716607628226276,-0.3613717678712136,False,4.169271850314328
zero,as_is_1.40,close,1.0,1.2292270839714465,0.15003346102664805,0.2210434225463116,0.03370728236247911,0.09222360202224622,0.10144939493209071,-0.05110738104144008,False,5.140874420232201
zero,as_is_1.40,close,2.0,1.22423212866099,0.3021801943623095,0.4610746851910794,0.06253033378010797,0.17829621739378332,0.19499827959422988,-0.10156411125946851,False,5.119786215861438
zero,as_is_1.40,close,2.5,1.222139757526619,0.37779929390714884,0.5864626248485785,0.07502766555683649,0.21908451741426238,0.2389257595375346,-0.12655257482180193,False,5.1101247496985565
zero,as_is_1.40,close,3.0,1.2203164445072783,0.4524052217886565,0.7142873031272869,0.08621226452708797,0.25840722920157877,0.28101780161367984,-0.1513832428369375,False,5.101037868629694
zero,as_is_1.40,close,3.5,1.218762188023838,0.5254468056890256,0.8435689906550994,0.09606143983117077,0.29629018914648353,0.3213216655024249,-0.17605769264832782,False,5.0925145368395
zero,as_is_1.40,close,4.0,1.2174775705163086,0.5963657069072847,0.9732431056785036,0.10455635762011051,0.33275997431001625,0.35988479628991554,-0.2005774806113111,False,5.084542932583688
zero,as_is_1.40,close,5.0,1.2162540053211313,0.7300504473549367,1.230118055747078,0.1174274935613373,0.4015696475887397,0.4319790882539227,-0.2491591935536348,False,5.07338523255986
zero,as_is_1.40,close,6.0,1.2168725265570393,0.8498193249736452,1.4769345882766403,0.12475265982028527,0.4650612642153623,0.5041040509635668,-0.2971404257952436,False,5.068942958679969
zero,as_is_1.40,stress,1.0,1.2292270839714465,0.15003346102664805,0.2210434225463116,0.03370728236247911,0.09222360202224622,0.1039136466258731,-0.060371055200461377,False,5.140874420232201
zero,as_is_1.40,stress,2.0,1.22423212866099,0.3021801943623095,0.4610746851910794,0.06253033378010797,0.17829621739378332,0.19945947718118118,-0.12009145957751133,False,5.119786215861438
zero,as_is_1.40,stress,2.5,1.222139757526619,0.37779929390714884,0.5864626248485785,0.07502766555683649,0.21908451741426238,0.24422544651152345,-0.1497117602193554,False,5.1101247496985565
zero,as_is_1.40,stress,3.0,1.2203164445072783,0.4524052217886565,0.7142873031272869,0.08621226452708797,0.25840722920157877,0.2870571894374033,-0.1791742653140016,False,5.101037868629694
zero,as_is_1.40,stress,3.5,1.218762188023838,0.5254468056890256,0.8435689906550994,0.09606143983117077,0.29629018914648353,0.32800768789754964,-0.20848055220490258,False,5.0925145368395
zero,as_is_1.40,stress,4.0,1.2174775705163086,0.5963657069072847,0.9732431056785036,0.10455635762011051,0.33275997431001625,0.3671299609235362,-0.2376321772473965,False,5.084542932583688
zero,as_is_1.40,stress,5.0,1.2162540053211313,0.7300504473549367,1.230118055747078,0.1174274935613373,0.4015696475887397,0.4449005842625323,-0.2954775643487415,False,5.07338523255986
zero,as_is_1.40,stress,6.0,1.2168725265570393,0.8498193249736452,1.4769345882766403,0.12475265982028527,0.4650612642153623,0.5224452311842744,-0.3528029158570323,False,5.068942958679969
as_is,zero,close,1.0,1.0463299684355825,0.12435251712470285,0.23278356171404657,-0.013938112471256536,0.08371337349208063,0.11236328440338683,-0.05437321943204809,False,4.404414039119325
