method,hedge,Wf,K,Wz,zin,zout,zstop,exec,liq,margin,lev,period,cagr,final,sharpe,worst_day,maxdd_intrabar,trades,liqs,stops,timeouts,forced,fees,funding,exposure,avg_gross_lev,legged,maker_miss,wbars,fbbars,nan_flag,per_year
coint,ret,60,10,72,3.0,0.5,4.5,maker,h1,cross,1,IS,0.06363299968285618,1.203354945432834,0.7411878727465198,-0.033364725067945744,0.21773274659679231,651,0,61,29,15,0.06064641967567798,-0.004682363169522082,0.49813716545012166,0.14382104056206063,51,0,0,0,0,"{""2022"": 0.0267, ""2023"": -0.05, ""2024"": 0.2338}"
coint,ret,60,10,72,3.0,0.5,4.5,maker,h1,cross,3,IS,0.17799439940031325,1.6348517325493865,0.7461843716471787,-0.10256909412321902,0.5411178941632,651,0,61,29,15,0.18169042157051787,-0.013396940292642417,0.49813716545012166,0.43327393210547566,51,0,0,0,0,"{""2022"": 0.06, ""2023"": -0.1673, ""2024"": 0.8522}"
coint,ret,60,10,72,3.0,0.5,4.5,maker,h1,cross,5,IS,0.26575725497617286,2.028249282512994,0.7509510586177156,-0.18411704266461182,0.748116275274903,651,0,61,29,15,0.29195687113818486,-0.02130587947163831,0.49813716545012166,0.7256075252929044,51,0,0,0,0,"{""2022"": 0.0645, ""2023"": -0.3022, ""2024"": 1.7304}"
coint,ret,60,10,72,3.0,0.5,4.5,maker,h1,cross,10,IS,0.28427453249485213,2.1185951983643605,0.7587327101080965,-0.4559513494897218,0.9640223785946441,651,0,61,29,15,0.44778953072095323,-0.04559435338903924,0.49813716545012166,1.476475109202465,51,0,0,0,0,"{""2022"": -0.0484, ""2023"": -0.6655, ""2024"": 5.6561}"
coint,ret,60,10,72,3.0,0.5,4.5,maker,h1,cross,15,IS,-1.0,0.0,-0.20009818964192563,-1.0,1.0,91,1,10,6,0,0.09846096144855905,0.0038320376993689976,0.06508515815085159,0.29087354054575026,3,0,0,0,0,"{""2022"": -1.0, ""2023"": -1.0, ""2024"": -1.0}"
coint,ret,60,10,72,3.0,0.5,4.5,maker,h1,cross,20,IS,-1.0,0.0,-7.389897346456303,-1.0,1.0,18,1,1,2,0,0.02147207684166797,0.0152402569150519,0.013876216545012166,0.11284389669291882,1,0,0,0,0,"{""2022"": -1.0, ""2023"": -1.0, ""2024"": -1.0}"
coint,ret,60,10,72,3.0,0.5,4.5,taker,h1,cross,1,OOS,-0.020980572119652652,0.9653195295257246,-0.26000072143587044,-0.025971314578940086,0.21245883655341447,394,0,26,23,10,0.08077608286286546,-0.0041160941715280945,0.49335252192982454,0.14715619834372323,0,0,0,0,0,"{""2025"": 0.0598, ""2026"": -0.0892}"
coint,ret,60,10,72,3.0,0.5,4.5,taker,h1,cross,3,OOS,-0.07456274277414665,0.8789835263079873,-0.2508300991535736,-0.07647862862923427,0.5312060244099105,394,0,26,23,10,0.25217152786782365,-0.012578391445966078,0.49335252192982454,0.4426646561140746,0,0,0,0,0,"{""2025"": 0.1733, ""2026"": -0.2508}"
coint,ret,60,10,72,3.0,0.5,4.5,taker,h1,cross,5,OOS,-0.141778906452809,0.775297388020825,-0.24150049588270348,-0.1251275090188776,0.7412940921527149,394,0,26,23,10,0.4327305011072351,-0.02106651910747458,0.49335252192982454,0.7399922727152843,0,0,0,0,0,"{""2025"": 0.2729, ""2026"": -0.3909}"
coint,ret,60,10,72,3.0,0.5,4.5,taker,h1,cross,10,OOS,-0.3505808205817055,0.48744633533198284,-0.21716025818753754,-0.23903598633236134,0.9801205849031743,394,0,26,23,10,0.88323671400882,-0.03999473230636605,0.49335252192982454,1.4932893311762117,0,0,0,0,0,"{""2025"": 0.4165, ""2026"": -0.6559}"
coint,ret,60,10,72,3.0,0.5,4.5,taker,h1,cross,15,OOS,-1.0,0.0,-3.5559737931341573,-1.0,1.0,8,1,0,0,0,0.01815765545686804,-0.0015104019880661473,0.0066474780701754384,0.028256934183746273,0,0,0,0,0,"{""2025"": -1.0, ""2026"": -1.0}"
coint,ret,60,10,72,3.0,0.5,4.5,taker,h1,cross,20,OOS,-1.0,0.0,-3.6302236914372914,-1.0,1.0,8,1,0,0,0,0.024265775792866172,-0.002036840904714174,0.0066474780701754384,0.03812758849014371,0,0,0,0,0,"{""2025"": -1.0, ""2026"": -1.0}"
coint,ret,60,10,72,3.0,0.5,4.5,maker,h1,cross,1,OOS,0.05321230715750591,1.0901350625966308,0.7439594872502431,-0.02547392838935092,0.16815148241391664,394,0,26,23,10,0.039394526502962,-0.004457760070924244,0.49335252192982454,0.14710687914562443,30,0,0,0,0,"{""2025"": 0.1436, ""2026"": -0.0467}"
