pick,exec,lev,when,a,b,beta,dir
pick10,maker,15,2025-02-03 02:00:00,1000BONKUSDT,WLDUSDT,0.7154828938119583,1
pick10,maker,15,2025-02-03 02:00:00,AAVEUSDT,LINKUSDT,0.7611386094685426,1
pick10,maker,15,2025-02-03 02:00:00,BNBUSDT,ADAUSDT,0.37023671788866147,1
pick10,maker,15,2025-02-03 02:00:00,DOTUSDT,1000SHIBUSDT,0.8756834066138105,1
pick10,maker,20,2025-02-03 01:00:00,HBARUSDT,BTCUSDT,1.4726075156777239,1
pick10,maker,20,2025-02-03 01:00:00,SUIUSDT,XLMUSDT,0.5640511054775805,1
pick10,maker,20,2025-02-03 01:00:00,1000BONKUSDT,WLDUSDT,0.7154828938119583,1
pick10,maker,20,2025-02-03 01:00:00,BNBUSDT,ADAUSDT,0.37023671788866147,1
pick10,taker,15,2025-02-03 02:00:00,SUIUSDT,XLMUSDT,0.5640511054775805,1
pick10,taker,15,2025-02-03 02:00:00,1000BONKUSDT,WLDUSDT,0.7154828938119583,1
pick10,taker,15,2025-02-03 02:00:00,AAVEUSDT,LINKUSDT,0.7611386094685426,1
pick10,taker,15,2025-02-03 02:00:00,BNBUSDT,ADAUSDT,0.37023671788866147,1
pick10,taker,15,2025-02-03 02:00:00,DOTUSDT,1000SHIBUSDT,0.8756834066138105,1
pick10,taker,20,2025-02-03 01:00:00,HBARUSDT,BTCUSDT,1.4726075156777239,1
pick10,taker,20,2025-02-03 01:00:00,SUIUSDT,XLMUSDT,0.5640511054775805,1
pick10,taker,20,2025-02-03 01:00:00,1000BONKUSDT,WLDUSDT,0.7154828938119583,1
pick10,taker,20,2025-02-03 01:00:00,BNBUSDT,ADAUSDT,0.37023671788866147,1
pick15,maker,10,2025-11-08 11:00:00,LINKUSDT,FARTCOINUSDT,0.35967509051192065,-1
pick15,maker,10,2025-11-08 11:00:00,DOTUSDT,SUIUSDT,0.9432313876004769,-1
pick15,maker,10,2025-11-08 11:00:00,NEARUSDT,AVAXUSDT,0.5896289106644094,-1
pick15,maker,10,2025-11-08 11:00:00,ADAUSDT,PENGUUSDT,0.6588403495030575,-1
pick15,maker,15,2025-11-07 16:00:00,LTCUSDT,ETHUSDT,1.3530063130009882,-1
pick15,maker,15,2025-11-07 16:00:00,DOTUSDT,SUIUSDT,0.9432313876004769,-1
pick15,maker,15,2025-11-07 16:00:00,NEARUSDT,AVAXUSDT,0.5896289106644094,-1
pick15,maker,20,2025-02-03 01:00:00,BNBUSDT,ETHUSDT,0.2918192891414593,1
pick15,maker,20,2025-02-03 01:00:00,1000BONKUSDT,WLDUSDT,0.7247648651088324,1
pick15,maker,20,2025-02-03 01:00:00,1000PEPEUSDT,PNUTUSDT,0.3506011568200128,1
pick15,taker,10,2025-11-08 11:00:00,LINKUSDT,FARTCOINUSDT,0.35967509051192065,-1
pick15,taker,10,2025-11-08 11:00:00,DOTUSDT,SUIUSDT,0.9432313876004769,-1
pick15,taker,10,2025-11-08 11:00:00,NEARUSDT,AVAXUSDT,0.5896289106644094,-1
pick15,taker,10,2025-11-08 11:00:00,ADAUSDT,PENGUUSDT,0.6588403495030575,-1
pick15,taker,15,2025-02-03 02:00:00,HBARUSDT,XRPUSDT,0.4869660479075008,1
pick15,taker,15,2025-02-03 02:00:00,BTCUSDT,SOLUSDT,0.30050087911741086,1
pick15,taker,15,2025-02-03 02:00:00,1000BONKUSDT,WLDUSDT,0.7247648651088324,1
pick15,taker,15,2025-02-03 02:00:00,AAVEUSDT,LINKUSDT,0.5296340175632895,1
pick15,taker,15,2025-02-03 02:00:00,1000PEPEUSDT,PNUTUSDT,0.3506011568200128,1
pick15,taker,20,2025-02-03 01:00:00,BNBUSDT,ETHUSDT,0.2918192891414593,1
pick15,taker,20,2025-02-03 01:00:00,1000BONKUSDT,WLDUSDT,0.7247648651088324,1
pick15,taker,20,2025-02-03 01:00:00,1000PEPEUSDT,PNUTUSDT,0.3506011568200128,1
pick20,maker,15,2025-02-03 01:00:00,ETHUSDT,AVAXUSDT,0.5366652575758201,1
pick20,maker,15,2025-02-03 01:00:00,SUIUSDT,XLMUSDT,0.5640511054775805,1
pick20,maker,15,2025-02-03 01:00:00,DOTUSDT,1000SHIBUSDT,0.8756834066138105,1
pick20,maker,15,2025-02-03 01:00:00,AAVEUSDT,LINKUSDT,0.7611386094685426,1
pick20,maker,15,2025-02-03 01:00:00,1000BONKUSDT,WLDUSDT,0.7154828938119583,1
pick20,maker,20,2025-02-03 01:00:00,ETHUSDT,AVAXUSDT,0.5366652575758201,1
pick20,maker,20,2025-02-03 01:00:00,SUIUSDT,XLMUSDT,0.5640511054775805,1
pick20,maker,20,2025-02-03 01:00:00,DOTUSDT,1000SHIBUSDT,0.8756834066138105,1
pick20,maker,20,2025-02-03 01:00:00,AAVEUSDT,LINKUSDT,0.7611386094685426,1
pick20,maker,20,2025-02-03 01:00:00,1000BONKUSDT,WLDUSDT,0.7154828938119583,1
pick20,taker,15,2025-02-03 01:00:00,ETHUSDT,AVAXUSDT,0.5366652575758201,1
pick20,taker,15,2025-02-03 01:00:00,SUIUSDT,XLMUSDT,0.5640511054775805,1
pick20,taker,15,2025-02-03 01:00:00,DOTUSDT,1000SHIBUSDT,0.8756834066138105,1
pick20,taker,15,2025-02-03 01:00:00,AAVEUSDT,LINKUSDT,0.7611386094685426,1
pick20,taker,15,2025-02-03 01:00:00,1000BONKUSDT,WLDUSDT,0.7154828938119583,1
pick20,taker,20,2025-02-03 01:00:00,ETHUSDT,AVAXUSDT,0.5366652575758201,1
pick20,taker,20,2025-02-03 01:00:00,SUIUSDT,XLMUSDT,0.5640511054775805,1
pick20,taker,20,2025-02-03 01:00:00,DOTUSDT,1000SHIBUSDT,0.8756834066138105,1
pick20,taker,20,2025-02-03 01:00:00,AAVEUSDT,LINKUSDT,0.7611386094685426,1
pick20,taker,20,2025-02-03 01:00:00,1000BONKUSDT,WLDUSDT,0.7154828938119583,1
