when,pair,beta,bn_min_long,okx_min_long,bn_min_short,okx_min_short,n_bn,n_okx,lmax_bn,lmax_okx
2025-02-03 02:00:00,1000BONKUSDT/WLDUSDT,0.715,-0.07298922466167614,-0.0793517751635141,-0.06024609586078676,-0.07107416986409631,60,60,8.492338641203085,7.989071628236139
2025-02-03 02:00:00,AAVEUSDT/LINKUSDT,0.761,-0.05704639225395387,-0.06947688084817272,-0.037550397065458124,-0.040830066838970475,60,60,12.083389470333683,10.322616981686325
2025-02-03 02:00:00,BNBUSDT/ADAUSDT,0.37,-0.04977717496930084,-0.061645024317178485,-0.03694356058019068,-0.04015639254936673,60,60,11.293533223742143,9.44567284813202
2025-02-03 02:00:00,DOTUSDT/1000SHIBUSDT,0.876,-0.0540754193834207,-0.06983396922898,-0.04759652129112056,-0.05860622976197366,60,60,13.264111557107167,10.846645790293257
2025-02-03 01:00:00,HBARUSDT/BTCUSDT,1.473,-0.11613904033957545,-0.1286441802678284,-0.01554210649695305,-0.01577429517346569,60,60,9.27697877140896,8.481141560855649
2025-02-03 01:00:00,SUIUSDT/XLMUSDT,0.564,-0.14070347126745808,-0.149486576082824,-0.003026516333138942,-0.004480042440793424,60,60,4.9770598980727545,4.713578055223546
2025-02-03 01:00:00,1000BONKUSDT/WLDUSDT,0.715,-0.060864754029260115,-0.06978861312539549,-0.028885431657269367,-0.04743889047815775,60,60,9.650846856142648,8.770256311004497
2025-02-03 01:00:00,BNBUSDT/ADAUSDT,0.37,-0.06865829838276981,-0.07970733662529741,-0.0062574591967983345,-0.007289575105842356,60,60,8.61288084894841,7.562444989523589
2025-11-08 11:00:00,LINKUSDT/FARTCOINUSDT,0.36,-0.016058993890222938,-0.016436559344097042,-0.003206916327582685,-0.003162536059730959,60,60,22.339317191580527,22.065556004732205
2025-11-08 11:00:00,DOTUSDT/SUIUSDT,0.943,-0.0016008633400096395,-0.0015446400988569087,-0.023193891041047035,-0.023144380991252544,60,60,22.285877600918223,22.311214402633837
2025-11-08 11:00:00,NEARUSDT/AVAXUSDT,0.59,-0.005124701059104897,-0.00522552758908177,-0.08440939942360254,-0.08414290002971155,60,60,7.861627112236806,7.8824050124071885
2025-11-08 11:00:00,ADAUSDT/PENGUUSDT,0.659,-0.0034614802031409262,-0.0032246368036379152,-0.0032429427005414672,-0.003033203783546332,60,60,39.72451283814822,40.18029613376372
2025-11-07 16:00:00,LTCUSDT/ETHUSDT,1.353,-0.004100556881028537,-0.004505197981218099,-0.11333813042140191,-0.11301112619613325,60,60,9.305815461621542,9.32994749421958
2025-11-07 16:00:00,DOTUSDT/SUIUSDT,0.943,-0.002859375036727963,-0.0027294392842268475,-0.06373496389752895,-0.06503410233932772,60,60,11.547759350762771,11.372168483862039
2025-11-07 16:00:00,NEARUSDT/AVAXUSDT,0.59,-0.0037223781728824884,-0.004336499547856345,-0.07651496735448249,-0.07779438039895921,60,60,8.527496626744433,8.412027139119237
2025-02-03 01:00:00,1000PEPEUSDT/PNUTUSDT,0.351,-0.10942850765745601,-0.12073936537746854,-0.011587564842856413,-0.012582016445904481,60,60,5.462897194586297,5.0049444105765915
2025-02-03 02:00:00,HBARUSDT/XRPUSDT,0.487,-0.08908840905302931,-0.09130857872329767,-0.038923581477547396,-0.03967036135990272,60,60,7.304822208372948,7.148880321229073
2025-02-03 02:00:00,BTCUSDT/SOLUSDT,0.301,-0.015246323841559021,-0.018844688012759316,-0.014650147361365889,-0.013967046464572674,60,60,30.819633711664764,26.329188463110167
2025-02-03 02:00:00,1000PEPEUSDT/PNUTUSDT,0.351,-0.0883405930063117,-0.10130558916769514,-0.019049861191376468,-0.021574675439442963,60,60,6.586504437097243,5.847117035631538
2025-02-03 01:00:00,ETHUSDT/AVAXUSDT,0.537,-0.07879275143013441,-0.09658912564047227,-0.012950488121916896,-0.013653547743646362,60,60,8.639966087793935,7.1992413214260464
2025-02-03 01:00:00,AAVEUSDT/LINKUSDT,0.761,-0.08119156860869353,-0.0941687060354339,-0.007836547925690074,-0.009970816254638078,60,60,9.076205833847952,8.005417384784675
