L,band,per,intrabar,cagr,maxdd,worst_day,sharpe,liq,liq_dates,trades,imr_rejects,ret_2022,ret_2023,ret_2024,ret_2025,ret_2026,band_source
20,0.02,OOS,closes+highs,-0.6728401110196804,0.8509689937053557,-0.6559488849388305,-1.6865220362781965,1,2026-08-19 15,3062,616,,,,-0.3242151273100742,-0.7696147484986258,IS-reselected
20,0.05,OOS,closes+highs,-0.596668747477292,0.7905531486239088,-0.6756854839081328,-1.1990020440007725,1,2026-08-19 15,686,152,,,,-0.1266414954150008,-0.7474269740773836,researcher
20,0.02,FULL,closes+highs,-0.7942821590694964,0.9994019276994021,-0.9389864659387525,-1.1801368483632184,4,2023-01-14 00;2023-10-16 13;2023-10-23 22;2026-08-19 15,9314,1824,-0.4997540671356564,-0.9935610135097953,0.19888379487512675,-0.29696593126288784,-0.7696147484986453,IS-reselected
20,0.05,FULL,closes+highs,-0.7837416336644143,0.9993024374564953,-0.9731527878126088,-0.8119526786586895,4,2023-01-14 00;2023-10-16 13;2023-10-23 22;2026-08-19 15,2128,469,-0.2422115292037983,-0.9971733831959751,0.5877392557183148,-0.0806739293168175,-0.7474269740774401,researcher
1,0.2,IS,closes,0.07462438197946453,0.0184538796922622,-0.003132176534799358,10.63771897176558,0,,108,0,0.017203808212293614,0.08227227776961366,0.1273193261084251,,,IS-reselected
1,0.2,OOS,closes,0.03447749418012047,0.006838558129235173,-0.001724369845031104,9.472503296261289,0,,46,0,,,,0.04570011199051205,0.011807036404152926,IS-reselected
1,0.2,FULL,closes,0.060580477765541874,0.0184538796922622,-0.003132176534799358,10.066030575951759,0,,154,0,0.017203808212293614,0.08227227776961366,0.1273193261084251,0.047490171659958946,0.012108827450255655,IS-reselected
3,0.2,IS,closes,0.1245359458906794,0.06433247820705879,-0.009466313902127488,6.780424613649638,0,,104,0,0.022143499491933838,0.1631881770900767,0.19617044000658512,,,IS-reselected
3,0.2,OOS,closes,0.028974682848146527,0.03409825530313637,-0.005539015270554781,2.7701113944782723,0,,46,0,,,,0.049100537850225834,-0.0003869873174453531,IS-reselected
3,0.2,FULL,closes,0.09056646340485264,0.06433247820705879,-0.009466313902127488,5.740945120629379,0,,152,0,0.022143499491933838,0.1631881770900767,0.19617044000658512,0.053274664431693486,0.0003728166829506385,IS-reselected
5,0.2,IS,closes,0.1733654391335444,0.10962814662022058,-0.01583597948998272,5.7101815523831645,0,,108,0,0.026154767082074315,0.24950384528906722,0.26007657177347987,,,IS-reselected
5,0.2,OOS,closes,0.018980816457677463,0.06219011635540639,-0.009354229524455526,1.1000958691067233,0,,60,0,,,,0.04913160468664568,-0.016525112067216297,IS-reselected
5,0.2,FULL,closes,0.11948629326732818,0.10962814662022058,-0.01583597948998272,4.610770254352571,0,,150,0,0.026154767082074315,0.24950384528906722,0.26007657177347987,0.06181848277974655,-0.01306278721884202,IS-reselected
8,0.2,IS,closes,0.2563613413720569,0.17744047241478822,-0.02545077751171687,5.1295105535403875,0,,98,0,0.03503560646093096,0.3851906507234071,0.38339656172411973,,,IS-reselected
8,0.2,OOS,closes,0.0051788421496477,0.10286542350791239,-0.015077050905300204,0.19788986712966516,0,,62,0,,,,0.0510625168918617,-0.040365743563548495,IS-reselected
8,0.2,FULL,closes,0.16412117561398976,0.17744047241478822,-0.02545077751171687,3.893510610787452,0,,156,0,0.03503560646093096,0.3851906507234071,0.38339656172411973,0.06698234026092043,-0.039864698564189505,IS-reselected
10,0.2,IS,closes,0.3150126084930285,0.23030608014273135,-0.03315031235293753,4.9008975794387934,0,,88,21,0.039145611523055734,0.4835681981153648,0.4753234000084845,,,IS-reselected
10,0.2,OOS,closes,0.0032985508688456733,0.12338272176190435,-0.018892265159204058,0.11471836016204912,0,,52,12,,,,0.0573706751444476,-0.04905928295467543,IS-reselected
10,0.2,FULL,closes,0.19804979224689423,0.23030608014273135,-0.03315031235293753,3.707880524741668,0,,138,33,0.039145611523055734,0.4835681981153648,0.4753234000084845,0.0741969090158241,-0.04905899874636632,IS-reselected
15,0.1,IS,closes,0.36339534057804546,0.3484625976048007,-0.053362177421722445,3.6526452961270888,0,,438,107,-0.06620227724441108,0.7051589742092532,0.5919883101825254,,,IS-reselected
15,0.2,IS,closes,-0.06365855523247355,0.7568150600432407,-0.7281403101880923,0.30130642853767237,1,2023-01-14 00,104,27,0.04909317980530048,-0.532709690650463,0.6744891955407557,,,researcher
15,0.1,OOS,closes,-0.05779442205409313,0.1965544640202025,-0.028430300793949925,-1.1313608806173863,0,,194,44,,,,0.0029902901924980796,-0.0970456139553898,IS-reselected
15,0.2,OOS,closes,-0.009392596088695804,0.18098020201575726,-0.028430300793949925,-0.16038518095225598,0,,52,12,,,,0.06247450135877486,-0.07347064761760869,researcher
15,0.1,FULL,closes,0.203108405426202,0.3484625976048007,-0.053362177421722445,2.510796899130086,0,,626,152,-0.06620227724441108,0.7051589742092532,0.5919883101825254,0.03519519643866431,-0.09704561396142553,IS-reselected
15,0.2,FULL,closes,-0.03957692868905105,0.7568150600432407,-0.7281403101880923,0.24756055017417322,1,2023-01-14 00,146,37,0.04909317980530048,-0.532709690650463,0.6744891955407557,0.09263397250125194,-0.07652563173747529,researcher
20,0.1,IS,closes,-0.5680284007675891,0.9687135130497615,-0.8989405519341518,-0.25091744042330927,2,2023-01-14 00;2023-10-23 22,448,110,-0.0936249668498057,-0.9493652110723345,0.7553314233729334,,,IS-reselected
