sym,other,lag,year,cc,n
LINKUSDT,spot,2,2023,-0.019116304559286066,62353
LINKUSDT,spot,2,2024,-0.033701857218339924,48044
LINKUSDT,spot,2,2025,0.08422880881283425,56420
LINKUSDT,spot,2,2026,-0.053423513633164714,39776
ADAUSDT,bin,-2,2022,-0.026078638630646293,70016
ADAUSDT,bin,-2,2023,0.007933062108248153,61354
ADAUSDT,bin,-2,2024,-0.011460888305697746,51785
ADAUSDT,bin,-2,2025,0.08229034382025786,56138
ADAUSDT,bin,-2,2026,-0.06276975045581767,36599
ADAUSDT,bin,-1,2022,-0.004812820986057627,70250
ADAUSDT,bin,-1,2023,0.05360734139959036,61566
ADAUSDT,bin,-1,2024,0.009272708622015315,51956
ADAUSDT,bin,-1,2025,0.2249269766452548,56329
ADAUSDT,bin,-1,2026,-0.008256354117269162,36724
ADAUSDT,bin,0,2022,0.9828523790074323,70484
ADAUSDT,bin,0,2023,0.9805888240746903,61778
ADAUSDT,bin,0,2024,0.990304560771689,52127
ADAUSDT,bin,0,2025,0.9918928719585324,56520
ADAUSDT,bin,0,2026,0.9688251301678986,36849
ADAUSDT,bin,1,2022,-0.013246528129592355,70250
ADAUSDT,bin,1,2023,0.04574308782361347,61567
ADAUSDT,bin,1,2024,0.011676109480041757,51955
ADAUSDT,bin,1,2025,0.20830496249938613,56329
ADAUSDT,bin,1,2026,0.0016168315669345395,36724
ADAUSDT,bin,2,2022,-0.026116327167973442,70016
ADAUSDT,bin,2,2023,0.007449205216617062,61356
ADAUSDT,bin,2,2024,-0.01276758763933281,51783
ADAUSDT,bin,2,2025,0.07362404024700024,56138
ADAUSDT,bin,2,2026,-0.07304790653051052,36599
ADAUSDT,spot,-2,2022,-0.024423663968064516,70016
ADAUSDT,spot,-2,2023,0.010374229884440892,61354
ADAUSDT,spot,-2,2024,-0.015552600020589093,51785
ADAUSDT,spot,-2,2025,0.08034541741443284,56138
ADAUSDT,spot,-2,2026,-0.07041710123966699,36599
ADAUSDT,spot,-1,2022,-0.009767019423308005,70250
ADAUSDT,spot,-1,2023,0.05920050299481123,61566
ADAUSDT,spot,-1,2024,0.005426174178733305,51956
ADAUSDT,spot,-1,2025,0.21020803939246077,56329
ADAUSDT,spot,-1,2026,-0.0035627854030667594,36724
ADAUSDT,spot,0,2022,0.9821504231922092,70484
ADAUSDT,spot,0,2023,0.9727070815138291,61778
ADAUSDT,spot,0,2024,0.9812584564140424,52127
ADAUSDT,spot,0,2025,0.9929719572429995,56520
ADAUSDT,spot,0,2026,0.9636021206662074,36849
ADAUSDT,spot,1,2022,0.002535445689106457,70250
ADAUSDT,spot,1,2023,0.0773097570512998,61567
ADAUSDT,spot,1,2024,0.022520572433913717,51955
ADAUSDT,spot,1,2025,0.22668125782158802,56329
ADAUSDT,spot,1,2026,0.01141901142102141,36724
ADAUSDT,spot,2,2022,-0.02351064179312919,70016
ADAUSDT,spot,2,2023,0.009930561536712458,61356
ADAUSDT,spot,2,2024,-0.012480513419464441,51783
ADAUSDT,spot,2,2025,0.0935005460110025,56138
ADAUSDT,spot,2,2026,-0.07039732739006264,36599
