coin,yr,days,mean,meanabs,cap7,fb,fo
ADA,2025,365,-0.0027379647484877014,0.035013930307458696,0.0123247251379765,0.0412241,0.0384861352515123
ADA,2026,244,0.014602655839307227,0.038544728638138626,0.018434244134209313,0.007756085450819674,0.022358741290126903
LINK,2022,362,-0.0627287586089524,0.08777782149872183,0.06908741827688666,0.05981587734806631,-0.003691952819767315
LINK,2023,365,-0.0337535609579759,0.0698229435788105,0.0367373916369247,0.10185174000000001,0.0680981790420241
LINK,2024,366,-0.011834604392081664,0.06163521053866651,0.029518494982335896,0.13329476885245903,0.12146016446037736
LINK,2025,365,-0.012346117187186301,0.0344291227642693,0.017710745987995002,0.05147485000000001,0.039128732812813705
LINK,2026,244,-0.007991628866086035,0.026954038579245016,0.006207770506920231,0.044809598975409835,0.0368179701093238
AVAX,2022,362,-0.06560711938416154,0.1116125465381053,0.07654736033118535,-0.05233961864640884,-0.1182254824979875
AVAX,2023,365,-0.014726525592603103,0.0815936568291383,0.0199287852320377,0.07450561,0.0597790844073969
AVAX,2024,366,-0.061804795440898515,0.08073389723611313,0.059483146834421935,0.10528911666666667,0.04348432122576816
AVAX,2025,365,-0.013047647445009799,0.04294266916393499,0.012301654064220801,0.0010933000000000023,-0.011954347445009797
AVAX,2026,244,0.007476870445178319,0.028867778910603725,0.00762424135200969,0.004835217827868852,0.012312088273047176
LTC,2022,362,-0.0070243768854343185,0.06860974179643842,0.014388869874838579,0.02901580607734807,0.021760751332863402
LTC,2023,365,-0.005146613606887803,0.060746748310619395,0.0192685047155152,0.0927626,0.0876159863931122
LTC,2024,366,-0.009539999820607617,0.05750531974472267,0.024726445295065996,0.14387305724043717,0.13433305741982954
LTC,2025,365,-0.0074521911492573,0.0335552468084105,0.0143830329617705,0.05553964000000001,0.0480874488507427
LTC,2026,244,0.01396837443144454,0.03291708041332848,0.011626806994990501,0.025572483401639343,0.03954085783308389
DOT,2022,362,0.03910626637661039,0.09774011281502179,0.042656396822560554,-0.14440747071823204,-0.10515974895762994
DOT,2023,365,0.006849503126785695,0.0769007641347131,0.011318585409321897,0.016167260000000003,0.0230167631267857
DOT,2024,366,-0.019503091744744707,0.07091133750715618,0.03783099532508204,0.11488503647540985,0.09538194473066511
DOT,2025,365,-0.0015403829261088995,0.043834273998807696,0.0225443219162407,0.011043200000000006,0.009502817073891102
DOT,2026,244,0.03764138159796706,0.05931242425525175,0.03098283954325108,-0.05990818299180327,-0.02226680139383622
BCH,2022,362,-0.0037431639307746764,0.09281767305193955,0.06411185433813633,-0.060291234392265185,-0.06477568511015314
BCH,2023,365,0.04820179253744499,0.09119077763522179,0.0456842580386644,-0.08984344,-0.041641647462555
BCH,2024,366,0.03211788619473291,0.08104126884736458,0.04897154528751593,-0.010757427595628408,0.021360458599104487
BCH,2025,365,0.0063273812945842,0.0540629332127366,0.026276637972973804,-0.025706919999999998,-0.019379538705415793
BCH,2026,244,0.011634725890662171,0.05810708128134196,0.035138401241237405,-0.040553624180327874,-0.028918898289665693
