sym,i,tranche,entry_t,entry_px,notional,E_before,exit_t,ret,reason,net,src
ZERO-USDT-SWAP,774,1,21368,0.0005329,0.09423303709912076,2.1094894447077706,21464,0.06830549821730159,end,0.06230256327105253,okx
ZENT-USDT-SWAP,775,0,21392,0.03338,0.21207261230710334,2.1202807705851883,21536,-0.19203115638106638,end,-0.14713716567126503,okx
ZENT-USDT-SWAP,775,1,21440,0.03296,0.20902905413141393,2.089851580300463,21536,-0.20722087378640763,end,-0.12075689635285279,okx
NOTUSDT,161,0,21566,0.006567,0.11818064567061341,2.0620917887663217,21710,0.23953098827470687,end,0.2576051774194487,binance
NOTUSDT,161,1,21614,0.005694,0.18578207258001497,2.078100925460797,21710,0.12293642430628737,end,0.13478066192479377,binance
TURBOUSDT,162,0,21903,0.0081969,0.12730252029722025,2.117556409741221,22047,0.24739840671473357,end,0.30638087775226597,binance
TURBOUSDT,162,1,21951,0.006928,0.1898676528159268,2.1384018141956256,22047,0.10955542725173206,end,0.15631880105985185,binance
ULTI-USDT-SWAP,776,0,22087,0.06465,0.09817701651435377,2.1863005150561396,22231,0.31879350348027835,end,0.28519144129726104,okx
ULTI-USDT-SWAP,776,1,22135,0.05326,0.1475230856097353,2.2036380499630104,22231,0.17311303041682313,end,0.1364239800570489,okx
ATH-USDT-SWAP,777,0,22227,0.06909,0.10539657994945444,2.235453599193944,22371,0.01592126212187006,end,-0.03166124056694024,okx
ATH-USDT-SWAP,777,1,22275,0.06339,0.14237007142106173,2.240171485906952,22371,-0.07256665089130765,end,-0.09635014278972981,okx
ZKUSDT,164,1,22379,0.2108,0.18473534258206567,2.226069739641718,22475,0.24051233396584437,end,0.16160023341024524,binance
MEWUSDT,165,0,22334,0.004357,0.19429025021617324,2.2278185332405855,22478,0.17351388570117043,end,0.11951529623870208,binance
MEWUSDT,165,1,22382,0.004069,0.2232082694091738,2.2316139567259787,22478,0.11501597444089451,end,0.0566007202148513,binance
ZROUSDT,167,0,22406,3.074,0.22653347343664038,2.264859014072187,22550,0.15907612231620039,end,0.12993507883685498,binance
