sym,i,tranche,entry_t,entry_px,notional,E_before,exit_t,ret,reason,net
WSM-USDT-SWAP,23,1,16251,0.03815,0.12380150881133786,1.237755104944875,16347,0.10747051114023609,end,0.06926010312482696
PYTH-USDT-SWAP,26,0,17294,0.3232,0.06761415514867511,1.252181087179079,17340,-0.5,stop,-0.4938710762661019
DMAIL-USDT-SWAP,32,0,18994,0.6287,0.063160055069507,1.2187977652151458,19138,0.2791474471130906,end,0.28421086128524276
DMAIL-USDT-SWAP,32,1,19042,0.5287,0.08825564613321571,1.2291403067904012,19138,0.1428031019481747,end,0.13986782093373862
GPT-USDT-SWAP,34,0,19692,0.49367,0.04273905535810448,1.249135547874418,19722,-0.5,stop,-0.5082034500713418
GPT-USDT-SWAP,34,1,19740,0.70738,0.05397712806944086,1.227391812535946,19836,0.15171477847832848,end,0.251758333955594
ZK-USDT-SWAP,38,0,20170,2.939,0.0626132176762474,1.2409628685822436,20314,-0.06362708404219108,end,0.06856687395342259
ZK-USDT-SWAP,38,1,20218,2.776,0.1022596275633613,1.2467552046710608,20314,-0.12608069164265134,end,-0.03720230039842381
VENOM-USDT-SWAP,39,0,20312,0.6014,0.03745173954552152,1.2401201706370817,20456,0.1267708679747258,end,0.12744188475684756
VENOM-USDT-SWAP,39,1,20360,0.66154,0.0599708783458061,1.237838948668961,20456,0.20615533452247792,end,0.20041437418538602
ZEUS-USDT-SWAP,40,0,20576,0.685,0.11280124043380042,1.2581383192835613,20620,-0.5,stop,-0.5178752078348003
ZEUS-USDT-SWAP,40,1,20624,1.0221,0.10769372510685196,1.1997320792320698,20720,0.3470306232266902,end,0.3505349171889037
BLOCK-USDT-SWAP,41,0,20724,0.22642,0.06380570392375673,1.2375746550886497,20868,0.16858051408886143,end,0.02675261197358926
BLOCK-USDT-SWAP,41,1,20772,0.17658,0.08078545222631874,1.2600814607197843,20868,-0.06608902480462131,end,-0.12431370042750386
FOXY-USDT-SWAP,42,0,20744,0.0188791,0.05382612804373858,1.2384426765355965,20888,0.2873865809281162,end,0.2415560559138329
FOXY-USDT-SWAP,42,1,20792,0.0152563,0.06848525677325132,1.241442247823343,20888,0.11816757667324318,end,0.08816446496496662
MEW-USDT-SWAP,43,0,20816,0.004989,0.051265838072347525,1.2676338902781477,20960,-0.10523150932050496,end,-0.07532166851285962
MEW-USDT-SWAP,43,1,20864,0.004616,0.07356988457436392,1.2671068442449052,20960,-0.19454072790294608,end,-0.12341642850292621
PRCL-USDT-SWAP,44,0,20845,0.493,0.06878062223669976,1.2664379611035714,20989,-0.17849898580121693,end,-0.12799181952630875
PRCL-USDT-SWAP,44,1,20893,0.467,0.09064782788685434,1.2428816075716684,20989,-0.24411134903640241,end,-0.2196042397537954
MERL-USDT-SWAP,45,0,20914,1.0655,0.09966921990390658,1.2547726775626935,21058,0.2833411543876114,end,0.27498719542544703
MERL-USDT-SWAP,45,1,20962,1.0534,0.11249825297362415,1.1642459373421812,21058,0.27510917030567683,end,0.25074776626907735
