sym,i,tranche,entry_t,entry_px,notional,E_before,exit_t,ret,reason,net
MEW-USDT-SWAP,43,1,20864,0.004616,0.03275442647621553,1.128339086945808,20960,-0.19454072790294608,end,-0.1234164285029264
PRCL-USDT-SWAP,44,0,20845,0.493,0.030632277185349964,1.1281110770269525,20989,-0.17849898580121693,end,-0.12799181952630864
PRCL-USDT-SWAP,44,1,20893,0.467,0.0407493441769577,1.1175223965186265,20989,-0.24411134903640241,end,-0.21960423975379528
MERL-USDT-SWAP,45,0,20914,1.0655,0.04459042231111365,1.1228242813208058,21058,0.2833411543876114,end,0.2749871954254471
MERL-USDT-SWAP,45,1,20962,1.0534,0.05228523253704596,1.0823109524323544,21058,0.27510917030567683,end,0.25074776626907724
MSN-USDT-SWAP,46,0,21150,2.89,0.027718862830875733,1.1266680948102241,21294,0.48027681660899657,end,0.49478933626594584
MSN-USDT-SWAP,46,1,21198,1.91,0.035575329784481566,1.1334553816439499,21294,0.21361256544502616,end,0.3313195413809259
ZERO-USDT-SWAP,47,0,21320,0.0007194,0.01723498724554377,1.1521919106397573,21464,0.3098415346121769,end,0.2683258677128796
ZERO-USDT-SWAP,47,1,21368,0.0005329,0.02581665967115714,1.1559114971109836,21464,0.06830549821730159,end,0.062302563271052616
ZENT-USDT-SWAP,48,0,21392,0.03338,0.057949674816283644,1.1588718020085587,21536,-0.19203115638106638,end,-0.1471371656712652
ZENT-USDT-SWAP,48,1,21440,0.03296,0.05753259340672867,1.1505310496884193,21536,-0.20722087378640763,end,-0.12075689635285301
ULTI-USDT-SWAP,49,0,22087,0.06465,0.025660810297905772,1.1429332450686722,22231,0.31879350348027835,end,0.2851914412972611
ULTI-USDT-SWAP,49,1,22135,0.05326,0.038405966456462874,1.1474651270240317,22231,0.17311303041682313,end,0.1364239800570489
ATH-USDT-SWAP,50,0,22227,0.06909,0.027244377924472745,1.155759660431881,22371,0.01592126212187006,end,-0.031661240566940224
ATH-USDT-SWAP,50,1,22275,0.06339,0.03676234267545543,1.1569769761979838,22371,-0.07256665089130765,end,-0.09635014278972968
UXLINK-USDT-SWAP,51,0,23073,0.2572,0.02025562308722342,1.151097686467826,23217,0.37363919129082424,end,0.35148107066832873
UXLINK-USDT-SWAP,51,1,23121,0.2074,0.034121483432969495,1.1555110592821614,23217,0.2232401157184185,end,0.17246835133691224
MAX-USDT-SWAP,52,0,23528,0.33905,0.023122274990303296,1.1640960105814342,23672,0.13119008995723347,end,0.1590892019994032
MAX-USDT-SWAP,52,1,23576,0.33923,0.03352138650859219,1.1654803890086984,23672,0.13165109217934734,end,0.09797749082347562
CAT-USDT-SWAP,53,0,24274,2.674e-05,0.04250849648528239,1.17101814513195,24418,-0.21619296933433052,end,-0.16975865923759328
CAT-USDT-SWAP,53,1,24322,2.8174e-05,0.05084418912981885,1.1684501721854403,24418,-0.15429119045928874,end,-0.10441584608936177
MOODENG-USDT-SWAP,54,0,24919,0.17441,0.047283740660935006,1.1584829927229154,25063,0.22578980563041107,end,0.23954923520201857
MOODENG-USDT-SWAP,54,1,24967,0.13733,0.04076679485192359,1.169449164292803,25063,0.016747979319886364,end,0.01222326856352756
PUFFER-USDT-SWAP,55,0,25188,0.5358,0.014630092199663403,1.170376652779453,25332,0.34901082493467717,end,0.3545291956113281
PUFFER-USDT-SWAP,55,1,25236,0.3767,0.02016411885269547,1.1747092863942903,25332,0.07406424210246876,end,0.07076510418140826
X-USDT-SWAP,56,0,25449,6.29e-05,0.058533482226581446,1.1768981664509992,25593,0.30063593004769473,end,0.33456475139945746
X-USDT-SWAP,56,1,25497,5.84e-05,0.05911703937263849,1.1822166416700872,25593,0.2467465753424658,end,0.26066779996743294
GRASS-USDT-SWAP,57,0,25526,1.0454,0.0267296323776064,1.1984656096306858,25605,-0.5,stop,-0.556040183203868
GRASS-USDT-SWAP,57,1,25574,0.9865,0.03592667272496196,1.2048293331413829,25605,-0.5895590471363408,stop,-0.6313150601005142
OL-USDT-SWAP,59,0,26121,0.092099,0.04411947086986122,1.1904949480130407,26187,-0.5,stop,-0.5380271982817848
OL-USDT-SWAP,59,1,26169,0.096883,0.04547676605567926,1.1901404682134902,26187,-0.4259312779331772,stop,-0.4671290530955074
DOG-USDT-SWAP,58,0,26046,0.00809,0.058723521802621206,1.1743471166566386,26190,0.15896168108776265,end,0.2049696168918618
DOG-USDT-SWAP,58,1,26094,0.007958,0.058999250955050174,1.179861120673998,26190,0.14501130937421458,end,0.11482792737292101
MEMEFI-USDT-SWAP,60,0,26127,0.006585,0.025080782026947867,1.1875224142213192,26201,-0.5,stop,-0.5448683310576272
MEMEFI-USDT-SWAP,60,1,26175,0.005292,0.03956581881041925,1.200327455238993,26201,-0.8664965986394557,stop,-0.8856811414388919
