sym,i,tranche,entry_t,entry_px,notional,E_before,exit_t,ret,reason,net,src
PNUTUSDT,220,1,25908,1.877,0.0776239692490934,2.6164162081891003,26004,0.1504528502930208,end,0.13760578430522258,binance
OL-USDT-SWAP,786,0,26121,0.092099,0.09861107534287224,2.660865706211766,26187,-0.5,stop,-0.5380271982817844,okx
OL-USDT-SWAP,786,1,26169,0.096883,0.1020742493635112,2.6713134082861782,26187,-0.4259312779331772,stop,-0.4671290530955074,okx
DOG-USDT-SWAP,785,0,26046,0.00809,0.13038716863917216,2.6074695597293007,26190,0.15896168108776265,end,0.20496961689186163,okx
DOG-USDT-SWAP,785,1,26094,0.007958,0.13099938572685527,2.619712615827079,26190,0.14501130937421458,end,0.11482792737292077,okx
MEMEFI-USDT-SWAP,787,0,26127,0.006585,0.05582172504880327,2.6430415776003007,26201,-0.5,stop,-0.5448683310576273,okx
MEMEFI-USDT-SWAP,787,1,26175,0.005292,0.08992361296864057,2.7280563063216614,26201,-0.8664965986394557,stop,-0.8856811414388922,okx
MORPHO-USDT-SWAP,788,0,26194,0.9866,0.06060269585306892,2.5443190253682886,26223,-0.5,stop,-0.48082224477460817,okx
SLERFUSDT,226,0,26099,0.3608,0.2337460711953005,2.628424993801367,26243,0.25914634146341475,end,0.22576765403234775,binance
SLERFUSDT,226,1,26147,0.316,0.2686641342883943,2.686077148201938,26243,0.15411392405063296,end,0.12548798412391365,binance
MORPHOUSDT,231,0,26246,1.2953,0.15393664064738583,2.49573877390626,26390,-0.23114336447155104,end,-0.23103043988678476,binance
MORPHOUSDT,231,1,26294,1.4936,0.19233679168080003,2.4739684607492327,26390,-0.06768880557043389,end,-0.07618501884395047,binance
MAJOR-USDT-SWAP,789,0,26269,1.2333,0.06610182066536593,2.504882383533858,26413,0.06689369982972515,end,0.1338587965868497,okx
MAJOR-USDT-SWAP,789,1,26317,1.211,0.0860498230650384,2.5084079841722646,26413,0.04971098265895957,end,0.1146336413312578,okx
MOVEUSDT,237,0,26534,0.72854,0.07749490628608927,2.4643945843666906,26678,0.1729486370000275,end,0.23200536715231496,binance
MOVEUSDT,237,1,26582,0.68364,0.11660726590020994,2.48018496422908,26678,0.11862968813995678,end,0.1452638594070359,binance
VIRTUALUSDT,238,1,26604,2.3157,0.25076681417180896,2.5071415314083287,26700,-0.1691929006347972,end,-0.10281772504516114,binance
MEUSDT,242,0,26561,5.158,0.10270417873155405,2.469696435167051,26705,0.39763474214811945,end,0.46296545310620246,binance
MEUSDT,242,1,26609,4.235,0.16779827263577868,2.5080059656518907,26705,0.2663518299881936,end,0.3256892640703676,binance
SUNDOG-USDT-SWAP,791,0,26578,0.1528,0.12356545954326573,2.4710497034002734,26722,0.1688481675392669,end,0.20088439995064342,okx
SUNDOG-USDT-SWAP,791,1,26626,0.1437,0.12482101368513698,2.496158149574001,26722,0.116214335421016,end,0.1379558769533591,okx
VANAUSDT,247,1,26749,16.277,0.1561925917481452,2.6283605973724526,26845,-0.01155003993364856,end,-0.0784361436546268,binance
PENGUUSDT,248,0,26728,0.034546,0.11961131903109923,2.617681670384362,26872,-0.07306200428414278,end,-0.13610628037845535,binance
PENGUUSDT,248,1,26776,0.026734,0.15871386325988504,2.615968655496454,26872,-0.3866237749682051,end,-0.3780708261396708,binance
AI16Z-USDT-SWAP,792,0,26793,0.8122,0.05791157733470317,2.5628984335988805,26937,-0.08138389559221859,end,-0.09591161040818937,okx
AI16Z-USDT-SWAP,792,1,26841,0.5972,0.08390719442620352,2.6601672893283967,26937,-0.4706965840589419,end,-0.4627102242499956,okx
FARTCOINUSDT,251,0,26802,0.9099,0.1104352705896646,2.5719880868485885,26946,-0.03220134080668213,end,-0.05901496352124653,binance
FARTCOINUSDT,251,1,26850,0.7365,0.1326407662472867,2.6255126857040563,26946,-0.27522063815342834,end,-0.26608333066418066,binance
ZEREBRO-USDT-SWAP,794,0,26959,0.3135,0.12016462839698139,2.4426983326080527,27012,-0.5,stop,-0.4973019146542777,okx
ZEREBRO-USDT-SWAP,794,1,27007,0.4043,0.078726820482842,2.4065502008264086,27012,-0.1631214444719269,stop,-0.16798221632634808,okx
GRIFFAIN-USDT-SWAP,793,0,26959,0.2295,0.12198019652804044,2.442950678327686,27038,-0.5,stop,-0.48379159605602795,okx
GRIFFAIN-USDT-SWAP,793,1,27007,0.2329,0.11317115204834889,2.4067155271494225,27038,-0.47810218978102204,stop,-0.4617885750604415,okx
AI16ZUSDT,260,0,27109,2.041,0.12016969495233128,2.2586975358085373,27253,0.30455658990690837,end,0.2828467199401962,binance
GRIFFAINUSDT,259,0,27109,0.40317,0.14642638715888137,2.2583900403955037,27253,0.10831659101619662,end,0.07932638983692968,binance
AI16ZUSDT,260,1,27157,1.8488,0.18081519188178724,2.3117656514527045,27253,0.23225876244050192,end,0.19393690913545272,binance
GRIFFAINUSDT,259,1,27157,0.39645,0.20309919070524027,2.3113391431522237,27253,0.09320216925211255,end,0.04982896744489795,binance
ZEREBROUSDT,261,0,27110,0.5992,0.179774360695848,2.2606115783734677,27254,0.4943257676902536,end,0.45912340004672264,binance
ZEREBROUSDT,261,1,27158,0.5026,0.23191260856683776,2.3186390691903873,27254,0.39713489852765627,end,0.344821808301857,binance
ALCH-USDT-SWAP,795,0,27127,0.1701,0.10788987391948227,2.2644384034820515,27271,0.19223985890652562,end,0.17684846476685506,okx
ALCH-USDT-SWAP,795,1,27175,0.1635,0.09437913981602994,2.2748981912599473,27271,0.15963302752293584,end,0.11454225358064139,okx
BIOUSDT,262,0,27132,0.754,0.2225030608748609,2.2800578066566524,27276,0.320291777188329,end,0.2917532230036531,binance
BIOUSDT,262,1,27180,0.7364,0.22735314539102683,2.273054012304947,27276,0.30404671374253134,end,0.25954057851605766,binance
ALCHUSDT,263,1,27275,0.14664,0.20312989006871413,2.6581966324900574,27371,0.2464539007092198,end,0.26619996479288077,binance
SONICUSDT,266,1,27295,0.7706,0.21765322998858766,2.6916432355309228,27391,0.05346483259797552,end,0.07610449503109448,binance
DUCK-USDT-SWAP,796,0,27443,0.009927,0.06915643030128574,2.7365553162634777,27587,0.4256069305933313,end,0.42371999636935076,okx
DUCK-USDT-SWAP,796,1,27491,0.006657,0.10064859057726402,2.80905413075443,27587,0.14345801412047476,end,0.11338932449145496,okx
NC-USDT-SWAP,797,0,27467,0.20843,0.07215134533519466,2.749681614249257,27611,0.4416830590605959,end,0.4625139480748842,okx
NC-USDT-SWAP,797,1,27515,0.12632,0.08685356308463649,2.8542323571385158,27611,0.07876820772640902,end,0.05076225927090057,okx
SOLVUSDT,270,0,27468,0.1017,0.13108875295435712,2.7487381486467437,27612,0.32645034414945917,end,0.3455572506452461,binance
SOLVUSDT,270,1,27516,0.0807,0.17779258664357295,2.8326232972721948,27612,0.15117719950433695,end,0.11906853328363276,binance
TRUMPUSDT,273,1,27541,38.29,0.0725563091922567,2.8660087969884662,27637,0.29172107599895525,end,0.2933283095907985,binance
