sym,i,tranche,entry_t,entry_px,notional,E_before,exit_t,ret,reason,net,src
TNSRUSDT,155,1,20705,1.41,0.16038570997443913,1.6715257443387948,20801,0.37092198581560276,end,0.2855530041168822,binance
BLOCK-USDT-SWAP,768,0,20724,0.22642,0.04335584177487445,1.6819498038056544,20868,0.16858051408886143,end,0.026752611973589132,okx
BLOCK-USDT-SWAP,768,1,20772,0.17658,0.056396715531100726,1.7594563764526625,20868,-0.06608902480462131,end,-0.12431370042750396,okx
FOXY-USDT-SWAP,769,0,20744,0.0188791,0.03755549021259525,1.728247824909623,20888,0.2873865809281162,end,0.2415560559138326,okx
FOXY-USDT-SWAP,769,1,20792,0.0152563,0.04790688785094101,1.7369309046502626,20888,0.11816757667324318,end,0.08816446496496663,okx
MEW-USDT-SWAP,770,0,20816,0.004989,0.03563530466586233,1.7623602695631146,20960,-0.10523150932050496,end,-0.07532166851285983,okx
MEW-USDT-SWAP,770,1,20864,0.004616,0.051150842871888494,1.762067041060389,20960,-0.19454072790294608,end,-0.12341642850292628,okx
PRCL-USDT-SWAP,771,0,20845,0.493,0.04783193597754874,1.761532010350287,20989,-0.17849898580121693,end,-0.1279918195263087,okx
PRCL-USDT-SWAP,771,1,20893,0.467,0.06363706323422866,1.74520215844691,20989,-0.24411134903640241,end,-0.21960423975379542,okx
MERL-USDT-SWAP,772,0,20914,1.0655,0.06963554858098484,1.7534815939685948,21058,0.2833411543876114,end,0.27498719542544675,okx
MERL-USDT-SWAP,772,1,20962,1.0534,0.08165245627313075,1.6902162126714775,21058,0.27510917030567683,end,0.25074776626907735,okx
MSN-USDT-SWAP,773,0,21150,2.89,0.043287770813726215,1.7594859705773036,21294,0.48027681660899657,end,0.49478933626594573,okx
MSN-USDT-SWAP,773,1,21198,1.91,0.05555699495067314,1.7700854861020903,21294,0.21361256544502616,end,0.3313195413809253,okx
ZERO-USDT-SWAP,774,0,21320,0.0007194,0.026915396292215905,1.799345798040714,21464,0.3098415346121769,end,0.26832586771288003,okx
ZERO-USDT-SWAP,774,1,21368,0.0005329,0.040317153479189516,1.8051545719312816,21464,0.06830549821730159,end,0.0623025632710525,okx
