i,sym,t0,gate_name,g_bn_spot,g_okx_spot,g_bybit_10th,g_gate_start,g_okx_preMktSw,gap_h,premarket,tge,tge_h
466,TURTLEUSDT,2025-10-22 15:00:00,Turtle,-15.0,,,0.0,,-15.0,False,,
467,APRUSDT,2025-10-23 10:00:00,,,,,,,,False,,
472,ATUSDT,2025-10-29 11:00:00,APRO Token,685.0,,,-119.0,,-119.0,False,,
471,KITEUSDT,2025-10-29 10:00:00,KITE,110.0,123.0,,123.0,,110.0,True,2025-11-03 13:00:00,123.0
473,CCUSDT,2025-10-31 12:00:00,Canton Network,,2494.0,235.0,235.0,,235.0,True,2025-11-10 07:00:00,235.0
474,MMTUSDT,2025-11-04 12:00:00,Momentum,-12.0,0.0,0.0,0.0,,-12.0,False,,
475,TRUSTUSDT,2025-11-05 09:00:00,Intuition,,,,1.0,,1.0,False,,
480,ALLOUSDT,2025-11-11 14:00:00,Allora,-14.0,-1.0,,-1.0,,-14.0,False,,
482,BEATUSDT,2025-11-12 12:00:00,Audiera,,,,-266.0,,-266.0,False,,
483,PIEVERSEUSDT,2025-11-14 11:00:00,Pieverse,,,2.0,2.0,,2.0,False,,
484,SENTUSDT,2025-11-14 12:00:00,Sentient,1644.0,1776.0,1656.0,1656.0,1656.5,1644.0,True,2026-01-22 12:00:00,1656.0
487,RLSUSDT,2025-12-02 10:00:00,RAYLS,,,,-22.0,,-22.0,False,,
490,NIGHTUSDT,2025-12-10 11:00:00,Midnight,2173.0,-24.8,-25.0,-25.0,,-25.0,False,,
489,WETUSDT,2025-12-10 07:00:00,HumidiFi,,-16.0,-16.0,-16.0,,-16.0,False,,
494,RAVEUSDT,2025-12-14 15:00:00,RaveDAO,,,,-49.0,,-49.0,False,,
498,BREVUSDT,2025-12-30 10:00:00,Brevis,158.0,172.0,172.0,172.0,172.3,158.0,True,2026-01-06 14:00:00,172.0
502,ZAMAUSDT,2026-01-09 09:00:00,Zama,567.0,580.0,580.0,580.0,580.6,567.0,True,2026-02-02 13:00:00,580.0
503,FOGOUSDT,2026-01-10 14:00:00,Fogo,106.0,120.0,120.0,120.0,120.5,106.0,True,2026-01-15 14:00:00,120.0
506,ACUUSDT,2026-01-21 12:00:00,Acurast,,,,-24.0,,-24.0,False,,
510,SPACEUSDT,2026-01-23 11:00:00,,,1.0,,,,1.0,False,,
521,TRIAUSDT,2026-02-06 12:00:00,,,,-74.0,,,-74.0,False,,
528,AZTECUSDT,2026-02-11 04:00:00,Aztec,,,27.0,27.0,28.7,27.0,True,2026-02-12 07:00:00,27.0
527,ESPUSDT,2026-02-10 08:00:00,Espresso,40.0,,,53.0,53.6,40.0,True,2026-02-12 13:00:00,53.0
529,OPNUSDT,2026-02-21 15:00:00,Opinion,273.0,,286.0,286.0,304.5,273.0,True,2026-03-05 13:00:00,286.0
530,ROBOUSDT,2026-02-27 08:00:00,Fabric Protocol,112.0,146.0,2.0,2.0,,2.0,False,,
531,KATUSDT,2026-03-02 05:00:00,Katana,379.0,392.0,,392.0,392.5,379.0,True,2026-03-18 13:00:00,392.0
545,BASEDUSDT,2026-03-30 10:00:00,,,0.0,0.0,,,0.0,False,,
561,OPGUSDT,2026-04-22 15:00:00,OpenGradient,705.0,,-27.0,-27.0,,-27.0,False,,
566,BILLUSDT,2026-05-07 08:00:00,,,,-72.0,,,-72.0,False,,
595,SLXUSDT,2026-06-01 07:00:00,Solstice,,941.0,507.0,-161.0,,-161.0,False,,
639,REUSDT,2026-06-18 14:00:00,Re,-14.0,0.0,,0.0,0.3,-14.0,False,,
647,ARXUSDT,2026-06-23 04:00:00,,,,-16.0,,,-16.0,False,,
648,OUSDT,2026-06-24 11:00:00,o1.exchange,,,,-163.0,,-163.0,False,,
649,CAPUSDT,2026-06-27 11:00:00,,,,-23.0,,,-23.0,False,,
653,GRAMUSDT,2026-07-02 08:00:00,GRAM (prev. Toncoin),-8.0,-88.0,-240.0,-378.0,,-378.0,False,,
694,GRVTUSDT,2026-07-31 12:00:00,,,-22.0,-22.0,,,-22.0,False,,
702,DOSUSDT,2026-08-11 15:00:00,DAPPOS,,43.0,,-28.0,,-28.0,False,,
