i,sym,base,t0,bn_spot,okx_preMktSw,bybit_first,bybit_10th,bybit_file,gate_start,gate_name,gate_status,okx_spot_day,okx_spot_off,okx_spot_first
203,EIGENUSDT,EIGEN,2024-10-01 06:00:00,2024-10-01,,2024-10-01 04:10:00.566,2024-10-01 04:10:00.833,EIGENUSDT-2024-10.csv.gz,2024-10-01 04:15:00,EigenLayer,tradable,2024-10-01,0.0,2024-10-01 06:00:00.094
205,1000CATUSDT,CAT,2024-10-21 12:00:00,,,2023-10-05 01:42:51.311,2023-10-05 10:00:04.048,CATUSDT-2023-10.csv.gz,,,,2024-10-25,4.0,2024-10-25 11:00:00.288
206,SCRUSDT,SCR,2024-10-22 10:00:00,2024-10-11,,2024-10-22 08:00:00.882,2024-10-22 08:00:01.436,SCRUSDT-2024-10.csv.gz,2024-10-22 08:00:00,Scroll,tradable,2024-11-04,13.0,2024-11-04 08:00:00.270
207,GOATUSDT,GOAT,2024-10-24 13:00:00,,,2024-11-13 10:00:00.647,2024-11-13 10:00:03.299,GOATUSDT-2024-11.csv.gz,2024-10-17 09:00:00,Goatseus Maximus,tradable,2024-12-12,49.0,2024-12-12 10:00:00.042
208,MOODENGUSDT,MOODENG,2024-10-25 10:00:00,,,,,,2024-09-27 12:30:00,Moo Deng,tradable,2024-11-15,21.0,2024-11-15 12:00:00.008
214,CETUSUSDT,CETUS,2024-11-06 14:00:00,2024-11-06,,,,,2023-05-10 10:00:00,Cetus Protocol,tradable,2024-11-03,-3.0,
217,GRASSUSDT,GRASS,2024-11-08 15:00:00,,,2024-10-28 14:00:00.673,2024-10-28 14:00:01.010,GRASSUSDT-2024-10.csv.gz,2024-10-28 14:00:00,Grass,tradable,2026-04-24,532.0,2026-04-24 14:00:03.834
220,PNUTUSDT,PNUT,2024-11-11 12:00:00,2024-11-11,,2024-11-22 10:00:00.745,2024-11-22 10:00:04.137,PNUTUSDT-2024-11.csv.gz,2024-11-05 14:00:00,Peanut the Squirrel,tradable,2024-11-11,0.0,2024-11-11 10:40:00.182
226,SLERFUSDT,SLERF,2024-11-21 11:00:00,,,,,,,,,2024-11-18,-3.0,
231,MORPHOUSDT,MORPHO,2024-11-27 14:00:00,2025-10-03,,2024-11-21 10:00:01.958,2024-11-21 10:00:03.673,MORPHOUSDT-2024-11.csv.gz,2024-11-21 10:00:00,Morpho Labs,tradable,2024-11-24,-3.0,
237,MOVEUSDT,MOVE,2024-12-09 14:00:00,2024-12-09,,2024-12-09 12:00:00.689,2024-12-09 12:00:00.692,MOVEUSDT-2024-12.csv.gz,2024-12-09 12:00:00,Movement Network,tradable,2024-12-09,0.0,2024-12-09 12:00:00.079
238,VIRTUALUSDT,VIRTUAL,2024-12-10 12:00:00,2025-04-11,,2024-11-20 10:00:00.615,2024-11-20 10:00:02.887,VIRTUALUSDT-2024-11.csv.gz,2024-05-15 13:00:00,Virtuals Protocol,tradable,2025-10-28,322.0,2025-10-28 08:00:03.113
242,MEUSDT,ME,2024-12-10 17:00:00,2024-12-10,,2024-12-10 14:00:00.530,2024-12-10 14:00:00.533,MEUSDT-2024-12.csv.gz,2024-12-10 14:00:00,Magic Eden,tradable,2024-12-10,-1.0,2024-12-10 14:00:00.071
247,VANAUSDT,VANA,2024-12-16 13:00:00,2024-12-16,,2024-12-16 11:30:00.785,2024-12-16 11:30:02.181,VANAUSDT-2024-12.csv.gz,2024-12-16 11:30:00,Vana,tradable,,,
248,PENGUUSDT,PENGU,2024-12-17 16:00:00,2024-12-17,,2024-12-17 14:00:00.568,2024-12-17 14:00:00.573,PENGUUSDT-2024-12.csv.gz,2024-12-17 14:00:00,Pudgy Penguins,tradable,2024-12-17,-1.0,2024-12-17 14:00:00.063
251,FARTCOINUSDT,FARTCOIN,2024-12-20 18:00:00,,,,,,2024-12-19 09:30:00,Fartcoin,tradable,,,
260,AI16ZUSDT,AI16Z,2025-01-02 13:00:00,,,2025-01-06 08:00:02.507,2025-01-06 08:00:06.131,AI16ZUSDT-2025-01.csv.gz,,,,,,
259,GRIFFAINUSDT,GRIFFAIN,2025-01-02 13:00:00,,,,,,2024-12-19 14:00:00,GRIFFAIN,tradable,,,
261,ZEREBROUSDT,ZEREBRO,2025-01-02 14:00:00,,,2024-12-11 08:00:01.236,2024-12-11 08:00:02.607,ZEREBROUSDT-2024-12.csv.gz,2024-11-30 15:00:00,zerebro,tradable,,,
262,BIOUSDT,BIO,2025-01-03 12:00:00,2025-01-03,,,,,2025-01-03 10:00:00,Bio Protocol,tradable,2025-01-03,0.0,2025-01-03 10:15:00.041
263,ALCHUSDT,ALCH,2025-01-07 11:00:00,,,2024-12-26 10:00:00.685,2024-12-26 10:00:03.682,ALCHUSDT-2024-12.csv.gz,2025-01-03 07:00:00,Alchemist AI,tradable,,,
266,SONICUSDT,SONIC,2025-01-08 07:00:00,,,2025-01-07 12:00:00.947,2025-01-07 12:00:01.751,SONICUSDT-2025-01.csv.gz,2025-01-07 12:00:00,Sonic SVM,tradable,2025-01-07,-1.0,2025-01-07 12:00:00.060
270,SOLVUSDT,SOLV,2025-01-17 12:00:00,2025-01-17,,2025-01-17 10:00:01.300,2025-01-17 10:00:01.301,SOLVUSDT-2025-01.csv.gz,2025-01-17 10:00:00,Solv Protocol,tradable,,,
273,TRUMPUSDT,TRUMP,2025-01-18 13:00:00,2025-01-19,,2025-01-18 10:00:00.949,2025-01-18 10:00:01.804,TRUMPUSDT-2025-01.csv.gz,2025-01-18 13:00:00,OFFICIAL TRUMP,tradable,2025-01-19,1.0,2025-01-19 05:00:00.091
