i,sym,base,t0,bn_spot,okx_preMktSw,bybit_first,bybit_10th,bybit_file,gate_start,gate_name,gate_status,okx_spot_day,okx_spot_off,okx_spot_first,okx_spot,g_bn_spot,g_okx_spot,g_bybit_10th,g_gate_start,g_okx_preMktSw,spot_min,gap_h
362,RESOLVUSDT,RESOLV,2025-06-10 13:00:00,2025-06-11,,2025-06-10 13:00:00.403,2025-06-10 13:00:00.404,RESOLVUSDT-2025-06.csv.gz,2025-06-10 13:00:00,Resolv,tradable,2025-06-10,0.0,2025-06-10 14:00:00.814,2025-06-10 14:00:00.814,11.0,1.0,0.0,0.0,,2025-06-10 13:00:00.000,0.0
366,SPKUSDT,SPK,2025-06-17 09:00:00,2025-06-17,,2025-06-17 09:00:06.320,2025-06-17 09:00:10.401,SPKUSDT-2025-06.csv.gz,2025-06-17 09:00:00,Spark,tradable,2025-06-17,0.0,2025-06-17 10:00:01.718,2025-06-17 10:00:01.718,-9.0,1.0,0.0,0.0,,2025-06-17 00:00:00.000,-9.0
372,OLUSDT,OL,2025-06-25 11:00:00,,,2024-11-19 13:00:01.236,2024-11-19 13:00:01.240,OLUSDT-2024-11.csv.gz,2024-11-19 13:00:00,Open Loot,tradable,2025-06-22,-3.0,,2025-06-21 16:00:00.000,,-91.0,-5230.0,-5230.0,,2024-11-19 13:00:00.000,-5230.0
373,SAHARAUSDT,SAHARA,2025-06-26 12:00:00,2025-06-26,,2025-06-26 12:00:00.949,2025-06-26 12:00:00.949,SAHARAUSDT-2025-06.csv.gz,2025-06-26 12:00:00,Sahara AI,tradable,2025-06-26,0.0,2025-06-26 12:00:00.263,2025-06-26 12:00:00.263,-12.0,0.0,0.0,0.0,,2025-06-26 00:00:00.000,-12.0
390,TREEUSDT,TREE,2025-07-29 14:00:00,2025-07-29,,2025-07-29 14:00:01.444,2025-07-29 14:00:03.912,TREEUSDT-2025-07.csv.gz,2025-07-29 14:00:00,Treehouse,tradable,,,,,-14.0,,0.0,0.0,,2025-07-29 00:00:00.000,-14.0
402,USELESSUSDT,USELESS,2025-08-15 12:00:00,,,,,,2025-07-11 10:00:00,Useless Coin,tradable,,,,,,,,-842.0,,2025-07-11 10:00:00.000,-842.0
407,WLFIUSDT,WLFI,2025-08-23 08:00:00,2025-09-01,2025-09-01 13:30:00,2025-09-01 13:00:00.390,2025-09-01 13:00:00.516,WLFIUSDT-2025-09.csv.gz,2025-09-01 12:00:00,World Liberty Financial,tradable,2025-09-01,9.0,2025-09-01 13:00:00.113,2025-09-01 13:00:00.113,208.0,221.0,221.0,220.0,221.5,2025-09-01 00:00:00.000,208.0
413,LINEAUSDT,LINEA,2025-09-01 08:00:00,2025-09-10,2025-09-10 15:35:00,2025-09-10 15:00:00.724,2025-09-10 15:00:00.860,LINEAUSDT-2025-09.csv.gz,2025-09-10 15:00:00,Linea,tradable,2025-09-10,9.0,2025-09-10 15:15:00.338,2025-09-10 15:15:00.338,208.0,223.3,223.0,223.0,223.6,2025-09-10 00:00:00.000,208.0
430,BARDUSDT,BARD,2025-09-18 11:00:00,2025-09-18,,2025-09-18 11:00:00.577,2025-09-18 11:00:00.659,BARDUSDT-2025-09.csv.gz,2025-09-18 11:00:00,Lombard,tradable,2025-09-18,0.0,2025-09-18 11:30:00.135,2025-09-18 11:30:00.135,-11.0,0.5,0.0,0.0,,2025-09-18 00:00:00.000,-11.0
441,XANUSDT,XAN,2025-09-29 10:00:00,,,2025-09-29 10:00:00.432,2025-09-29 10:00:00.435,XANUSDT-2025-09.csv.gz,2025-09-29 10:00:00,Anoma,tradable,,,,,,,0.0,0.0,,2025-09-29 10:00:00.000,0.0
443,EDENUSDT,EDEN,2025-09-30 11:00:00,2025-09-30,,,,,2025-09-30 11:00:00,OpenEden,tradable,,,,,-11.0,,,0.0,,2025-09-30 00:00:00.000,-11.0
447,2ZUSDT,2Z,2025-10-02 12:00:00,2025-10-02,,2025-10-02 13:00:00.469,2025-10-02 13:00:01.223,2ZUSDT-2025-10.csv.gz,2025-10-02 13:00:00,DoubleZero,tradable,2025-11-14,43.0,2025-11-14 09:00:00.075,2025-11-14 09:00:00.075,-12.0,1029.0,1.0,1.0,,2025-10-02 00:00:00.000,-12.0
453,MONUSDT,MON,2025-10-10 07:00:00,,2025-11-24 16:05:00,2024-05-27 06:04:48.891,2024-05-27 10:00:00.936,MONUSDT-2024-05.csv.gz,2025-11-24 15:00:00,Monad,tradable,2026-03-23,164.0,2026-03-23 11:00:02.177,2026-03-23 11:00:02.177,,3940.0,-12021.0,1088.0,1089.1,2024-05-27 10:00:00.936,-12021.0
454,YBUSDT,YB,2025-10-10 14:00:00,2025-10-15,2025-10-15 11:30:00,2025-10-15 11:00:00.769,2025-10-15 11:00:03.780,YBUSDT-2025-10.csv.gz,2025-10-15 11:00:00,Yieldbasis,tradable,2025-10-15,5.0,2025-10-15 11:00:00.370,2025-10-15 11:00:00.370,106.0,117.0,117.0,117.0,117.5,2025-10-15 00:00:00.000,106.0
455,METUSDT,MET,2025-10-11 12:00:00,2025-11-13,2025-10-23 14:30:00,2025-10-23 14:00:00.700,2025-10-23 14:00:04.691,METUSDT-2025-10.csv.gz,2025-10-23 14:00:00,Meteora,tradable,2025-10-23,12.0,2025-10-23 14:00:00.088,2025-10-23 14:00:00.088,780.0,290.0,290.0,290.0,290.5,2025-10-23 14:00:00.000,290.0
460,ZBTUSDT,ZBT,2025-10-17 11:00:00,2025-10-17,2025-10-17 13:30:00,2025-10-17 13:00:00.723,2025-10-17 13:00:07.870,ZBTUSDT-2025-10.csv.gz,2025-10-17 13:00:00,ZEROBASE,tradable,,,,,-11.0,,2.0,2.0,2.5,2025-10-17 00:00:00.000,-11.0
465,BLUAIUSDT,BLUAI,2025-10-21 11:00:00,,,,,,2025-10-21 12:00:00,Bluwhale AI,tradable,,,,,,,,1.0,,2025-10-21 12:00:00.000,1.0
466,TURTLEUSDT,TURTLE,2025-10-22 15:00:00,2025-10-22,,,,,2025-10-22 15:00:00,Turtle,tradable,,,,,-15.0,,,0.0,,2025-10-22 00:00:00.000,-15.0
467,APRUSDT,APR,2025-10-23 10:00:00,,,,,,,,,,,,,,,,,,,
472,ATUSDT,AT,2025-10-29 11:00:00,2025-11-27,,,,,2025-10-24 12:00:00,APRO Token,tradable,,,,,685.0,,,-119.0,,2025-10-24 12:00:00.000,-119.0
471,KITEUSDT,KITE,2025-10-29 10:00:00,2025-11-03,,,,,2025-11-03 13:00:00,KITE,tradable,2025-11-03,5.0,2025-11-03 13:00:01.422,2025-11-03 13:00:01.422,110.0,123.0,,123.0,,2025-11-03 00:00:00.000,110.0
473,CCUSDT,CC,2025-10-31 12:00:00,,,2025-11-10 07:00:00.925,2025-11-10 07:00:03.616,CCUSDT-2025-11.csv.gz,2025-11-10 07:00:00,Canton Network,tradable,2026-02-12,104.0,2026-02-12 10:00:00.783,2026-02-12 10:00:00.783,,2494.0,235.0,235.0,,2025-11-10 07:00:00.000,235.0
474,MMTUSDT,MMT,2025-11-04 12:00:00,2025-11-04,,2025-11-04 12:00:02.977,2025-11-04 12:00:09.332,MMTUSDT-2025-11.csv.gz,2025-11-04 12:00:00,Momentum,tradable,2025-11-04,0.0,2025-11-04 12:00:01.267,2025-11-04 12:00:01.267,-12.0,0.0,0.0,0.0,,2025-11-04 00:00:00.000,-12.0
475,TRUSTUSDT,TRUST,2025-11-05 09:00:00,,,,,,2025-11-05 10:00:00,Intuition,tradable,,,,,,,,1.0,,2025-11-05 10:00:00.000,1.0
480,ALLOUSDT,ALLO,2025-11-11 14:00:00,2025-11-11,,,,,2025-11-11 13:00:00,Allora,tradable,2025-11-11,0.0,2025-11-11 13:00:01.534,2025-11-11 13:00:01.534,-14.0,-1.0,,-1.0,,2025-11-11 00:00:00.000,-14.0
482,BEATUSDT,BEAT,2025-11-12 12:00:00,,,,,,2025-11-01 10:00:00,Audiera,tradable,,,,,,,,-266.0,,2025-11-01 10:00:00.000,-266.0
483,PIEVERSEUSDT,PIEVERSE,2025-11-14 11:00:00,,,2025-11-14 13:00:00.609,2025-11-14 13:00:11.658,PIEVERSEUSDT-2025-11.csv.gz,2025-11-14 13:00:00,Pieverse,tradable,,,,,,,2.0,2.0,,2025-11-14 13:00:00.000,2.0
484,SENTUSDT,SENT,2025-11-14 12:00:00,2026-01-22,2026-01-22 12:30:00,2026-01-22 12:00:02.761,2026-01-22 12:00:06.206,SENTUSDT-2026-01.csv.gz,2026-01-22 12:00:00,Sentient,tradable,2026-01-27,74.0,2026-01-27 12:00:00.887,2026-01-27 12:00:00.887,1644.0,1776.0,1656.0,1656.0,1656.5,2026-01-22 00:00:00.000,1644.0
487,RLSUSDT,RLS,2025-12-02 10:00:00,,,,,,2025-12-01 12:00:00,RAYLS,tradable,,,,,,,,-22.0,,2025-12-01 12:00:00.000,-22.0
490,NIGHTUSDT,NIGHT,2025-12-10 11:00:00,2026-03-11,,2025-12-09 10:00:00.743,2025-12-09 10:00:08.518,NIGHTUSDT-2025-12.csv.gz,2025-12-09 10:00:00,Midnight,tradable,2025-12-09,-1.0,2025-12-09 10:10:00.729,2025-12-09 10:10:00.729,2173.0,-24.8,-25.0,-25.0,,2025-12-09 10:00:00.000,-25.0
489,WETUSDT,WET,2025-12-10 07:00:00,,,2025-12-09 15:00:00.745,2025-12-09 15:00:04.417,WETUSDT-2025-12.csv.gz,2025-12-09 15:00:00,HumidiFi,tradable,2025-12-09,-1.0,2025-12-09 15:00:00.510,2025-12-09 15:00:00.510,,-16.0,-16.0,-16.0,,2025-12-09 15:00:00.000,-16.0
494,RAVEUSDT,RAVE,2025-12-14 15:00:00,,,,,,2025-12-12 14:00:00,RaveDAO,tradable,,,,,,,,-49.0,,2025-12-12 14:00:00.000,-49.0
498,BREVUSDT,BREV,2025-12-30 10:00:00,2026-01-06,2026-01-06 14:20:00,2026-01-06 14:00:00.537,2026-01-06 14:00:00.597,BREVUSDT-2026-01.csv.gz,2026-01-06 14:00:00,Brevis,tradable,2026-01-06,7.0,2026-01-06 14:00:00.222,2026-01-06 14:00:00.222,158.0,172.0,172.0,172.0,172.3,2026-01-06 00:00:00.000,158.0
502,ZAMAUSDT,ZAMA,2026-01-09 09:00:00,2026-02-02,2026-02-02 13:35:00,2026-02-02 13:00:01.954,2026-02-02 13:00:07.684,ZAMAUSDT-2026-02.csv.gz,2026-02-02 13:00:00,Zama,tradable,2026-02-02,24.0,2026-02-02 13:00:00.431,2026-02-02 13:00:00.431,567.0,580.0,580.0,580.0,580.6,2026-02-02 00:00:00.000,567.0
503,FOGOUSDT,FOGO,2026-01-10 14:00:00,2026-01-15,2026-01-15 14:30:00,2026-01-15 14:00:00.580,2026-01-15 14:00:05.564,FOGOUSDT-2026-01.csv.gz,2026-01-15 14:00:00,Fogo,tradable,2026-01-15,5.0,2026-01-15 14:00:00.163,2026-01-15 14:00:00.163,106.0,120.0,120.0,120.0,120.5,2026-01-15 00:00:00.000,106.0
506,ACUUSDT,ACU,2026-01-21 12:00:00,,,,,,2026-01-20 12:00:00,Acurast,tradable,,,,,,,,-24.0,,2026-01-20 12:00:00.000,-24.0
510,SPACEUSDT,SPACE,2026-01-23 11:00:00,,,,,,,,,2026-01-23,0.0,2026-01-23 12:00:00.800,2026-01-23 12:00:00.800,,1.0,,,,2026-01-23 12:00:00.800,1.0
521,TRIAUSDT,TRIA,2026-02-06 12:00:00,,,2026-02-03 10:00:00.458,2026-02-03 10:00:00.460,TRIAUSDT-2026-02.csv.gz,,,,,,,,,,-74.0,,,2026-02-03 10:00:00.460,-74.0
528,AZTECUSDT,AZTEC,2026-02-11 04:00:00,,2026-02-12 08:40:00,2026-02-12 07:00:00.583,2026-02-12 07:00:11.422,AZTECUSDT-2026-02.csv.gz,2026-02-12 07:00:00,Aztec,tradable,,,,,,,27.0,27.0,28.7,2026-02-12 07:00:00.000,27.0
527,ESPUSDT,ESP,2026-02-10 08:00:00,2026-02-12,2026-02-12 13:35:00,,,,2026-02-12 13:00:00,Espresso,tradable,,,,,40.0,,,53.0,53.6,2026-02-12 00:00:00.000,40.0
529,OPNUSDT,OPN,2026-02-21 15:00:00,2026-03-05,2026-03-06 07:30:00,2026-03-05 13:00:01.861,2026-03-05 13:00:05.367,OPNUSDT-2026-03.csv.gz,2026-03-05 13:00:00,Opinion,tradable,,,,,273.0,,286.0,286.0,304.5,2026-03-05 00:00:00.000,273.0
530,ROBOUSDT,ROBO,2026-02-27 08:00:00,2026-03-04,,2026-02-27 10:00:00.829,2026-02-27 10:00:00.868,ROBOUSDT-2026-02.csv.gz,2026-02-27 10:00:00,Fabric Protocol,tradable,2026-03-05,6.0,2026-03-05 10:00:02.930,2026-03-05 10:00:02.930,112.0,146.0,2.0,2.0,,2026-02-27 10:00:00.000,2.0
531,KATUSDT,KAT,2026-03-02 05:00:00,2026-03-18,2026-03-18 13:30:00,,,,2026-03-18 13:00:00,Katana,tradable,2026-03-18,16.0,2026-03-18 13:00:00.111,2026-03-18 13:00:00.111,379.0,392.0,,392.0,392.5,2026-03-18 00:00:00.000,379.0
545,BASEDUSDT,BASED,2026-03-30 10:00:00,,,2026-03-30 10:00:00.788,2026-03-30 10:00:08.270,BASEDUSDT-2026-03.csv.gz,,,,2026-03-30,0.0,2026-03-30 10:00:01.327,2026-03-30 10:00:01.327,,0.0,0.0,,,2026-03-30 10:00:01.327,0.0
561,OPGUSDT,OPG,2026-04-22 15:00:00,2026-05-22,,2026-04-21 12:00:00.879,2026-04-21 12:00:03.453,OPGUSDT-2026-04.csv.gz,2026-04-21 12:00:00,OpenGradient,tradable,,,,,705.0,,-27.0,-27.0,,2026-04-21 12:00:00.000,-27.0
566,BILLUSDT,BILL,2026-05-07 08:00:00,,,2026-05-04 08:00:00.727,2026-05-04 08:00:05.234,BILLUSDT-2026-05.csv.gz,,,,,,,,,,-72.0,,,2026-05-04 08:00:05.234,-72.0
595,SLXUSDT,SLX,2026-06-01 07:00:00,,,2026-06-22 10:00:09.787,2026-06-22 10:01:03.257,SLXUSDT-2026-06.csv.gz,2026-05-25 14:00:00,Solstice,tradable,2026-07-10,39.0,2026-07-10 12:00:01.855,2026-07-10 12:00:01.855,,941.0,507.0,-161.0,,2026-05-25 14:00:00.000,-161.0
639,REUSDT,RE,2026-06-18 14:00:00,2026-06-18,2026-06-18 14:20:00,,,,2026-06-18 14:00:00,Re,tradable,2026-06-18,0.0,2026-06-18 14:00:01.883,2026-06-18 14:00:01.883,-14.0,0.0,,0.0,0.3,2026-06-18 00:00:00.000,-14.0
647,ARXUSDT,ARX,2026-06-23 04:00:00,,,2026-06-22 12:00:00.576,2026-06-22 12:00:00.576,ARXUSDT-2026-06.csv.gz,,,,,,,,,,-16.0,,,2026-06-22 12:00:00.576,-16.0
648,OUSDT,O,2026-06-24 11:00:00,,,,,,2026-06-17 16:00:00,o1.exchange,tradable,,,,,,,,-163.0,,2026-06-17 16:00:00.000,-163.0
649,CAPUSDT,CAP,2026-06-27 11:00:00,,,2026-06-26 12:00:00.617,2026-06-26 12:00:00.617,CAPUSDT-2026-06.csv.gz,,,,,,,,,,-23.0,,,2026-06-26 12:00:00.617,-23.0
653,GRAMUSDT,GRAM,2026-07-02 08:00:00,2026-07-02,,2026-06-22 08:01:03.167,2026-06-22 08:01:58.222,GRAMUSDT-2026-06.csv.gz,2026-06-16 14:00:00,GRAM (prev. Toncoin),tradable,2026-06-29,-3.0,,2026-06-28 16:00:00.000,-8.0,-88.0,-240.0,-378.0,,2026-06-16 14:00:00.000,-378.0
694,GRVTUSDT,GRVT,2026-07-31 12:00:00,,,2026-07-30 14:00:00.705,2026-07-30 14:00:00.705,GRVTUSDT-2026-07.csv.gz,,,,2026-07-30,-1.0,2026-07-30 14:00:12.113,2026-07-30 14:00:12.113,,-22.0,-22.0,,,2026-07-30 14:00:00.705,-22.0
702,DOSUSDT,DOS,2026-08-11 15:00:00,,,,,,2026-08-10 11:00:00,DAPPOS,tradable,2026-08-13,2.0,2026-08-13 10:00:06.278,2026-08-13 10:00:06.278,,43.0,,-28.0,,2026-08-10 11:00:00.000,-28.0
