sym,base,t0_exact,okx_listTime_now,okx_preMktSw,okx_ruleType,bybit_first,bybit_10th,bybit_file,okx_spot_day,okx_spot_off,okx_spot_first,bn_spot_day,gate_start,gate_name,gate_status
USELESS-USDT-SWAP,USELESS,2025-07-25 10:00:27.052,2025-07-25 10:00:00.380,,normal,,,,,,,,2025-07-11 10:00:00,Useless Coin,tradable
TESTPM002-USDT-SWAP,TESTPM002,2025-08-20 06:43:37.380,,,,,,,,,,,,,
OKB-USDT-SWAP,OKB,2025-09-04 02:00:37.825,2025-09-04 02:00:00.395,,normal,,,,2025-09-01,-3.0,,,2020-02-18 10:35:00,OKB,tradable
MET-USDT-SWAP,MET,2025-10-10 08:15:42.974,2025-10-10 08:15:00.254,2025-10-23 14:30:00,normal,2025-10-23 14:00:00.700,2025-10-23 14:00:04.691,METUSDT-2025-10.csv.gz,2025-10-23,13.0,2025-10-23 14:00:00.088,2025-11-13,2025-10-23 14:00:00,Meteora,tradable
PIGGY-USDT-SWAP,PIGGY,2025-10-29 08:00:31.936,,,,,,,,,,,2025-10-28 12:00:00,Piggycell,tradable
TRIA-USDT-SWAP,TRIA,2026-02-05 07:30:00.746,2026-02-05 07:30:00.000,,normal,2026-02-03 10:00:00.458,2026-02-03 10:00:00.460,TRIAUSDT-2026-02.csv.gz,,,,,,,
UP-USDT-SWAP,UP,2026-04-08 11:00:02.103,2026-04-08 11:00:00.000,,normal,,,,,,,,2026-04-11 07:00:00,Unitas,tradable
OFC-USDT-SWAP,OFC,2026-04-09 11:00:22.847,2026-04-09 11:00:00.000,,normal,,,,2026-04-09,0.0,2026-04-09 10:10:10.073,,2026-04-09 10:00:00,One Football,tradable
PROS-USDT-SWAP,PROS,2026-04-28 14:00:00.191,2026-04-28 14:00:00.000,,normal,,,,2026-05-13,15.0,2026-05-13 10:00:02.348,2022-09-16,,,
BLEND-USDT-SWAP,BLEND,2026-04-29 10:00:02.017,2026-04-29 10:00:00.000,,normal,2026-04-24 13:00:00.572,2026-04-24 13:00:00.595,BLENDUSDT-2026-04.csv.gz,,,,,2026-04-29 08:00:00,Fluent,tradable
