sym,t0_exact,cls,newtok,gate_name,g_okx_spot,g_bybit_10th,g_gate_start,g_bn_spot_day,g_okx_preMktSw,gap_h,verdict
MEMEFI-USDT-SWAP,2024-11-22 15:00:45.522,okx_first,True,,-2.0,-2.0,,,,-2.0,spot existed at/before perp start
MORPHO-USDT-SWAP,2024-11-25 10:01:21.218,okx_first,True,Morpho Labs,-90.0,-96.0,-96.0,7478.0,,-96.0,spot existed at/before perp start
MAJOR-USDT-SWAP,2024-11-28 13:00:34.025,okx_only,True,Major,-1.0,-1.0,-1.0,,,-1.0,spot existed at/before perp start
ZKJ-USDT-SWAP,2024-12-06 09:00:34.870,okx_first,False,Polyhedra Network,-89.0,-4225.0,-6287.0,,,-6287.0,spot existed at/before perp start
SUNDOG-USDT-SWAP,2024-12-11 10:15:23.500,okx_only,True,Sundog,,-2184.2,-2686.3,,,-2686.3,spot existed at/before perp start
AI16Z-USDT-SWAP,2024-12-20 09:15:24.996,okx_first,True,,,406.7,,,,406.7,"Bybit spot +407h; no other CEX; DEX-traded token (knowledge, not verified here)"
GRIFFAIN-USDT-SWAP,2024-12-27 07:01:16.836,okx_first,True,GRIFFAIN,,,-185.0,,,-185.0,spot existed at/before perp start
ZEREBRO-USDT-SWAP,2024-12-27 07:15:19.933,okx_first,True,zerebro,,-383.3,-640.3,,,-640.3,spot existed at/before perp start
ALCH-USDT-SWAP,2025-01-03 07:15:15.135,okx_first,True,Alchemist AI,,-189.3,-0.3,,,-189.3,spot existed at/before perp start
DUCK-USDT-SWAP,2025-01-16 11:00:19.661,okx_only,True,DuckChain,-1.0,,-1.0,,,-1.0,spot existed at/before perp start
NC-USDT-SWAP,2025-01-17 11:00:57.041,okx_only,True,Nodecoin,-1.0,,-1.0,,,-1.0,spot existed at/before perp start
J-USDT-SWAP,2025-01-22 11:00:25.689,okx_only,True,,-1.0,-1.0,,,,-1.0,spot existed at/before perp start
BUZZ-USDT-SWAP,2025-01-27 11:15:23.615,okx_only,True,,,,,,,,"no CEX spot found; DEX token (knowledge, not verified here)"
PI-USDT-SWAP,2025-02-20 09:00:30.853,okx_only,True,Pi Network,-1.0,,-1.0,,,-1.0,spot existed at/before perp start
HYPE-USDT-SWAP,2025-02-21 07:00:39.397,okx_first,True,Hyperliquid,6151.0,3362.0,-1441.0,,,-1441.0,CEX spot later on OKX/Bybit but Gate spot -1441h; not pre-market
LAUNCHCOIN-USDT-SWAP,2025-06-03 10:15:58.882,okx_only,True,,,,,,,,"no CEX spot found; DEX token (knowledge, not verified here)"
USELESS-USDT-SWAP,2025-07-25 10:00:27.052,okx_first,True,Useless Coin,,,-336.0,,,-336.0,spot existed at/before perp start
TESTPM002-USDT-SWAP,2025-08-20 06:43:37.380,okx_only,True,,,,,,,,"OKX test pre-market contract (3 bars, never traded)"
OKB-USDT-SWAP,2025-09-04 02:00:37.825,okx_only,False,OKB,-82.0,,-48591.4,,,-48591.4,spot existed at/before perp start
MET-USDT-SWAP,2025-10-10 08:15:42.974,okx_first,True,Meteora,317.7,317.7,317.7,807.7,318.2,317.7,PRE-MARKET confirmed (preMktSwTime 2025-10-23 14:30; OKX ann. 2025-10-23; spot +318h; CoinGecko first 2025-10-23)
PIGGY-USDT-SWAP,2025-10-29 08:00:31.936,okx_only,True,Piggycell,,,-20.0,,,-20.0,spot existed at/before perp start
TRIA-USDT-SWAP,2026-02-05 07:30:00.746,okx_first,True,,,-45.5,,,,-45.5,spot existed at/before perp start
UP-USDT-SWAP,2026-04-08 11:00:02.103,okx_only,True,Unitas,,,68.0,,,68.0,spot later on CEX (Gate +68h) but CoinGecko prices from 2026-03-14 -> token existed; not pre-market
OFC-USDT-SWAP,2026-04-09 11:00:22.847,okx_only,True,One Football,-0.8,,-1.0,,,-1.0,spot existed at/before perp start
PROS-USDT-SWAP,2026-04-28 14:00:00.191,okx_only,False,,356.0,,,-31694.0,,-31694.0,"OKX spot +356h, CoinGecko Pharos first 2026-04-28 (= t0 day) -> not pre-market; newtok=False only via ticker collision with Binance PROS (Prosper, 2022)"
BLEND-USDT-SWAP,2026-04-29 10:00:02.017,okx_only,True,Fluent,,-117.0,-2.0,,,-117.0,spot existed at/before perp start
GRAM-USDT-SWAP,2026-06-17 10:30:02.885,okx_first,True,GRAM (prev. Toncoin),-0.5,117.5,-20.5,349.5,,-20.5,"NOT A LAUNCH: Toncoin renamed (TON-USDT-SWAP last trade 2026-06-16 08:00 @1.695; GRAM first 06-17 10:30 @1.670; Gate ""GRAM (prev. Toncoin)"")"
RE-USDT-SWAP,2026-06-17 10:30:14.752,okx_first,True,Re,27.5,,27.5,13.5,27.8,13.5,PRE-MARKET confirmed (preMktSwTime 2026-06-18 14:20; OKX ann. 2026-06-18; spot +27.5h; CoinGecko first 2026-06-18)
