sym,base,t0_exact,okx_listTime_now,okx_preMktSw,okx_ruleType,bybit_first,bybit_10th,bybit_file,okx_spot_day,okx_spot_off,okx_spot_first,bn_spot_day,gate_start,gate_name,gate_status,okx_spot,g_okx_spot,g_bybit_10th,g_gate_start,g_bn_spot_day,g_okx_preMktSw,spot_min,gap_h,cls,newtok
PYTH-USDT-SWAP,PYTH,2023-11-20 14:55:46.705,2023-11-20 14:55:00.712,,normal,2023-11-20 08:33:38.124,2023-11-20 14:00:01.026,PYTHUSDT-2023-11.csv.gz,2023-11-20,0.0,2023-11-20 14:30:00.476,2024-02-02,2023-11-20 14:00:00,Pyth Network,tradable,2023-11-20 14:30:00.476,-0.4,-0.9,-0.9,1761.1,,2023-11-20 14:00:00.000,-0.9,okx_first,True
AUCTION-USDT-SWAP,AUCTION,2023-12-01 07:55:45.766,2023-12-01 07:55:00.613,,normal,,,,2023-11-28,-3.0,,2021-02-25,2021-02-06 10:00:00,BounceAuction,tradable,2023-11-27 16:00:00.000,-87.9,,-24669.9,-24223.9,,2021-02-06 10:00:00.000,-24669.9,okx_first,False
RON-USDT-SWAP,RON,2023-12-11 10:00:05.034,,,,,,,2023-12-08,-3.0,,,2022-01-28 02:00:00,Ronin Network,tradable,2023-12-07 16:00:00.000,-90.0,,-16376.0,,,2022-01-28 02:00:00.000,-16376.0,okx_only,False
CTC-USDT-SWAP,CTC,2023-12-14 07:56:05.233,,,,2022-11-10 01:05:25.666,2022-11-10 10:08:15.566,CTCUSDT-2022-11.csv.gz,2023-12-11,-3.0,,,2022-01-28 04:00:00,Creditcoin,tradable,2023-12-10 16:00:00.000,-87.9,-9573.8,-16443.9,,,2022-01-28 04:00:00.000,-16443.9,okx_only,False
TURBO-USDT-SWAP,TURBO,2023-12-14 09:56:01.537,2023-12-14 09:55:00.612,,normal,,,,2023-12-11,-3.0,,2024-09-16,2023-05-05 04:00:00,Turbo,tradable,2023-12-10 16:00:00.000,-89.9,,-5357.9,6638.1,,2023-05-05 04:00:00.000,-5357.9,okx_first,False
METIS-USDT-SWAP,METIS,2023-12-28 09:58:09.377,2023-12-28 09:55:00.614,,normal,,,,2023-12-25,-3.0,,2024-03-11,2021-05-13 13:00:00,Metis Token,tradable,2023-12-24 16:00:00.000,-90.0,,-23013.0,1766.0,,2021-05-13 13:00:00.000,-23013.0,okx_first,False
DMAIL-USDT-SWAP,DMAIL,2024-01-30 10:59:46.206,,,,2024-01-30 03:38:27.357,2024-01-30 10:00:01.842,DMAILUSDT-2024-01.csv.gz,2024-01-30,0.0,2024-01-30 10:00:00.003,,,,,2024-01-30 10:00:00.003,-1.0,-1.0,,,,2024-01-30 10:00:00.003,-1.0,okx_only,True
FLR-USDT-SWAP,FLR,2024-02-06 08:29:43.108,,,,2023-01-09 15:19:08.523,2023-01-10 04:05:05.287,FLRUSDT-2023-01.csv.gz,2024-02-03,-3.0,,,2023-01-10 04:00:00,Flare Network,tradable,2024-02-02 16:00:00.000,-88.5,-9412.4,-9412.5,,,2023-01-10 04:00:00.000,-9412.5,okx_only,False
GPT-USDT-SWAP,GPT,2024-02-28 12:55:35.471,,,,2023-03-10 02:48:07.433,2023-03-10 11:00:05.253,GPTUSDT-2023-03.csv.gz,2024-02-28,0.0,2024-02-28 12:00:00.003,,,,,2024-02-28 12:00:00.003,-0.9,-8521.9,,,,2023-03-10 11:00:05.253,-8521.9,okx_only,True
VELO-USDT-SWAP,VELO,2024-03-12 08:26:16.707,,,,2023-05-29 08:25:19.649,2023-05-30 08:00:05.898,VELOUSDT-2023-05.csv.gz,2024-03-09,-3.0,,,2021-04-02 10:00:00,Velo,tradable,2024-03-08 16:00:00.000,-88.4,-6888.4,-25798.4,,,2021-04-02 10:00:00.000,-25798.4,okx_only,False
BONE-USDT-SWAP,BONE,2024-03-15 08:27:07.999,,,,,,,2024-03-12,-3.0,,,2023-02-24 04:00:00,Bone ShibaSwap,tradable,2024-03-11 16:00:00.000,-88.5,,-9244.5,,,2023-02-24 04:00:00.000,-9244.5,okx_only,False
GF-USDT-SWAP,GF,2024-03-15 10:28:21.420,,,,,,,2024-03-12,-3.0,,,2026-03-06 12:00:00,GoldFinger,tradable,2024-03-11 16:00:00.000,-90.5,,17305.5,,,2024-03-11 16:00:00.000,-90.5,okx_only,False
ZK-USDT-SWAP,ZK,2024-03-19 10:26:24.186,2024-06-18 08:25:00.579,,normal,2024-03-19 02:40:43.254,2024-03-19 10:00:00.876,ZKUSDT-2024-03.csv.gz,2024-03-19,0.0,2024-03-19 10:00:00.011,2024-06-17,2024-06-17 08:00:00,zkSync,tradable,2024-03-19 10:00:00.011,-0.4,-0.4,2157.6,2149.6,,2024-03-19 10:00:00.011,-0.4,okx_first,True
VENOM-USDT-SWAP,VENOM,2024-03-25 08:27:09.085,,,,2024-03-25 07:15:48.922,2024-03-25 08:00:00.814,VENOMUSDT-2024-03.csv.gz,2024-03-25,0.0,2024-03-25 08:00:00.003,,2024-03-25 08:00:00,VENOM,tradable,2024-03-25 08:00:00.003,-0.5,-0.5,-0.5,,,2024-03-25 08:00:00.000,-0.5,okx_only,True
ZEUS-USDT-SWAP,ZEUS,2024-04-05 08:29:26.443,,,,,,,2024-04-04,-1.0,2024-04-04 14:00:00.032,,2024-04-05 03:00:00,Zeus Network,tradable,2024-04-04 14:00:00.032,-18.5,,-5.5,,,2024-04-04 14:00:00.032,-18.5,okx_only,True
BLOCK-USDT-SWAP,BLOCK,2024-04-11 12:26:42.327,,,,2024-04-10 14:44:33.495,2024-04-11 12:00:00.701,BLOCKUSDT-2024-04.csv.gz,2024-04-11,0.0,2024-04-11 12:00:00.005,,,,,2024-04-11 12:00:00.005,-0.4,-0.4,,,,2024-04-11 12:00:00.005,-0.4,okx_only,True
