instId,groups,listTime,age_days,state,lever_inst,t1_mmr,t1_imr,t1_maxLever,t1_maxSz,ctVal,last,t1_cap_usdt,n_tiers,min_order_usdt,lot_usdt,max_mmr
AEON-USDT-SWAP,new180,2026-07-27 11:30:00+00:00,59,live,20.0,0.02,0.05,20.0,20000.0,10.0,0.05733,11466.0,87,0.5733,0.5733,0.46
AGLD-USDT-SWAP,book,2021-09-07 09:57:30.016000+00:00,1843,live,20.0,0.02,0.05,20.0,35000.0,1.0,0.2132,7462.0,87,0.2132,0.2132,0.46
AI-USDT-SWAP,new180,2026-04-29 12:00:00+00:00,148,live,10.0,0.05,0.1,10.0,5500.0,100.0,0.02052,11286.0,81,2.052,2.052,0.45
AKE-USDT-SWAP,new180,2026-09-16 07:00:00+00:00,8,live,20.0,0.02,0.05,20.0,3200.0,100.0,0.0359,11488.0,87,3.5900000000000003,3.5900000000000003,0.46
ALAB-USDT-SWAP,new180,2026-06-16 09:00:00+00:00,100,live,10.0,0.02,0.1,10.0,20.0,1.0,364.25,7285.0,87,3.6425,3.6425,0.46
ALLO-USDT-SWAP,oos_traded|book,2025-11-11 16:45:00.659000+00:00,317,live,20.0,0.02,0.05,20.0,6500.0,10.0,0.28249,18361.850000000002,87,2.8249000000000004,2.8249000000000004,0.46
AMAT-USDT-SWAP,new180,2026-05-28 09:00:00+00:00,119,live,20.0,0.02,0.05,20.0,15.0,1.0,476.75,7151.25,87,4.7675,4.7675,0.46
AMC-USDT-SWAP,new180,2026-09-04 08:45:00+00:00,20,live,10.0,0.02,0.1,10.0,900.0,1.0,2.907,2616.3,87,2.907,2.907,0.46
ANIME-USDT-SWAP,oos_traded|book,2025-01-23 15:00:01.356000+00:00,609,live,20.0,0.02,0.05,20.0,320000.0,10.0,0.003342,10694.4,87,0.03342,0.03342,0.46
ANTHROPIC-USDT-SWAP,new180,2026-05-07 09:30:00+00:00,140,live,10.0,0.02,0.1,10.0,95.0,1.0,210.25,19973.75,87,0.21025,0.21025,0.46
APE-USDT-SWAP,book,2022-03-17 13:00:59.555000+00:00,1652,live,20.0,0.02,0.05,20.0,1200000.0,0.1,0.15145,18174.0,87,0.015145,0.015145,0.46
API3-USDT-SWAP,book,2022-03-03 08:55:16.213000+00:00,1666,live,10.0,0.05,0.1,10.0,25000.0,1.0,0.2685,6712.5,81,0.2685,0.2685,0.45
APLD-USDT-SWAP,new180,2026-07-06 09:30:00+00:00,80,live,10.0,0.02,0.1,10.0,170.0,1.0,27.23,4629.1,87,2.7230000000000003,2.7230000000000003,0.46
APP-USDT-SWAP,new180,2026-07-17 11:45:00+00:00,69,live,25.0,0.02,0.04,25.0,12.0,1.0,312.71,3752.5199999999995,93,3.1271,3.1271,0.49
APR-USDT-SWAP,oos_traded|book,2025-10-24 06:00:01.180000+00:00,335,live,20.0,0.02,0.05,20.0,2500.0,10.0,0.1461,3652.5,87,1.461,1.461,0.46
APT-USDT-SWAP,book,2022-10-19 01:18:48.522000+00:00,1436,live,50.0,0.01,0.02,50.0,18000.0,1.0,0.7963,14333.4,93,0.7963,0.7963,0.48
ARB-USDT-SWAP,book,2023-03-23 14:01:34.937000+00:00,1281,live,50.0,0.01,0.02,50.0,15000.0,10.0,0.21604,32406.0,93,0.21604,0.21604,0.48
ARM-USDT-SWAP,new180,2026-04-29 06:15:00+00:00,148,live,20.0,0.02,0.05,20.0,210.0,1.0,312.32,65587.2,87,3.1232,3.1232,0.46
ARX-USDT-SWAP,new180|oos_traded,2026-06-22 12:30:00+00:00,94,live,20.0,0.02,0.05,20.0,4000.0,10.0,0.2508,10032.000000000002,87,2.508,2.508,0.46
ASML-USDT-SWAP,new180,2026-06-03 09:45:00+00:00,113,live,20.0,0.02,0.05,20.0,15.0,1.0,1731.8,25977.0,87,1.7318,1.7318,0.46
ASTER-USDT-SWAP,book,2025-09-22 05:00:00.313000+00:00,367,live,50.0,0.01,0.02,50.0,42000.0,1.0,0.7088,29769.6,93,0.7088,0.7088,0.48
ASTS-USDT-SWAP,new180,2026-06-02 11:15:00+00:00,114,live,20.0,0.02,0.05,20.0,130.0,1.0,61.87,8043.099999999999,87,0.6187,0.6187,0.46
AT-USDT-SWAP,oos_traded,2025-10-30 10:00:01.453000+00:00,329,live,20.0,0.02,0.05,20.0,820.0,10.0,0.1528,1252.96,87,1.528,1.528,0.46
ATH-USDT-SWAP,oos_traded,2024-06-13 03:55:00.308000+00:00,833,live,20.0,0.02,0.05,20.0,15000.0,100.0,0.005835,8752.5,87,0.5835,0.5835,0.46
AUCTION-USDT-SWAP,book,2023-12-01 07:55:00.613000+00:00,1028,live,20.0,0.02,0.05,20.0,35000.0,0.1,3.776,13216.0,87,0.3776,0.3776,0.46
AVAX-USDT-SWAP,book,2020-09-23 06:00:00+00:00,2192,live,50.0,0.01,0.02,50.0,4800.0,1.0,10.176,48844.8,93,1.0176,1.0176,0.48
AVGO-USDT-SWAP,new180,2026-04-29 06:00:00+00:00,148,live,20.0,0.02,0.05,20.0,220.0,1.0,354.44,77976.8,87,3.5444,3.5444,0.46
AXS-USDT-SWAP,book,2021-07-28 09:00:00+00:00,1884,live,20.0,0.02,0.05,20.0,350000.0,0.1,1.1279,39476.5,87,0.11279,0.11279,0.46
AXTI-USDT-SWAP,new180,2026-06-16 09:30:00+00:00,100,live,20.0,0.02,0.05,20.0,1500.0,1.0,76.53,114795.0,87,0.7653,0.7653,0.46
AZTEC-USDT-SWAP,oos_traded,2026-02-11 10:30:00+00:00,225,live,20.0,0.02,0.05,20.0,2200.0,100.0,0.01637,3601.3999999999996,87,1.637,1.637,0.46
BARD-USDT-SWAP,oos_traded|book,2025-09-18 12:00:00.496000+00:00,371,live,20.0,0.02,0.05,20.0,35000.0,1.0,0.1383,4840.5,87,0.1383,0.1383,0.46
BASED-USDT-SWAP,new180|oos_traded,2026-03-30 10:30:00+00:00,178,live,20.0,0.01,0.05,20.0,6250.0,10.0,0.06689,4180.625,87,0.6689,0.6689,0.45
BB-USDT-SWAP,new180,2026-06-01 09:00:00+00:00,115,live,20.0,0.02,0.05,20.0,870.0,1.0,8.78,7638.599999999999,87,8.78,8.78,0.46
BE-USDT-SWAP,new180,2026-05-27 11:00:00+00:00,120,live,25.0,0.02,0.04,25.0,200.0,1.0,268.42,53684.0,93,2.6842,2.6842,0.49
BEAT-USDT-SWAP,oos_traded|book,2025-11-12 16:15:00.610000+00:00,316,live,10.0,0.02,0.1,10.0,10000.0,10.0,0.09397,9397.0,87,0.09397,0.09397,0.46
BERA-USDT-SWAP,oos_traded|book,2025-02-06 14:00:01.850000+00:00,595,live,20.0,0.02,0.05,20.0,480000.0,0.1,0.2263,10862.4,87,0.02263,0.02263,0.46
BICO-USDT-SWAP,book,2021-12-09 06:50:17.371000+00:00,1750,live,20.0,0.02,0.05,20.0,480000.0,1.0,0.02234,10723.199999999999,87,0.02234,0.02234,0.46
BILL-USDT-SWAP,new180|oos_traded,2026-05-06 08:00:00+00:00,141,live,20.0,0.02,0.05,20.0,4000.0,100.0,0.01354,5416.0,87,1.354,1.354,0.46
